review_title,review_body
Short Walking Trail,Visited on 17th October 2019.If you going with friend it would be great.A relax mini hiking walk along the breezy turquoise sea.It's a must go. Nice place to take photo too.
One of the less touristy short hikes in Jeju,"Mostly domestic tourists here. This hour-long hike offers both idyllic and dramatic views of the Songaksan volcanic craters and the open ocean. Walk on right till the end to make a complete loop journey, so that you won't miss the breathtaking, almost vertical volcanic crater wall rising up over the sea. "
Relaxing and Lovely Hike,We hiked round the coastal route of the mountain in April and took an hour and a half to compete the hike which included stopping at various viewpoints to enjoy the beautiful coastal scenery and sunset. Weather was good. We started at about 4pm and the place was peaceful with not many people. We also flew a drone at one of the viewpoints. The hiking path was well constructed and easy to walk. You can also ride a horse there.
Great Place with a touch of History,"One can go for a hike or just sit near the shore and enjoy the view. Along the coastline one can see a number of manmade caves which stands as a testimony to the importance of Jeju Island during WWII. These caves built by the Japanese troops served as a place for storing the weapons.Though called as a mountain, it is more like a hill as it is not steep and one can enjoy the walk up the peak."
"An underrated area, visit here if the weather is good","That means during a sunny day, you can see as far as the Halla mountain. And also the various geological formations around the sea. A nice hike which will take about 1.5 hours but you can just take a walk. By the way, the area is often used as backdrop for TV shows including the Dae Jang-geum 大長今 popular drama show."
Easy hike,My husband and I are in our 60's and the hike was fairly easy. The views were amazing. You can buy frozen water at the top and it will provide you with water for hours. We tried octopus or abalone samples. Meh!
"Nice hike, great views, not too crowded","Songaksan was one of the places that had actually a very small crowd of tourists so it make the hike a bit more enjoyable. At the foot of the mountain is a large parking lot with some coffee shops and restaurants, from there it is a light hike up the mountain. Lots of greenery and nice views along the way. The center which I believe is a crate is closed right now, I think for recovery from too many tourists. it is still a good destination to visit, the hike is easy and relaxing, peaceful and enjoyable."
Windy climb with a nice view!,"Songaksan offers an easy 3km walk around it's perimeter, most of which is along its cliff (facing the waters). There is no entrance fee. Prepare yourself with a windbreaker, sunglasses and some water. Very nice view along the way! You can see Sangbasan and Yongmeori Coast from certain angles. You can also see geographical strata on its cliffs. In the month of June, which is near summer, Hydrangeas are in full bloom, adding even more colors to the already beautiful landscape!"
An ideal place for a light trekking about an hour,"It is a place to visit if you visit Jeju Island. In particular, we recommend trekking around Songak Mountain. You will be able to enjoy the stunning scenery and strolls while gazing at the southernmost island of Mara Island in Korea. Trekking courses and benches for relaxation are well maintained and can be walked with men and women, seniors and children because they are not difficult. You may meet horses grazing."
Spectacular great views,"Nice hiking and walk for the great views. We managed to complete the hiking route round the mountain in about 2 hours.Also a good idea is to stop and walk slightly before the mountain as there are also nice scenery of the beach and sea.Beware that the buses out of the area are very irregular and it would be good to start the hike early in the morning and leave before noon as the buses seem to run more regularly early in the morning.We waited an hour for the bus out and gave up, walking to the next town to get a cab. "
