review_title,review_body
Great hiking experience!,"Up & down of the mountain took us 9.5 hours including some short rest time during the hike. We started the hike around 9am (recommend to start early, we were late), and came down around 6:30pm. Our legs were like jelly legs after the hike, but is worth the hike. You can see nice view along the journey. Please do not forget to greet everyone you met with ""anyeonghaseyo"", they are all very friendly people. Wear a pair of good hiking shoes, bring some snacks with you and also water. The stalls along the mountain are closed during our hike, luckily we have prepared enough snacks and water. The view at the peak is breathless. A lots of old korean aunties and uncles also managed to reach the peak, so I guess we all younger than them have no excuses of not fit to hike, right? haha...Wear sport attire, although some said it will be freezing cold at the peak (about 1950 meters height), but believe me, you wont feel cold as you have already all sweat during the hike. We spent about 30mins to 1 hour at the peak taking photos, resting and having our snacks before going down again. A pair of good hiking shoes is important so that you won't get blister on your feet. We will go back again in different season if we have the chance. We were travelling there in Oct 2018."
Hallasan fall leaves,"We went to Hallasan NP in early November by ourselves. It’s quite easy to take the bus to the park. Just make sure you know which stop to get off as there are several entrances. We decided to hike the shortest trail (1.3km). It begins at the Hallasan National Park Visitor Centre and finishes atop Eoseungtaeng Oreum, with sweeping views of the Jeju plains and the peak of Hallasan. The leaves are very beautiful along the trail. With our age, being seniors, and photo stops, it took us one hour to get up to the top. Definitely it worths the hike!"
Winter Wonderland,"Our visit was postponed for a day but it was worth the wait. There was a heavy snowstorm a couple of days prior and the roads to Hallasan National Park were closed. When access to the park was restored, a beautiful blanket of snow was awaiting.It was my first experience of snow and I loved it. I came from a tropical country (where the coldest temperature ever recorded was at 6 degrees Celsius) so experiencing snow is a surreal experience. Although we did not climb any trail to the summit, experiencing snow even just outside the Visitor Center was fun and pleasurable. The Jeju Snow Festival for 2018-2019 did not include the Visitor Center at Hallasan National Park, however, unlike the previous year so there were no attractions set up in the area.Because of this, I am going back to South Korea this coming December for another winter wonderland experience and to try out skiing."
I’d never forget this ,"An UNESCO Biosphere Reserve and a World Heritage Site, the Hallasan National Park is loaded with walking trails and is home to South Korea’s highest mountain named the Shield Volcano Hallasan. You’ll find about 1800 different kinds of plants and a number of alpine animals along the way up. The park is a unique place for nature lovers. Settled right in the heart of Jeju island, this park with high density woods and blooming hillsides is concidered as a treat to be at. Transportation: start with chosing a right trail for you. There many different ways up to the mountain, but only one of them will bring you to the summit. To get to the entrance you’d probably need to take one of the public busses or rent a car. Both options are convenient. Equipment: You’d definitely need to be prepared for a long and tiring walk. All the trails are devided into segments, based on their difficulty. Some of the parts of the trail would be paved, some wouldn’t be equipped at all. You’d be grateful for those parts where you’d be able to walk and step on the wooden bridges and paths. But except those short and the easiest parts of the way, you’d need to climb on the steep and narrow rocks, hop along cobblestones and boulders. Timing: don’t rush, remember when you’re on the top, that was only a half of your journey. There is the same long way down the mountain when you’re on the summit. Tips: be prepared for considerable change of the temperature and other weather conditions. We started in a pleasant sunny day and finished when it was drizzling and the fog was literally embracing us. Add up some wind and decreased temperature and you’re almost in our shoes out there. You’d definetely need to wear tracking boots or something alike, protecting and supporting your feet well. Otherwise you risk hurting your ankles and knees. (as us, cause we were not prepared)You’d also want to change your clothes after 6-7 hours tracking up and down this mountain. Believe me you’ll be sweating af."
A Jeju Must Go,"If there is only one thing I can do during my travel in Jeju, it would be hiking at the Hallasan National Park. There were just 2 trails (Seongpanak & Gwaneumsa, where Seongpanak was easier) which can reach the top of the mountain, where you can see the Baengnokdam. You can even get a certificate (which costs only KRW1000) of climbing the Hallasan if you show the staff at the tourist centre your picture with Baengnokdam."
Trek n hike,"A difficult one if you choose to do the longest one which takes 4.5 hrs up and 4 hrs down.We went up the Eorimok trail which took us 2 n half hours up..its not an easy trak with steps and rocky path but the track has been laid with a lot of effort.In autumn the trees start to turn their colours .We came down the yeongsil trail which took us one hour to come down with spectac views..its an easier way to climb down than to climb up the yongsil trail.Bus 240 goes and come back at both stops with the entrance name as the stop names.But while from Eiromok entrance it's just a 10 mins walk up to the start of the trail.....its 45 mins walk to walk to the yeongsil entrance bus stop to the start of the trail.There are no tkts entrance for the hikes,but if you have rented a car then there is a parking fees.Carry some food to eat and energy bars and water n juice."
Great nature walk,We took one walk here. Vertical rise of about 200m through nature. A couple of hours of hiking & stopping to view the plants & birds. Great view of the crater from the top. Worth the trek. Carry lots of water if it hot!
Refreshing,"There are several trials to explore and because of time limitation, have chosen the shortest one and the hike of 2.5 hours is rewarding. Air is fresh and can image the autumn maple leaves will be wonderful."
Enjoyed the hike and the views that came with it,"I took the eorimok trail which took about 2.5 hours to get to the top with the rest rooms, the first part of the trek is hard work and quite strenuous. After reaching the top I took the yeongsil trail back down which had some of the most stunning views along the way. As I came by bus the walk down from the yeongsil trail to the yeongsil ticket office where the bus stop is located takes another 40minuts or so depending on the pace. I Would highly recommend visiting this area and trying the trails. "
Great hike,Took the longest trail to Mount Hallasan peak (Seongpanak Trail) - 9.6 km - but started a bit late and did not make the cut-off time at the Jindalrae shelter (7km). However it was a great walk and I visited the Saraoream peak on a side tril on the way back. This was well worth it as there is great view and also a beautiful crater lake. It is key that you start early and take enough water with you. Also need good shoes. Although it was August - most of the trail is in the forest - so not so hot.
nice hiking experience,"choose to get up by soegpanak trail and down by another trail， Gwaneumsa, which much more harder and shorter. Manage to complete the hiking for 7 hours"
The highest mountain in South Korea.,"I took bus 281 from Jeju Intercity Bus Terminal at 6.24am and get off at Seongpanak stop. Start hiking at 7.30am. It took me about 4 hours to reach the top. It was hot at top. I brought 1 liter of water and some buns and it was okay for me.I walked down the Gwaneumsa Trail. It took another 4 hours. If you want to go back to Jeju Intercity bus terminal take bus 475 from Gwaneumsa to Shancheondan Altar and switch to bus 281 to the Jeju Intercity bus Terminal.Every bus fare is 1,200 won."
Not for the weakhearted,"I decided to hike the Yeongsil trail to Mount Hallasan, since it was the shortest of all the trails. It was estimated to take roughly 2 hours and that it did. I gotta say this hike is one of the more vigorous hikes I have done and requires a very good pair of hiking shoes! The views as you ascend only get better and put you in awe. Once you reach the top there is a rest area with toilets and an area to rest. I suggest for those that plan to do this bring a snack and drink so you can enjoy the views once you get to the top."
Prep yourself well if you decided to take the trail to the summit,"Took the Seonpanak trail, one of the 2 only trails that will lead to the summit. It is a longer route compared to the other but was supposely less challenging. Well, still a very tough hike to me. Much of the path and climbs are big rocks so good hiking shoes and walking stick will be very helpful. No water along the way though one sign mentioned there is one, which was WRONG and not updated. My son believed in that signboard and finsihed his water way before half into the hike. Big mistake!Not much to see along the way, except if you take a detour to view sara oreum. Took about 3.5hrs to reach Jindalrae office/ shelter (which is 1500m high) and after much thought, decided to turn back due to lack of drinking water.Descending is much tougher for me and took longer time. Deers and boars were spotted.Do go early so that you do not have to park too far from the park entrance as the carpark gets filled up fast and you will need to park along the roadside. Go during weekdays if possible to avoid the crowds.Take note there is time limit to reach Jindalrae so that you can continue to the summit."
Such an achievement!,"Scaled the heights of Hallasan ! Took the Seongpanak trail and us a good 8-9 hours both ways. The trail started with easy ( which I personally do not think is really so), normal, then difficult pathways. Stamina is important, perserverance is a must! The toughest is the rocky incline just before the summit.There are ropes to aid the climbing, and they are just so needed! View is stunning way up the trail. At summit, every hikers were just simply waiting to take pics with the ""rock"". Felt totally drained and seriously exhausted when finally reached the base, but it is all so worth it! An astounding acheivement to remember for life :)"
A Must Visit Place in Jeju,"Good driving views. You will be blown away. Should visit this place in the morning before 9am to avoid the crowd especially during weekend. There are so many trails. Please ensure you know which trail you are taking as the mountain is so huge. Must wear proper trekking clothes and shoes. If you are driving, please ensure you go down the same way as you climb up or else, you need to get a cab to bring you back to your car. Bring water, snacks and plastic bag to throw your rubbish. You must bring down your rubbish with you."
Excellent trail,"If you visit Jeju island, you should go for a trail in Hallasan mountain. I did the Eorimok-Nambyeokbungijeom trail from Eorimok visitor center. Approx. 6 hours two ways hiking - 14 km. "
Many trails; interesting national park,We came by using GPS to guide us to the National Park. We entered the part called the Healing Forest. Interesting plants on healing the body. Several small huts/cabins are available for those who may like to stay in the forest for healing and relaxation. Do go into the forest for a real feel of the national park. Entrance is free. 
