review_title,review_body
Oldest temples from the Shilla dynasty!,Bulguksa temple is one of the UNESCO world heritage sites in the world. It has seen a lot of wars-destroyed and built again. The stone pagodas are still maintained and are an insight of how life has been in the ancient years.The temple itself encompasses the Korean Buddhist art from the Shilla dynasty. It is easily accessible by public transport as it's one of the major tourist attractions of Gyeongju.
Beautiful grounds and temple,"We enjoyed an afternoon walk around the temple grounds. The trees were still in bloom the end of November and were so vibrant and pretty! Fees are 5,000w/ adult and 2,500w/child. Pretty bridges with waterfalls made for stunning photos. We spent less than an hour here so made for a nice outing."
Massively beautiful,"A very expansive property including both Gardens and enormous Temples, Statues, and Prayer notes. Actually more things to comprehend than a several hour visit allows.Very colorful. But you need to look up and also closely at all the details."
Gyeongju UNESCO World Heritage Temple,We take bus no 11 from town to Bulguksa Temple. we enjoyed the slow scenic walk up the temple. Nice and peaceful place to visit
Active temple with praying monks ,We spent a couple of hours here wandering in and out of the various temples and paid the extra 2000 won to go into the new museum within the temple complex. The museum was quite good and all the explanations were also in English. There was a tea shop too (quite expensive by local standards) which we didn’t try but the menu looked quite good. It was fairly busy on a Tuesday in November.....I can imagine it might get very busy in high season. 
scenic walk up,"We took the city tour bus which also include the Seokguram Grotto, two tombs and a shrine. we enjoyed the slow scenic walk up the temple. Beautiful autumn trees lined the place and the weather was great. Nice and peaceful place to visit"
So colourful ,"I enjoyed the walk up from the bus station. My favourite part was the colourful lanterns, all the colours of the rainbows "
Very scenic in autumn ,"Like most Korean temples and palaces, this is a total rebuild. It is in use for worship and has a certain atmosphere about it, enhanced by lovely gardens. An easy bus ride from Gyeongju."
Wow and a sunny day,We took an earlyish bus from town in the morning so when we arrived there were very few people there. Great location and interesting temple to visit. On a sunny day its beautiful.
One of the most beautiful temple in S. Korea,"This wide complex of temples is amazing. It is located in the gyeongju national park. Besides being a beautiful temple, the nature around is luxurious."
Magnificent Structure and Gardens,"With a number of specific Buddha temples we were privileged to hear monks chanting prayers in each one. The hypnotic rhythms echoed beyond the temple walls. The grounds are beautiful with gateways framing views of stately trees. Also there is a beautiful large pond. The buildings, themselves also have a majestic presence."
Truly worth the visit.,Lovely grounds - lots of children on field trips but that just reinforces what a great spot this is.
Massive Temple Complex,This is a sizable temple complex with numerous temples. There is some walking and a fair amount of steps involved. The place can be peaceful when not too crowded. It was great to learn some history and see some interesting temples. 
Gyeongju trip is worth it,"One hour bus drive from Busan Sasang bus terminal, then 50 minutes bus 10 or 11 to Bulguksa temple - 15 minutes walk to the temple. We needed 2 hours. A very old temple complex in the forests. Amazing."
Beautiful temple ,This beautiful temple is out of the main Gyeongju city. The main temple is surrounded by smaller buildings that can be accessed too & surrounded by gardens. Well worth a visit for the buildings architecture. 
Beautiful temple,"So huge, so beautiful, the temple, the statues, the park.. Everything was wonderful for people who like historic visit. Prefer visit early un the morning and so you can visit after the Gyeongju world parc who is a great amusement park not expendive and not far from the temple (same bus) "
Birthday trip ,"Of the three temples I visited during trip this was my favorite. I could almost feel the uniqueness, and solemn atmosphere they are trying to maintain. This visit was really eye opening for me. The hour we spent here was too short. We experienced the Buddha’s prayer period and even saw one walking across the grounds. Soo much rich history here. The grounds are well preserved. Great place to visit. Wished we could spend at least a weekend here. So serene. Hopefully I posted the right pics. "
The Most Beautiful Temple In South Korea,"One of the best things I have seen in South Korea, with no doubt!Bulguksa Temple (UNESCO World Heritage) is located on a mountain, not far from Gyeongju.There's a main temple and other pagodas and shrines.Colours,stunning architecture and history are only few of many other things you can find in this magnificent site!"
Beautiful Temple,Worth your time to see. Peace to walk around Beautiful grounds and worshiping areas. Don't miss if you are in Gyeongju
Sprawling Temple grounds,"As many sites in Gyeongju this temple is outside of town, but easily accessible by city bus. Set on a small incline the temple grounds have about 20 buildings with great views + architectural detail. When you exit, a cluster of restaurants starts across the street. Towards the right, a little 'Dog cafe', run by a young couple made the BEST COFFEE I had in Korea. (Not sure I find them here, so I let you know under the temple review)."
Huge temple ground ,A very big temple ground to explore. The surrounding park and lake is perfect for strolling and picture taking. The main temple ground is quite similar to most temple ground I have visited in China and elsewhere. Near by have lots of restaurants to try out delicious Korean food. 
Gorgeous temple,"One of the highlights of our visit to Gyeongju. This temple complex is quite big, so you'll need some time to discover every beautiful building. The surroundings are gorgeous and there is a huge car and bus park right next to the entry. Very convenient. If you're hungry: just cross the road, you'll find a lot of nice restaurants there."
lovely temple,"Beautiful temple complex. Try to be early in the morning, as it can be quite busy with visitors. Lots of parking though."
Easy to find,We took a bus here and walking around the park was lovely. There were a few really interesting large statues and religious shrines. It wasn't too crowded. It's a great place to get your steps in :)
