review_title,review_body
Historic Village,"1. I wanted to see something historic.So Yandong Village did not disappoint me as many of the ancient village houses were preserved.2. Some of the traditional village e.g. Bukchon Village in Insadong, Seoul - are actually restored to replicate its historic style - and are now occupied by present day residents.The Yangdong Village is not restored in that sense.3. Learnt a bit of the Korean culture in history - like their fermenting of Kimchi in large pots, a pole is placed across their gate to signify that visitors are not to enter, we can recognise the status of the occupants from the different roof types on their housesNot sure how the poorer folks back then survive the severe cold in winter.4. Great photo taking opportunity to remember our time in Korea "
Disappointing,disappointment because walk around at village hillside and look at the outside of the buildings only
Interesting,Worth a visit here. You see lots of old houses as you wander around the pathways but you can’t enter any. Loved the thatched roofs and plenty of persimmon trees full of fruit! Would suggest visiting out of season as we did as we did so it wasn’t too crowded.
Living village that is UNESCO World Heritage Site listed,"Having visited other living villages or towns that are similarly UNESCO World Heritage Site listed, we were left unimpressed with the sights in Yangdong Village. This is a living residential area with numerous houses sprawled across numerous hills, and residents going about with their daily activities. And that is it.It was a short half day trip from Gyeongju with a mixture of taxi and bus. Other than having visited another UNESCO listed location, there were not any memorable sights in this village. "
Mixed experience,"I spent a pleasant hour and a half wandering around the village enjoying the architecture but my husband was bored and hated it. I recommend stopping by the small museum to learn more about the village's history. Be prepared, it's very hilly so walking around is definitely a work out. The bus 203 only runs about once an hour so make sure to check out the schedule to help plan your visit. "
"Love, peaceful village to experience","We visited Yangdong-ri Folk Village on a drizzly, gray day...perhaps the perfect day to wander around out of the sun. The existing, ancient dwellings were a marvel of classic Korean style architecture and construction that has lasted for centuries. The lotus pond was in bloom, making it even more beautiful. I think this is a must-see if you’re in the area."
Step Into the Past,My family of eight visited Yangdong Folk Village in June 2019. We hired a driver to take us from Gyeongju and he waited while we visited the village. They provide English tour guides who are quite knowledgable. What's interesting about this village is that it is still lived in. From the outside you see an old structure with a straw roof but if you look around the back you see air conditioners and satellite dishes. Apparently the current inhabitants are descendants of the original village dwellers. The village is quite large and you need several hours to see it all.My family especially enjoyed the archery corner. We paid extra for this and it was great. Wear good shoes as there is a lot of walking and some very steep terrain.
Free tour in English available ,This was the most expensive sightseeing thing I have been to in Gyeongju and probably my least favourite. In saying that it is easy to get to on the 203 bus which starts by the inter city terminal .. but on the road side. Costs 4000 won to get in but there is free tour guides available including English speaking. This was really good otherwise I would have been quite lost .. the map did not seem informative either. Lovely village to wander through. 
wonderful village,"Quite hilly and paths that can get steep but such an amazing demonstration of traditional Korean houses, both tile roof and thatched. Stunningly restored!"
Very nice village,"It's a great looking village, and it's a nice place to take a walk. There weren't many tourists there."
Quiet UNESCO site,"It’s a very big area with some huts occupied by current residents. You cannot access most relics. From Busan, Nopo Station, take bus heading for gyeongju at berth 27 to Gyeongju express bus terminal (city center with plenty of food options) After dropping at the bus terminal, take bus 203 to Yandong Folklore Village. The bus stop ( not the one across the zebra crossing) is further down on the same side of where stop where you dropped (same direction of car traffic)"
Great traditional architecture ,The whole photogenic village looks so beautiful. The typical stone walls with straw thatched roofs in the quiet hilly countryside makes me feel like in a oasis.
How beautiful it is!!,It was a very lyrical village.It would be perfect for me to walk around town in traditional Hanboks and take pictures. It is closer to Pohang than Gyeongju.
Overrated,"Positive side: decent car park.Given that this is a living village with traffic coming and going, why do we need to pay to go in (who gets the money)?Was most disappointed – you have to pay to walk around a village on a hillside, the interesting historical houses are locked up (all you can do is look from the outside), the map is useless and there are no signs Given that this is a UNESCO World Heritage site, this is the most disappointing such site that I have seen.(Compare this to say Carcassonne – which is very impressive, also a living village and access is open to all)Can’t imagine what this is like in summer with every house selling ice-creams."
Trip back in time,"We spent a superb morning exploring. You feel like you stepped back in time few hundred years. We took a taxi from Gyeongju to reach the place fast, walk around the village for 3 hours and took the bus back to Gyeongju. There are vending machines in few places to get water and snacks. All small restaurants and places to eat open around noon. Keep this is mind if you want to have a meal here."
Great living folk village,This is a very large site with many buildings/houses to view. Made better because this is not just a museum but a living village. Great to stroll round when the weather is good
