review_title,review_body
Cute little island,"Cute little island to visit if you have some time to spend in Yeosu. There are some paths bringing you to the cliffs on the island, we had a good time there in October, it was sunny and not cold at all. It felt nice to be out of the city and to just watch the boats passing by. I recommend for a relaxing afternoon, 1-2 hours trip. "
good place to visit and walk around,offers nice view and walking trail. I would recommend a trolley ride for $1 to minimize the walk. Easier for rest of trip
Not much to see if Camelia flowers are not in full bloom,The island is tiny and has some very nice views on the sea and the Yeosu port but it is unimpressive. Apparently it is beautiful in the blooming season but we were there at the end of May and there was not much to see. Right now (May/June 2019) the famous lighthouse is under renovation and inaccessible to tourists.
Wonderful Walk,"If you're in Yeosu and looking for an easy walk/hike, this is it. Its a bit of a trek along the wall to get to the island, but it's well set up. The path is marked and has stairs. Lots of stairs, in some places. But overall an easy walk/hike. Doesn't take long, wouldn't need anything special, though I wouldn't recommend any formal wear, esp footwear. But regular shoes are just fine. It doesn't take long and has some very beautiful scenic spots. Wonderful if you like nature."
Loved,"I loved this place! My brother and I came here in the middle of summer, so we were so sweaty and hot. But the walk to Odongdo was worth it. We could have took a bus instead of walking the road, but we chose to walk there and bus back. There were so many trees and rocks (can't think of the right words to describe it exactly) but it was amazing. There is a specific tree that you will see while there as well... Definitely a place to visit!"
Day trip to Yeosu,"Odongdo was recommended to me by my local friends. I caught the bus from the terminal in Gwangju and the ride was nice. Once you get to the small bus station in Yeosu, you’ll need to either walk (very far) or taxi to the pier. From the pier you will see the different bridges that connect the area. The actual hike/walk throughout the island was really nice. Crowds weren’t large and there were seafood restaurants everywhere. There is an aquarium, cable car rides (lines are very long midday and walk up to cars without a car is long) and more. Perfect day trip. The beach was beautiful. I took a cab and he was so friendly. I met more people and ate more local seafood while watching the boats before sunset. There are many small parts that make the whole of Odongdo, so stop by the tourism center, get your map and enjoy your time. If you don’t have time to visit Jeju, this is a nice alternative."
Great afternoon walk,"We decided to go for a walk in the afternoon. You can take the shuttle to cross the breakwater but if you want to walk & enjoy the scenery, I suggest to just walk. We walked back and forth.When we reached the island, we sat in one of the benches while we had some iced coffee (we bought it in the store within the island). We listened to the water fountain show.After that, we climb the hill to see the dragon cave, etc. It was windy and a relaxing walk. When you go back, you can can use the elevator up to the 11th floor where you can see the Yeosu Sea. There coffee shops and snack counters. Highly recommended."
Place for a relaxed hike and a bike ride day and night,"We visited this place during the evening, and caught the last few minutes of the fountain show. We had originally planned to bike here, but without a Korea phone number, we found it very difficult to rent the bike available at the Expo center. Also, Information Center in Yeosu Train station knew nothing about the bike rental locations other than the ones they had there. In the evening, the place was still lit up nicely and the path was easy to follow. The music around the path was creepy, however. We spent about 2 hours walking to and back. "
Odong do is a nearby plate of Yeosu expo station,"When I arrived Yeosu expo station this is one of so many nearby plate I had already come.This small Island has goods sea sight at the top house (white house) of the Island.There are alot of point plate on that Island.You better walk than travel by electrical bus, I think this trip can also improve your healthy when you climb to all of this Island making places.Hope you have a good trip.Best"
Small forest in a middle of see,small a beautiful island just like a forest that you can take rest for hours and listen to ocean wave sound ~
