review_title,review_body
Smallish nice aquarium,Limited number of exhibits but animals seem happy enough. Unique is the pair of belugas that were active and responding to the crowd at feeding times. Also has lots of smaller tanks with a variety species. Nice to visit for an hour or so.
Enjoyable visit -Aqua Planet,It was a 15 minute drive from hotel in Yeosu to the Expo compound. Taxi cost about 13000Won or US$15. Situated within is the Aqua Planet. During the day not many visitors sighted but fills up in the evening. Educational tour so worth a visit by school students. It’s also fun for the grown ups. We also enjoyed the tour. Many activities inside. Check out the Marine life. Aqua forest theme. Ocean theme. 3D museum. 5D theatre etc. cost for the package was 34000 won each or approximately US$35. Many cafe and restaurants inside with a good view of the Big-O. Huge complex. Lot of parking. Lot of walking to do. So do wear good comfortable walking shoes and enjoy.
Aqua planet Yeosu,"This is my first time to go aqua plate like this but it has strong impression on me after all.This is very beautifull and nice place.It is very suitable for your children for not only let them feel happy but although bring new knowledge and enthusiasm for them.I hope you guy have the same experience.Best,"
Cool Exhibits,Not too big of an aquarium but has plenty of things on display and a good way to spend a couple hours.
Cute aquarium,I had a fun day at Aqua Planet with looking at the different species. There are shows available throughout the day but they are not available in English but you can guess some of the content of the show.The gift shop is a little pricy but that's what a tourist place is.
Great place for a rainy day.,"I love nature and so zoos, sanctuaries and aquariums are some favorite places. This is the best one I've been to - a wide variety of underwater life, displayed to great effect.The layout - a central rotunda with themed exhibits opening off it, allows you to structure your visit. The information brochure is very detailed and a great guide to seeing what you'd like to see.The beluga show was amazing.I must say I'm not really that much into sculptures being used to create an atmosphere, such as in the riverine exhibit, but all in all this was a very worthwhilte visit, especially as it was raining heavily and the rest of the Expo site was not accesible in such weather."
Must see in Yeosu,"The place is located within the Yeosu World Expo area and is one of the bigger attractions around this area, if not the biggest.Prices have reduced since a few years when I first visited, and the beluga whales are back!... although the aquarium seems way too small for them to feel at home.The ""alive museum"" area was a novelty, and would only recommend if you get it as a bargain grouped sale and not as a standalone ticket."
Worth a trip,It's great that I got to see a pair of Beluga for the first time! Had a great time with my family :)
Quite good,"The build and construction is quite unique , with pathways literally going through the big chamber aquarium. Then the show they gave at the end was quite impressive too :) i enjoyed it, worth checking out."
Good!,It's good but not excellent. Belugas(white whales) were attractive and cute. It's interesting to see baby shark flipping in the yolk sac. The others are the average.
Beware for bad accoustics,I was here on a Sunday when a lot of families visited and the spaces weren't planned for that kind of noise levels at all. Loved the jellyfish. Pitied the belugas in their tiny tank. They have a big variety on different animals.
Lots of unique interesting fish,"Exhibits were well done, interactive, and thought out. The aquarium is small compared but very charming and educational"
Overhyped~,"This place is not really anything special. It may be the largest aquarium in Korea but it is still very small in international standards. The take with the beluga whales looked so small I felt very bad for those whales. All of the tanks seem way to small for the amount of fish they have in them. The price of entrance is over-priced as well. At the end, both of us looked at each other and thought we may have missed something but unfortunately we didn't. They did also have a 4D theater and a trickeye museum which I guess is good for young kids but I wouldn't recommend doing it.The selection of fish is limited. For people who haven't traveled much then maybe this is very interesting but if you have been around this is a place you can skip, nothing unique here!"
Aqua Planet in Yeosu,"This is a very big aquarium, maybe the biggest in Korea. There are two aquariums named Aqua Planet, one in Yeosu and the other in Jeju. This one was built to the event of EXPO 2012 Yeosu."
