review_title,review_body
"Good place for Family, offcourse not much for Parents but many things for kids^^","Its a good place for whole family visits, especially for kids. There are many things they can look around, Be careful if you go in summer, don't forget to bring some mosquito killer^^ In term of food, there are good restaurant nearby, also not so many things for vegetarian so please check in advacne."
Herb island experience ,"The island is in the middle of mountains, feeling is fresh surrounded with herb gardens, had good experiences mermaid theme room with spa bathtub and herb toiletries provided for a relaxing experience.the parks around are pretty random though with a Santa village , dianosaur park , small diy shop, cafes , with very little food options , little difficult for vegetarians."
Waste of time,This place is like a fake disneyland. More like a cheap edition of it. Everything is fake.Also restaurants are closed or packed most of the time
Excellent place with beautiful night view and various things.,"CY+c ( 19.03.23 ) If visit at daytime, there was point 4, but night time, point 5, I think. There was vast area, and had many various theme things, botanical garden, Santa village, cafe, bakery, memorial place, shop relative herb, and so on. Though I didn't expect this attraction, but there was excellent to us with night view and atmosphere. We spent about 4 hours wandering this area and enjoying various things."
??? not sure about this one.,"So we went late, but I think that is probably for the best. It was winter and not a lot happening. It seems to be a place full of cute photo opportunities. There is a really nice indoor garden, and a craft area where you can make your own soap, candles, bath bombs, shampoo etc. I would like to go back and do this, it takes time though, so be prepared to spend a few hours. Night time is beautiful as it is lit up like a Christmas tree. Worth going late just for this."
Beautiful place,We were here on a cold weather. About -7 degrees centrigade and it was night time. The park is lit with colorful lights. It was amazing. The garlic bread is really tasty. 
Many intresting place for photo,I personally enjoy this place. Can take bus outside the Soyosan Station on ur right. Do not cross Opposite the road. I took taxi there it cost me 13000won. Going back I took bus and need to walk about 10minutes the the bus stop. It was 7pm but it was already dark and is a bit eerie for me as the place is quiet. Best time to go is afternoon until late noon when the lights is up at 5pm. 
Worthful for 5 hours visit,"Can reach by public transportation from Jamsil station. But the bus frequency is not so good. Perfect for taking pictures, peak winter won't be suitable for visiting here. There is a donkey firm here, you can feed carrots for them. Kids will enjoy this place."
Endless Things to Do,"The place with full of entertainment. There are so many artificial waterfall, dianousor land, mini zoo, land of love, botanical garden, cactus garden and many more. Another attraction is healing centre where you will find all the organic cosmetics. The entry fee is only 6000won per adult."
Find the place a bit messy,"Went to the herb Island as a group tour, spent about 3 hours there, had lunch at the traditional market but they only served mutton soup with rice and kimchi pancake. The cafe only served pizza. The restaurant pricing about usd10+. There were many shops that sells candles. Went to the santa village, a bit weird when it is Sept now, but I feel that should pay a visit using the Christmas season, and evening will be better when the lights light up. In the Santa village, u will see Christmas decorations, dinosaurs and right end of the santa village, you can see other small animals like rabbit, hens, piglets, you can also feed Donkey at 1000 won. "
The best wellness center,"Probably my best visit to the wellness center. Here you can spend a good time with your friends, and try a lot of wellness programs at affordable prices. Also on the territory of the park, there are many mini paths and various shops with unusual goods. Also, if you have never tried to make your own perfume, you have that option in Herb Island! Visit this place and I'm sure you will not regret it!"
Herb Island visit,"While I live nearby Herb Island, and have heard a lot about it, I visited for the first time today. I had to go early and didnt have a lot of time. And by the time I left most venues were just opening. I was able to walk around and get some freat shots of the place. I will definietly go back when I have more time. But I did like what I saw. I was able to purchase a bottle of Herb wine which was being sold for 29,000 won at other venues, for 19,000 won. This was from the Aroma shop. Otherwise a beautiful place and well worth exploring."
Winter WonderLand in Herb Island,My visit here was unplanned but I did not regret doing so. The entrance fee is really worth it! The food was suprisingly affordable given the beauty of its premises! I loved the Winter Wonderland they set up! The place is more gorgeous and romantic at night. :)
BEST garlic bread ever!,"If you are a kdrama fan, then you will appreciate this place more. It is where the proposal scene of “oh my venus”. Restaurants are limited but it is still a must place to visit in pocheon. And you should not miss the garlic bread in the herb bakery. I can eat it all day its really yummy. "
"Largest Herb Garden in Korea, Good place to rest & relax & retreat","Pocheon Herb Island is a largest herb garden that runs by private sector. There are many zone inside, eg. Herb Museum, Herb Garden, International Village, Traditional Market, Nostalgia Zone, Small Zoo. They also have many cafes & restaurants. You can taste good quality & fresh vegetable & fruits. You can relax your mind & soul at Healing Center with spas & massage. Do not forget to buy some good quality of herbs, teas & cosmetics. If you would like to rest & relax, they also have many types of pensions to select."
Beautiful place,"Visited this place during weekeday with my boyfriend in the afternoon (around 4pm kst) and there weren't much people visiting on that day. We drove from 지행역 (Jihaeng Station, Subway line 1) all the way up till the herb island. We purchased the tickets at the entrance for ₩6000 each for adult and parking is free of charge. The first impression the place is really big and beautifully decorated with flowers and colorful Led lights. Especially since it is still in the spring season, you can see the beautiful flowers.There are a number of attractions which includes herb cafe, restaurants, bakery shop, souvenirs shop, small shops selling old school snacks and items, and many more. We toured around the place with the guide of map which you can get it at the information centre and it comes with a few languages including korean, english, mandarin, etc. We stopped by the souvenirs shop which sells all kinds of products including herbal teas, candles, soaps, skin care products, herbal jams and many more. We were offered a cup of mint herbal tea and it tasted real good. The place itself was also covered with nice herbs smell. We decided to get a small bite at the bakery shop and their recommended menu was their signature garlic bread. We bought it at ₩5000 a pack and we really loved it. It was so tasty that it makes you want to go more for it.We stayed till 8pm kst taking our time relaxing and taking pictures. Although there is nothing much there, it is good to visit once for first-timers. Overall experience was good and the people were friendly too. Another way to get here is to take Seoul Subway Line 1, alight at Soyosan Station, take the bus 57 and alight at Samjeong-ri station. Go straight at Samcheongol-gil street to get to the herb island. "
Unfriendly to visitors with no knowledge of Korean Language,"(1) Taking Subway Line 1 to Herb Island: note that not all Line 1 ends at Soyosan Station. At Soyosan Station, after you exit, you need cross the road to the bus stop directlt opposite the station to take bus 57 or 57-1 to Herb Island.You can seek bus driver's help to alert you when it is the place to alight. But have the place written in Korean if you can't say it in Korean.Note also the bus-stop you alight is also the bus-stop you take the bus to Soyosan Station.(2) After I bought the entrance ticket, I was shocked to see a super steep slope to walk up. The worst is, the Information Centre is right in the centre of the place and all signages are in Korean Language only. But more dismay to come, I found out too late that the only language use is Korean. But it saves me lots of money because I was not tempted to buy any of the herb products since everything is in Korean and I don't understand.(3) While it claims to open all year round, when I visited, lots of places were closed. The activities and herb experience were unavailable too."
Nice and relaxing place to visit.,Nice and relaxing place to visit. Take bus number 57-1 from opposite direction of Soyosan Station approximately 30mins ride from Soyosan to the village. You'll need to walk approximately 7-10mins from the bus stop to the village. Or you can take Taxi from station to village for approximately KRW @15000 Enjoy the LED light scenery at night. 
Quirky Korean Treat,"Went in a bus tour to Herb Island from Seoul. Group left at 2:00pm, got there before 4:00. This left us time to see things in the light before it got dark and the magic of Christmas happened. There is a spa on site with massages, aroma therapy, and various other treatments. Everything smells very manufactured and not true oils in many of the shops. They do have a sizeable lavender field, but I'm not sure if they distill their own oil or not.After dark, the lights come on, all over, millions of Christmas lights. Christmas in Korea seems to be for couples, as there were many ""love"" and ""heart"" signs and lights to take selfies with. There is an Italian area with paddle boat gondolas that you can take around the moat. If you are lucky, you can catch the K-pop performance in the pavilion there. On the other side of the road, there is a large scale Trevi Fountain. The restaurant had a varied menu, not just Korean food, which made the child happy. They served wine which made the parents happy.I've been once, glad I went, but will not go back for Christmas again. I do hope to get there in the summer when the lavender and other gardens are in bloom. "
Christmas Time is the best time to come visit!,"Excellent for couples wishing a romantic evening under the lights and families with elementary aged children and up wishing good photo ops. You have to ask about making the soap it is 2 pieces for 12,000 Won in the main large gift shop in the hotel area. My girls liked walking around seeing the lights, the greenhouse garden, as well as the gift shops and feeding the donkeys. If it weren't lit up I don't think they would have enjoyed it as much.I would recommend as a romantic getaway more than for families, but it was a great one-time trip for good photos."
Not a fantastic place to visit,"After reading the reviews and saw the Christmas lightings during winter, I held in high anticipation to visit this place. However, great disappointment. This place is pretty run down and nothing much for young kids. There is a dino place with displays of a few broken and poor maintained dinosaurs. The flower garden looks run down and are covered with fake flowers. The herbs museum nothing interesting with some Rosemary, banyan trees, etc. The so called gondola ride is not working with construction going on near to it. Hence, is really an awful site. The Santa village has a donkey feeding area and a souvenir shop. Nothing much. The only comforting part is the Athenas hall restaurant, near to the main entrance which the food is tasty and very reasonably priced. The herbs bakery sells very yummy garlic breads, biscuits. We took about 2 hours plus yo drive from Seoul to herbsisland. There is traffic jam along the way. It is not really worth to visit and to spend a day to travel all the way here . We got free entrance tickets from the Seoul tourism office in Singapore. We did not even stay until at night to watch the winter lights. Whilst we are there, there were not much visitors. "
Herb island,"Quite a long journey out (abt 1.5-2hrs) travelling time by car.. The venue is not as interesting as expected, although pictures have colourful background, nice flowers n herbs. Bakery, herb experience are the little shops to pop by. Do download the Korea voucher for discounted entry fee."
"Free admission, huge area, quite run down due to lack maintenance",Took a cab from the nearest train station to herb island. Roughly about 15mins cab ride. When return can also ask the information counter to help to call cab. Many many plants and flower. Good for photo taking. Personally I feel the place is quite rundown. It's free admission anyway. 
