review_title,review_body
Historic temple ,"Donghwa temple is located the Palgong mountain. It's a class & historic temple in Daegu. If you visit in autumn, you can watch the fabulous view with changed colors leaves."
Train ,"This is a city stop for the KTX train, a large city that perhaps it is good to give a stop over and explore around "
Such a nice view! ,"Ive been there with my family.It was the first time visit there and many forigners there too. It’s pleaceful temple in Daegu. You can stroll there for a while. And can see the big buddha statue.If you visit there first, you can get some discount when you take a Palgong Mountain cable car. "
Beautiful grounds with giant Buddha statue.,"Visited Donghwasa while staying in Daegu. The grounds are located about 30 minutes (19 stops) from the Donghdaegu station via the red 1 bus, which is located in a bus stop on the street behind the station (can be tricky to find as it's not in the station itself). Once you get to the grounds, it is a bit of a hike uphill to the temples but well worth it. There are a few different temples but also make sure you get to the giant Buddha statue which is a 10 minute walk in the opposite direction from the main temples. That is worth the visit by itself. I highly recommend a visit to this place."
The usual Temple styles with the Largest Budda to see.,There are many temples and the Largest Medicinal Budda in the world.Very large area to walk around.Close to Palgongsan Cable Car.
Quiet and peaceful,Entrance is 2500won per pax. It is about 20-30m walk up but the surroundings made it worthwhile. Note that you can skip the stairs but walking further to take the car route
Peaceful and serene,"Temple is not big but there's a big Buddha nearby, quite a distance to reach as it is in the mountains. "
Probably better on a dry day!,"It started to tip it down with rain as I got to Donghawasa and I suspect I'd have spent longer there if it had been dry! However it's a beautiful temple and the enormous statue is very impressive. I especially liked the lovely paintings on the sides of each building. The museum (in the large prayer hall by the statue) was a bit small with nothing in English and the second floor seemed to be closed. I got there on a #1 express bus (the red one) after a trip to Gatbawi (get off the #401 at Migok-dong, cross the road, wait for the next #1). The bus dropped me at its last stop in the little settlement near the cable car and I was planning to walk back from there to the temple after lunch. However currently the top gate is closed and you have to go in via the Donghwagyo Bridge gate. There is a bus stop here too and then it's about 500m up the road past a ticket office (2,000 won ticket fee) to a free shuttle which will drive you the rest of the way up the hill. "
Rainy day and Monday visit,"We visited the temple on a misty Monday. The mist and fog added to the mystery and beauty of this place. It also made it virtually deserted. Being a Monday, several parts of the temple were closed. The museum, the temple food area, and most food stands were closed. Honestly, it did not hurt our experience. This was one of my favorite places to visit on your trip to Korea. "
"Scenic, lots of hills","Beautiful views, ample parking, and a lot to see. My children are 10&13 and enjoyed seeing a traditional temple. We visited, same time, last year. Toilet facilities are out houses or ""squatty potties"". Bring soap, bathrooms were not equipped:( "
My fav temple,"We visited a couple of temples and my daughter (who lived in Daegu for a year) visited a number of temples. This was a definite favorite. If you only have time to tour one temple, go to Donghwasa."
Picturesque and serene!,We visited several temples during our visit to Daegu however this was the largest and relaxing for two adults and a toddler. 
nice zen temple,I have visited many temples in Korea but I thought donghwasa was really good. it's slightly far away from the city centre but was worth the visit. would love to try the temple stay next time!
Beautiful,"Rare to find ancient buildings in Daegu that survived the various wars. Donghwasa is a fabulous area of living temples ( some ancient, some reconstructed) and a giant Buddha all set on the edge of the mountains but within easy reach of Daegu on the city tour bus. Definitely worth the time. Would be good to have a guide and discover more, but even without much information it was a joy to behold and relish the tranquility. Maybe best to go on a weekday, as we did, and avoid crowds."
Great Day Trip,"If you're looking for a nice little day trip to get out of congested Daegu then this spot definitely will scratch your itch! Very beautiful mountain scenery and lots of food and drink options just outside the gate. The giant Buddha is breathtaking and the mountain air is very refreshing, you won't regret coming up for the day. For those thinking of staying the night there is a Temple Stay option.Now, you're probably saying ""This sounds great but I don't have a car and a taxi will cost way too much!"" Well, you are in Korea which means great public transportation! Just take the #1 Express Bus (Red) outside the Novotel downtown and you can relax while someone else does the driving and you only pay like US$2 to get to one of the best scenic spots in the area! So, what are you waiting for?! Get your butt on the bus and go see Korea!"
The biggest and most beautiful Buddhist temple near Daegu.,"The temple itself is quite stunning, with interesting architecture and a peaceful atmosphere you'd find at any other temple. But Donghwa Temple also has a small-ish museum of Buddhist history and culture which I like, along with a ""Big Buddha"" statue. If you come in the Spring, try and get there for Buddha's Birthday (a national holiday) and you'll even get to eat some vegetarian bibimbap. The whole are around the temple has plenty of other opportunities for hiking, taking pictures, and just enjoying the fresh air. A definite ""must visit"" for Daegu."
