review_title,review_body
One of the best tour in Jeju,"My family of 4 booked jeju taxi Lucas private tour for a full day. Firstly, we went for the hyeopjae beach, which the scenery was definitely great and beautiful, the driver, Mr Ko was very enriched with ideas, he helped us took many photos with different postures and even helped my parents took a honeymoon photo! , in each attraction afterwards, different postures was used to take photos, even though some were wierd but it was very funn! Mr Ko is a great, kind, helpful, gentlemen and on time person, he helped me opened the door everytime when we were about to alight from the taxi, he also came to the hotel before the tour starts so that we can have sufficient time to go to each attractions we planned before hand. Lastly, the most touching thing is that we forgot to take our bag of seaweed on the taxi and we hurriedly contact taxi Lucas, and immediately they helped us check and the driver immediately rushed over even though it was 40 minutes drive away and he came in far before the estimated time given, this bag of seaweed will remind us about this helpful driver and this is going to stay in my mind for a long time. Want to say, Jeju is a great place with kind and helpful people and beautiful scenery, thank you Mr Ko, thank you Jeju taxi Lucas, best tour in jeju!"
Jeju Island Private Half day tour: South attractions,Our trip was AMAZING thanks to Jeju Travel Lucas! He was very friendly and efficient and immediately made us very comfortable. His knowledge about everything we had questions about was informative and impressive. I would highly recommend Lucas to anyone visiting Jeju!
Unique beaches in Jeju,"Yongmeori Coast has a rocky coastline with the most unique cliff formations because Jeju is a volcanic island. A walk along this coastal region, you will also see lovely ocean views and beautiful sunset."
Incredible Jeju tour,"We had a great time visiting multiple iconic locations in Jeju on this tour. Our tour guide, Lucas, was very friendly and answered all our questions about Korea. We would definitely recommend this tour to others looking to enjoy the beautiful Jeju scenery in comfort. Overall, this tour was everything we were looking for! Thanks Lucas :)"
The Only Way to See Jeju,"Excellent company, my expectations were exceeded. All of the cars are new and clean, and are equipped with wifi and air conditioning. Communication is excellent, and the drivers are professional and show up on time, if not early. Unfortunately, due to a major delay with Delta Airlines, I lost an entire day on Jeju. Lucas made up for this by making my tour extra special, and efficient. He really made sure we visited the main locations I wanted to visit, and the lunch spot he picked was delicious. When I return to Jeju I will use this company again, and I am recommending it to any of my friends who are interested in visiting."
Day tour at Jeju,"Booked a taxi driver for the day tour at Jeju, the driver is Mr Koh, he is a very kind man and always give in to your requirement, very helpful."
Excellent,"Mr Kim arrived 30m early, was a super pleasant tour guide, agreed to our aggressive plan for the day and did everything to ensure we stayed on schedule to see everything we wanted. Definitely recommend."
Great way to experience Jeju - completely flexible and helpful,"The tour is very professionally done - always on time and delivers what is promised. The best aspect of the tour for us was the flexibility - we made some small changes on the first day to what we wanted to do, but on the 2nd day we almost completely changed the itinerary, and it was no problem at all. It allowed us to spend more time on the things that interested our group, and to do short stops at other things. We got to see and do a lot of what Jeju has to offer in the limited time that we were there."
Best way to see Jeju,"We made the best decision to hire for a hassle free private taxi tour in Jeju. The jumbo taxi is spacious and comfortable. We decide our own itinerary and the the tour agent arrange the itinerary into 2 different days according to their locations in the island. We requested for a Chinese driver but was sent a Korean driver Mr. Kim 김순남 with limited English or Chinese skill. We are still very happy with his service as he is very attentive, polite and a very good photographer too. The lunch he recommended was perfect and delicious. Overall, this is the best choice to have for a private tour in Jeju and is highly recommended. Will hire them again if we are to visit again."
Ms,"East course was very nice but the West course was rather boring. The Tea Museum was mainly a shop, not worth visiting!! We had to skip the visit item on the itinerary of the West Course because of the heavy rain. It would be good if the Taxi driver guide could give more information about the history, culture or stories about Jeju Island especially the places on the itinerary."
Enjoyable vacation in Jeju,"The first day, we visited East Jeju. Our driver was Mr. Lucas Ko. He spoke English well, and gave a good background and history of the places we visited. He was anexcellent guide, and enthusiastic in taking our photographs.The second day, we visited West Jeju, with a different driver. He was also Mr. Ko.He was soft-spoken, and took us wherever we wanted to go.Overall, we recommend both of them to anyone who wants to visit Jeju."
Great tour and guide,"My son and I only had 3 days in Jeju and one of those days was spent with our guide Mr. Lee. He was very professional, courteous and fun! We worked together to go to the sights we were interested in and he gave us plenty of time to visit each location. He took us to a local noodle restaurant that was spectacular! One that we would have never known about and we love local food. Had the best experience. And he was a great photographers! Thank you."
