review_title,review_body
Historic medicine ,The museum organized & informed very well for someone who doesn't know about herb medicine. It's the most famous herb medicine town that is located near museum since almost 500 years ago. 
Engaging and innovative displays,"Was very impressed at the cleanliness and user-friendly set-up of this museum. After passing through an elaborate ancient archway, there are gigantic installations of the brewing pot used for medicines and a fun presentation of medical materials with cartoon figures. This summed up the contemporary approach adopted for the whole museum, reaching out to youngsters, students and non-Korean speakers with main titles in English and sub-titled videos though many details were not translated. However there were enough visuals to educate and amuse visitors on the history of traditional medicine in Daegu and its applications even in the modern day.Life-size figures of traditional doctors and nurses and how they take the pulse, examine the tongue and use acupuncture and herbs give a very clear idea of medicine in its origins. The fundamentals are close to Chinese practices but Korean medicine prizes ginseng much more and the role of the Joseon kings and their court was more important.The museum is free and there is a toilet on every floor, packets of herb-based candies and drinks can be purchased and there's a room for footbaths for a fee. Even saw a room with costumes for hire for photo-taking. "
Good learning experience,"The museum is free to enter but the down side is that the descriptions are in Korean. However, at the ground floor there are interactive panels with english descriptions to help you learn more about traditional medicine. They also have free foot bath outside the vicinity but we didnt dare to try as we are unsure of the hygiene standards. The foot bath area looks a bit dirty and not sure how often is is cleaned. We paid 5k KRW per pax for a nice herbal foot soak at the ground floor of the museum for about 40 minutes. A great way to relax your feet after a long day of walking. Would recommend going to this museum!"
Interesting,Interesting place to learn the devemopment of Chinese medicine in Korea. The paid foot spa is also worth trying. 
Worth a short visit,"This free museum is better than average but not up to very good. Between the two I opted for very good.The written descriptions are all in Korean, except the titles are also in English. There are many interactive displays in Korean, English and Chinese so we still got to understand some and found it a bit of fun. There are many models and visual displays to look at too.We entered one hour before closing but we could easily spend another 15 to 20 mins.We missed out the herbal foot spa because this service is only available until 5pm."
Interesting ,This museum is free to enter. It is rather interesting but hard to understand anything When most of the information was in Korean. 
Free Entrance!!! Lots of thing you can see... about the Traditional Korean Medicine. So why not visiting!!!!,"Free Entrance!!! Lots of thing you can see... about the Traditional Korean Medicine. So why not visiting!!!!There are only two museums for Korean medicine in Korea. One is in Seoul and the other is in Daegu. If you missed the museum in Seoul, you can try this one instead. Inside there are many things you can see.. and learn. But unfortunately, no english description on each panel. There is free Korean medicine tea to drink and 5,000 won foot bath with Korean medicine. It's worth trying."
An opportunity to learn about Korean Sasang Constitutional Medicine,"I must admit there was not much in English, when we entered this nice little museum, but there are many visual arrangements, hands-on activities, and movies that give you a notion of what traditional Korean medicine is about. First of all, one should be aware that it is not a mere reproduction of Traditional Chinese medicine. While having its roots in China the theoretical foundations of present-day Traditional Korean Medicine (TKM) were laid out at the end of the 19th century. During those decades China lost control over the Korean Kingdom while Japan's influence was steadily growing, eventually leading to the annexation of the country. It was during this short period of awakening and a certain independence, when a physician called Yi Je-ma published a book ""Longevity and Life Preservation in Eastern Medicine"" (1894), proposing what he called the Sasang typology. It divides people in four types based on their bio-psychosocial traits: Tae-Yang (Greater Yang), So-Yang (Lesser Yang), Tae-Eum (Greater Yin) and So-Eum (Lesser Yin). Depending on one's constitutional type the actual manifestations of a certain disease will differ from patient to patient. Respectively treatment methods have to take that into account, so they will differ for one and the same disease as well. Sasang medicine is a quite unique and interesting approach. Nowadays there are papers in English and even a book on Sasang medicine. Another important topic of this museum is the history of the old medicine market (Yangnyeongsi) in Daegu which once was situated near the old city walls. After the annexation of Korea by the Japanese in 1910 the walls were torn down and the market was about to be closed for ever. After heavy protests and rising unrest among the population the Japanese authorities decided to relocate the market to its present place. The museum has a nice gift shop and if you are lucky, one of the English speaking young ladies will give you a tour. If you are free to choose a convenient date for your journey to Daegu, I would recommend the beginning of May when they have the ""Yangnyeongsi Herb Medicine Culture Festival"" with many attractions all over the market quarter."
Worth the trip,This museum is small and doesn't take a lot of time ... about an hour. We learned a lot as this was not a subject that we were familiar with. The area is interesting to walk through as well.
Unique and informative,"I thought this was better than I had projected - I learned a lot. Yes, there is not as much English as I needed, but it was very visual. There are hands-on activities and an opportunity for a Korean foot bath which was blissful."
