review_title,review_body
A nice walk over the city,"A pleasant walk over the the hustle of the city. Markets are sometimes held as at the weekend. It has a nice view of Seoul station, especially if you want to watch the sunset over the city. Its also nicely lit after dark. Usually a few people walking about and taking photos, but never feels to busy."
A Garden in the Air,"Like the New York Highline, this old roadway has been rebirthed as an above street garden walkway. As you proceed along, the vistas open out into a wide expansive view around Seoul station. If you’re lucky someone, maybe you, will be playing one of the several upright pianos stationed along the walkway. The gardens change as you walk through a range of plant species."
Nice outdoor space in an otherwise very urban city ,It’s a bit like the NY Highline except more concrete. Nice way to get between areas of the city and avoid the traffic. 
Seoulo highline,"A bit like the NY highline, this is an urban walkway created from a disused rail line that allows you to walk through the downtown area of Seoul unimpeded by traffic. What a simple but brilliant idea; I hope more cities copy it. There are pleasant features there (like a piano) to break the journey, it's a pleasant stroll you can pick up near Seoul station."
An Airborne Oasis,"Take the walk at night. The soft glow of the planters and occasional music along the way are good for the soul, an airborne oasis above the rush of cars and trains. During the days you may come across a player at one of the four or so pianos along the route. And the blooms are changing every week. Even umbrellas are provided for an oppressive summer sun. Thoughtful Korean designers at their best. Highly recommended."
Overhead garden bridge,"It's an urban garden that's above the roads. You get a good view of Seoul Station (both old and new). If you're trainspotter, you can look at trains coming in and out of Seoul Station"
Great that Seoul followed Manhattan and converted this elevated highway section!,"The walkway is not very long but nice, with interesting trees and many pianos, plus a few interesting views."
Wonderful little walk,"A quirky elevated garden built on an overpass above the busy Seoul streets. They provide free umbrellas to borrow whilst enjoying the walk and protect yourself from the sun. There are plenty of different varieties of plants, a nice area where mist is sprayed to keep cool (plants and tourists alike) and was overall a nice place to visit without crowds to bother you."
"Whimsical, Botanical and No Traffic Lights","We were attracted by the lights at first, around midnight near our hotel in Seoul station. Taking those lighted stairs revealed at first a nice potted garden with each pot labeled with the latin botanical name for each plant. As we continued our walk, we found more than plants - it was a whimsical park, with working pianos, an embassy for an alien planet (where you can take official pictures behind the alien flag), trampolines, kids' drawing station, glass floors, and other rather amusing play areas - all free! Even late at night, the park felt safe - there are people walking through even after midnight. Also, the uniformed park keepers are still around late, with lighted red candlesticks in hand. This is an enjoyable place to walk, and it is most convenient when going from Seoul Station to Namdaemum or the Hoehyeon Station. Skip the traffic and take a walk in Seoullo - it will bring a smile to your heart!"
"Skip DDP, go here","It is probably the most beautiful walk to take in the night. The old Seoul Railway station is in lit up and so is the new one, not to mention the sky walkway. It is such a wonderful place to wander. Simply go!"
Nice Elevated Walkway,"This was an elevated walkway that was more than just glass, metal and concrete. Everywhere planter boxes were filled with different types of trees, flowers and plants. All labeled in both Korean and Latin and some in bloom. It made the walk more pleasant getting to Seoul Square especially not having to wait for crosswalk signals or traffic.A number of brightly colored pianos were randomly located and anyone could sit down and play a tune. There also were some type of carts painted with animal characters that I assumed could be used to wheel your kiddies around.The walkway was easily accessible through any number of stairs, elevators or ramps thus making it a convenient way of getting around the area."
Our Mini Family Spring 2019,Seollal was my wishlist back in 2017 but only managed visit it this year.It was just infront of our 2nd homestay and at the back of Namdaemun gate 5.It was nice walking along the seollal with plants along with it and since it was cold during our visit we decided to have early lunch at the seolla building (dont remember the name) The building serve mostly for eateries.That time there was a marine exhibition being held.
Passing by sightseeing,Calling this an overhead bridge would be a severe understatement! There are tons of plants here with their scientific names and korean names. The view of the city at night wasnt so bad. There are pianos for ppl to use if they wish. The signages are all projected onto the floor which is quite cool. I went in the late evening though it seems like there are afew small activities for people to partake it for a small fee if theg wish but they were all closed when i went. Plenty of ambassadors and security walking around the area.Its lovely but i wouldnt go out of my way to visit it. Only if its nearby or along the way.
Great views and greenery in the bustling Seoul,"I just came back from Seoullo7017 - visited it on Sunday. I found it so calming and relaxing to walk around on this bridge high above the streets. It provides a leisurely walk connecting a few places. It is nicely decorated with pianos and plants adding a nice contrast to the streets around. I went during the day, but would love to come back in the evening to take some different shots. Worth a visit, for sure. Right by Seoul Station, so very easy to get to. There are stairs, as well as Ann escalator and elevators for those who with limited mobility or on wheelchairs. "
Fantastic view ,It’s a great opportunity to walk above the busy traffic and admire the city life in Seoul. No traffic lights at all.
Spring soon..,"all the plants are either leafless or covered because it still seems like winter here even though it's already end of March. but i did not regret coming here, we really can see the great effort to revitalise the city with fresh looks while letting visitors to experience the bustling city without to worry about the traffic."
