review_title,review_body
well preserved village,"We took the bus from Gyeongyu to Andong, an hour and half ride and another bus to the village and yet another 5 minutes shuttle to the village. Quite a well preserved village where people still live in the houses. We also watched the face mask performance. As with many Korean sites, there are not many information in English and we missed the shuttle back to the main bus terminal. Do pay attention to the timing of the limited buses."
Great day out from Andong,"We took the bus from just in front of the Andong railway station (opposet side of the road), paid the standard fare and were there in about an hour. Tickets bought we would advise having a look at the mask museum first to avoid any back tracking. Around the museum there are a few shopa stc and toilets. We then took the free shuttle to the edge of tha village. We chose not to hire a mobility type scooter as we felt we needed a walk. You can spent at least a couple of hours just walking around the village, popping into the open houses. We had a our picnic lunch (brought from Andong) on the banks of the river. We were told that the ferry across the river was no longer in operation so we did not get the village view from the other side. We stayed to watch the mask dance which is just outside the village , had a drink. did a bit more walking before catching the bus back to Andong. If you catch the bus from near the maks festival theatre you are more likely to get a seat.Gresat day out in wonderful sunny weather."
AMAZING,This folk village is simply beautiful. Surrounded by the river the place is well preserved and is authentic. We just simply loved walking around this village.
Excellent Preserved Village,"Unlike many other sites of this nature this one has no cast of simulating performers. This is a real historic village but it is lived in by modern day people. The houses are authentic: traditional mud stucco, with thatched roofs denoting the lesser villagers and tiles denoting the wealthy. The Sth Koreans have managed visitor access very well. You park and then travel in by bus. There is a museum paying tribute to a noted citizen and a cultural performance which had the native language speakers in stitches. We don’t normally go in for fake “cultural “ shows for tourists but this was more along the lines of the old English style mummers plays put on by travelling troupes of entertainers."
A look at Korea's past,"Andong Hahoe Folk Village is the place to go to see how Koreans lived in the past. The village is quite big and it's easy to lose your way even with maps provided. If you are in the area, it's worth a visit. They do have scooters for hire."
"Worth a visit, very pretty countryside","As with a lot of tourist places in Korea, theres a fair bit of guess work involved in where to go and best place to park up. This village is no different, if you want to avoid a lengthy walk from the car park, just keep on passing the car parks on the right until a parking official indicates you can't go any further.This village is a residential place and only residents can get their cars all the way in. Us tourists have to go on foot or buy a cheap travel ticket at a glass kiosk about 100 meters walk from the last car park. There you can jump on a pink single decker bus that will take you into the village. Otherwise its about a 1km walk.Inside you can opt to wander around by foot or hire a 2 seater electric bike or a 5 seater electric buggy. Take the buggy the Trikes are dog slow.There are many small shops selling handy crafts and tourism trinkets. There are a few cafes and restaurants. On an evening during Mask Festival there is a fire works display by the river, starts at 7pm ish. We didn't hang around but those that did told us later it was a good event.Its a place worth going to but I doubt I would go back."
Andong Hahoe Folk Village,This village gives a snapshot of the lives of the people in the early days of the Korean history. You will need to spend at least half a day to cover most part of the village/
Ancient cultural highlight of South Korea,"This is why you decide to get off the Soul to Busan route. Andong is a cultural gem, and being an ancient city, the food everywhere you eat is AMAZING. Hahoe Village is the number 1 attraction, and a perfect visual example of eastern style flow and harmony. Thevillage is amazing, and features one house that has been lived in continuously by the same family going back almost a millennium. Fair warning, go early to avoid the traffic!"
"Beautiful village, to bad about all those scooters","This traditional village is UNESCO world heritage and it's easy to understand why. This village takes you back in time and shows lots of traditional houses from an era that has long since passed. Hahoe truly is a beautiful village situated in gorgeous natural surroundings, but it is very touristic. Personally I really didn't like all the tourists riding on electric scooters through this otherwise peaceful village. The experience would be way more authentic without those scooters. I also had some doubts when seeing some of the modifications made by the inhabitants (clearly visible air conditioning and satellite dishes)."
The top place to visit while in Andong,"The Village offers a lot of historical homes and grounds to visit. Also the site of the Mask Museum, which is worth the time to include in the visit. It's a little confusing about bus returns to town, but everyone there is very helpful. We bought a beautiful mask at one of their shops."
Fantastic,"great stroll around this folk village with traditional houses that people still live in, plus seeing Korea from long ago"
What to say...,"Just another folk village, like we have seen so many in every town. The bus ride was fun, and at least we were able to visit the mask museum and the mask dancers once we were there."
Bof,"I was rather disappointed ..., you do not know if it's a museum or a real village ... for my part without much interest, even if it's still pretty."
Outstanding historic village ,Great place to feel the old traditional Korea like hundreds years ago. The village is full of elegant and pretty old houses. Must see World Heritage site.
I had the best time ever,"I had the best time ever in this village. I would definitely recommend this place to visit and to stay. It is beautiful, serene, historical, cultural and all the delicious food!"
Marvelous,"Very very nice place for a lazy stroll on a cold January morning. At least, that is how we did it. Not another single tourist insight, we saw some when we left after having been there for two hours. No glamour here, but authentic 18th and 19th century houses and people living tradition. I can imagine this place is buzzing with activities in the warmer months. "
Beautiful scenery from the top,I visited Hahoe Folk Village for the first time. Quite nice. When you reach the top you can see the village which surrounded by a river and looks like a small island. Its very beautiful scenery and the view from the top is amazing. Maybe more beautiful if spring time. 
Fantastic village!,"Amazing old town which listed in world heritage, hidden in the mountains surrounded by river. You should make an effort to climb up to Buyongdae to overlook the village first. Better be on a tour with a guide since the village is far away from Andong-si and more interesting to know the history."
