review_title,review_body
Not much to see especially the video on the sky road,I was really disappointed as the video didn’t show much animation or special effects. So my sister find it’s boring and gone off shopping instead. If you are nearby for shopping then just look see will be fine. Otherwise don’t waste effort to the go there.
Sky Road!,"Shopping is amazing. Visited a pet store and almost brought two friends home. Food was amazing. Was in town to visit friends and to see the nightlife. This city did not disappoint. Went to a coffee shop, had a discussion over who is better: the Eagles or the Heroes. Korea takes its baseball VERY SERIOUSLY haha. I enjoyed my time here very much. Can't wait to do it again. "
Interesting,Feels a bit dirty and smell of sewerage was everywhere. Shops around the area does make it interesting. 
Daejeon by night!,"Breathtaking in the night, when the huge display is turn on. Good for group pictures, marking events, surprises, marriage asking :))"
Do not go during the day. You'll miss all the fun,"During daytime the beautiful ceiling of Skyroad is off, which is utterly disappointing. Hence, during the day it's just another a regular, loud, market street, with music blasting into the allies from the loudspeakers of all the shops. The main attraction -- the gorgeous ceiling -- is only visible in the evening."
A Lively Weekend in Daejeon,"There is a light show in the weekend, and sometimes there is your face recorded and showed in the LED screen of Skyroad. You can find so many cosmetic stores, food stores, and others. The interesting places that I recommend are:- Sung Sim Dang (성심당) bakery (from 1956) that has authentic fried bread named Soboro (소보로) filled with red bean paste in yellow paper bag and with butter paste in purple paper bag,- Yoogane (유가네) a Korean food restaurant (semi fast food)- Farm's Chicken Buffet beside Yoogane in the 2nd floor, where you can eat fried chicken as many as you can, with 8 flavour (from the sweet to spicy), plus rice and soda for only KRW 7,400 (2019). You can replace soda with beer and add KRW 1,500 only. Cheap and delicious!- the Artbox with many cute things you can find.You can reach this place by getting off the train at Jun-gang-no station in Daejeon."
"In Daylight, Skyroad unlit.","It was a decent shopping area. In the daytime, however, they do not light the ""Skyroad"", the primary reason I decided to visit in the first place. The shopping is decent, though."
Something for Everyone,"This is really a shopping experience, peppered by eating opportunities. In fact, from the moment you arrive at Jungangno station on the Metro - leave from Exit 2 - you find yourself in an underground shopping mall, fanning out in three directions from a large seating area around a fountain. Mainly clothes and accessories but also a good clutch of the Korean cosmetic / beauty stores - Etude House, Tony Moly, Innisfree, Olive Young etc.Progressing up to street level and into the warren of streets that feed into the Sky Road you are beset by the sights and smells of fried chicken, street food and shops and restaurants vying for your attention.The previous couple of times we have been in Daejeon, it has been summer and so the streets have been lined with stalls but, in February, things are quieter, which also means that access is easier.The Sky Road itself is, in essence, the spine of the shopping centre with all the other streets branching off it (like ribs I suppose). The shops are pretty standard and there are all the usual cafe outlets. You will probably come across an Ajuma trying to hand you a leaflet or someone attempting to entice you into their shop.If you cross the Sky Road and keep heading towards the river, cross it via either the foot or road bridge, you will come to the market, a much more authentic experience.That said, if retail therapy with frequent refuelling stops is for you, you won’t be disappointed."
Once is enough,"Nothing spectacular except for the LED screen used as ceiling. Haven't seen anything like it, and having seen it once, wasnt enamored enough with it to do a special trip to visit again. But if you're in Daejeon, and haven't seen anything like it yet, drop by. "
One of the places to go for retail therapy in Daejeon,"Just to put things into perspective, Daejeon is not as bustling as Seoul. For those who are familiar with Australia, Daejeon is to Seoul what Canberra is to Sydney.It is a welcome break to see a modern city like Daejeon that has a delicate balance between the usual amenities as well as urban landscape in a modern city with rural pockets. Skyroad is an area to get your retail and food fix given the concentration of small shopfronts boasting a variety of F&B outlets, famous Korean cosmetic brands and other retail concepts. Ideal time to visit is at night where you get a chance to see the huge 200m ceiling TV screen. It has a young vibe and it’s quite obvious given the hoards of teenagers in school uniforms hanging out there after school. You will be able to cover the whole area, including exploring side streets etc in a leisurely 5-6 hours"
