review_title,review_body
Good view,Apsan means the front mountain of Daegu that you park your car in the parking lot with free and then walk up of the mountain around 10 minutes then there is a cable car such as funicular charged around $2.00. It takes a couple of minutes and then show up the glass deck. You can watch the greatest Daegu panorama view.
The Trail Worth Walking Even At Night plus Good View about Daegu Townscape from Observatory.,Pal Gong Mountain and Apsahn that means Front Mountain in Korean surround Daegu City. However Pal Gong Mt is further from downtown or core of the city than Apsahn. Therefore Daegu townscape can be seen better at the Apsahn Observatory than many peaks of Pal Gong Mt. People can either use a cable car or walk to the Observatory. If people would intend to walk to the Observatory they could get off a bus or park their car near the Ahn Ji-Rang Gol Exercise Park. Then they can climb the mountain following the trail via the Ahn Il Sah Buddhist Temple. Even at night they can do thanks to many street lights along the trail until the Observatory. It takes 1~2 hours from the start line to the original position via the Observatory as a halfway point.
Be prepared for high-slopes and long flights of stairs.,"The view of Daegu on the observatory was worth it! We decided to hike instead of riding a cable car. A bottle of water should come in handy. But there is also a vending machine and a restroom at the middle of the trail near the temple. You can also see a variety of woodpeckers and tits. Would recommend if you want to clear your mind and keep your body in shape. As beginners, we hiked for around 2.5 to 3 hours back and forth."
Great place for a hike!,"Awesome place for a hike right in the middle of a city of 3 million people! Super nice trails with hikes for beginners, intermediated, and experts! Best of all is after your hike there are plenty of places to enjoy a nice Korean meal and adult beverage "
Worth the walk,"My friend and I took the bus to 앞산 and we walked to the cable car station, it was only about 600 meters but its a little bit of a walk (very pretty scenery along the way). The cable car ride had great views (better than 남산 in 서울 in my opinion). There's a little cafe after the cable car, my friend got ice cream and she said it was delicious. The views once you walk to the observatory are absolutely amazing, you can see the whole city and surrounding mountains. Definitely recommend spending a day here!"
Stunning!,My korean friend helped me to get there (without car it can be difficult) and I'm in love! The way to up is kinda hard and you can sweat like crazy but the view is worth everything! Adorable area while climbing and great spot to take photos.
Wow view.,You will need to walk up hill which is rather steep before you reach the cable car station for the ride to the top to have a fantastic view of the city. Not recommended for old folks or people who have walking issues. At the end it's worth the effort.
Nice sunset & night view,Very nice sunset and night view from the observatory desk. Very cold up there so be reminded to bring along a jacket. 
Worth the hike! ,I’ve been wanting to check out Apsan mountain and it did NOT disappoint. It’s truly beautiful and there’s two observatories at the top. Not a bad hike. 
Hiking,"Cable car ride was only average. Big and shared, left every few minutes instead of a constant one. Walking to the cable car is a bit of a distance as well so if you cant walk long distance, get a cab. There was a hiking trail but i went too late so didnt use it. The observatory at the top had a decent view, but i believe hiking up higher would have a nicer view. Restaurant inside serves a small menu, a tad expensive but has a camera view of cable car to show when the next cable car would leave. Above the restaurant had another observation deck."
Expensive ride for a quick view.,From memory it was about 12000 won for the cable car which you have to wait for and share with up to 20 people.There is only one going up as the other is coming down.You have to wait up to 20 minutes for a car.It takes about 10 minutes each way.At the top there is a cafe and some walks which are not well marked.No English.There is a view.
Nice Walk,If you're in the area it's worth visiting. Some nice outdoor walks and a cable car up the mountain for around US$10 return. Cafe at the top of the mountain. Not super fancy so probably not worth a long special trip. 
Amazing ,It’s a very good place in deagu South Korea. We enjoyed in cable car also it’s highest and place good place
With nature,"We spent the day out at Apsan Park. Caught the 410-1 bus to the end stop. Walked a short distance to the cable car entry (do stop by the Korean War Memorial and have a look inside), and take the ride up to the top. From there, we didn't go to the Observatory, but walked the steep 1km (worthwhile walk) to the top of Apsan Mountain. The view was amazing (not necessary to go to the Observatory if you go to the top as the view is better). Also there were not many people there.We wanted to walk to the King's Cave, but took the same way down to a junction in the path (no sign, but the rope barriers to indicate the alternate way down) and ended up at the Unification Wish Stone Pagoda via a very steep and rocky pathway (need good walking shoes for this part). This way down was really lovely. We past several older Korean citizens going for their 'regular' walks (very inspiring). We then came across the Ansil-sa Temple, walked down a very steep road before finding the bus stop at the end to take us back on the 410. A lovely day out filled with blue skies and nature !!!"
Walk up. its worth it,"whether its cable car, or walk, either is fine.the view at the top is worth the trip there.nice cooling air."
Cable car for one please,"Trip Advisor does it again.!!!! Aspan Park was amazing and the cost of the cable car was cheap a round trip for two was only ₩19000. The viewfrom the top was breath taking its only 1600m above sea level not much of an issue dealing with the lack of O2. The view reminded me of Monserrate in Bogota, Colombia. Just not as crowded and I will definitely visit again and walk the trails to the top."
Fantastic panoramic view ,"Get a bird's eye view of Daegu city from the observatory deck, short walk from the cable car station. Other than the observatory deck, there is nothing much except for a local restaurant. "
Nice view,Got the daegu city tour bus from out front of the novatel in Daegu. Took about 30min to get to the base of the park. 15 min walk to cable carCable cars leave to summit every 15min. Once on top spectacular view of the city and surrounds. Restaurant closed for renovations though. Probably pick a cooler day then when we went as sweat reminiscent of Borneo jungle.
Beautiful view of the city.,"We took the cable car to the top as we did not have the time to hike up. It would be another 10 minutes walk to viewing area. Depending on the time of the day and weather, it was quite a sight from the top. If there is only one place to visit while in the city, this is the place to visit."
Spectacular views and great hiking!,"We lived on the 13th floor and our view was Apsan mountain. We crossed the street and were hiking on the trail network which included Buddhist temples, wooden bridges, pristine forest and a Korean War museum. For those who prefer there is a cable car which brings you up to the top where you can enjoy a breathtaking view of Daegu and the surrounding area. We truly enjoyed our two years on living next to this beautiful park."
"Beautiful view, nice cable car, cute cafe near by",I went there with 2 friends. We had no time for hiking so we took the cable car and hiked for 10 minutes to the top. we arrieved right on time to take amazing sunset pictures and we had lots of fun.(I have a full vlog from this place)Near the cable car there is a coffee shop with delicious cookies.
"View of the whole city of Daegu, you can see from there. Apsan very steep mountain.","Apsan means ""front mountain"".Apsan park is located lower part of the mountain, not top. So don't be misguided. You have to search the location of observatory with the name, ""앞산전망대"".Actually, your destination must be ""Apsan Observatory"", not Apsan Park. Very high and has a good view. You can see the whole Daegu city there. It is not the summit. You have to climb up about 1km more from there. Weekends there are many visitors. If you like hiking, you don't need to take a cable car(funicular). You can see the city surrounded by mountains. Very good. It seems to me that it is the top side(destination) of the Cable Car(gondola). To get the Apsan Observatory, you have to walk down more a little bit from the arrival point of the cable car.Also you can find Daedeok Fortess remains.Daedeok Mountain Fortress.There is not many left there. But you may find some remains there. Daegue is surrounded by mountains and Nakdong River, which means it is very good place for defending from enemies.이거 리뷰가, 한글만 글자 카운터에 들어간다니. 이건 뭐냐...영어는 왜 안돼? 어쨌든, 여기 대구 시가 한눈에 보임. 전망대를 찾아가길 권장."
Great hiking with good view ,I decided to do the hiking for this trip and I chose Apsan park ! The way to do hiking was good and had a nice temple on the way. It developed a lot for convenient of the visitor. The view I got was wonderful. 
A pleasant hike and surprisingly good restaurant at the top,"The hike to the scenic overlook is easy, but to the top is more challenging. Worth it on a clear day for the great views of the city. The restaurant has good fried rice and Korean Pancakes. "
Great views of Daegu ,"I went on a sunny day in march and the views from the top were great - on one side, the faded green of more mountains stacked in to the distance, on the other side the city of Daegu (which I hadn't realised was so big!) There are lots of trails and it's well signposted in Korean and English with distances marked to the next point as well. You can hike up to Mt Apsan and a couple of the other peaks, or follow one of the trails along a valley walk. Some of the paths are quite smooth and surfaced with a kind of mat, but others are steeper and more rugged so there's something for most levels of fitness, whether you want an easier walk or more intense hike. It doesn't take long to get there by subway and bus either. A nice day out for a breath of fresh air from the city. "
