review_title,review_body
Interesting village!,"it is unique ancient village, probably over 100 years old, pretty organized, quite.. something different!"
Ancient Village at Jeju,"Ancient Village at Jeju where we can still look the village from the past , mixed with today technology.The tour guide is very nice to tell us the story about this place and help us to take picture while we're here.We try the guide in Chinese and English."
A huge place of Jeju's past,"We visited this place as we were told this folk village is a well maintained place compared to others. The entrance fee is KRW11,000 per person. We came here around noon. We went to the restaurant to have lunch which is just a few minutes walknas you enter the village however we were told that they are closed for a private function. We end up having junk food from the convenient store near the entrance. I wish they would have informed us much earlier or put up proper notice on the matter. Anyway we went ahead to discover the village. The paths are clearly marked and easy to navigate using the map. At each exhibit, there are signage but lack of the story for each place. Some of the buildings are not so well maintained. You can't enter most of the buildings. They is a cultural show which we managed to catch, which ran for about 40minutes. You need to check the timing for it. Overall, the place is nice but we wish we had a tour guide who is able to explain to us in detail sp we can appreciate the village and the history of it."
Not worth the time,At least Pyeoson Folk Village had more flowers and more greenery and smaller than this one sk you don't have to spend so much time walking around looking at basically the same hut in different locations.Not worth the exhorbitant entrance fee. I'd rather buy food with that money. 
Make a stop & Enjoy,"The Jeju village is 5 minutes from Hyeopjae beach, with plenty of restaurants and cafe nearby. It's a perfect place to start off your day or end it. It's a beautiful good size historical park with plenty of things to learn, do and it's kids friendly with lot of interactive events to include a mini zoo. I would definitely put it on the itenary and start enjoying or end the day."
Beautiful scenery,I had the most amazing picture under the deciduous trees and surrounded by beautiful yellow canola flowers.
Everything About Jeju,"People say if you want to know about the place, you must understand the culture. So this place are all about it. They show the history of their lives, the culture, the utilities, the household, etc. A large place to walk to reach at each point but worth the knowledge. You have to pay the entrance fee just before entrance gate and they will provide you with the map/pamphlet according to your language. "
Culture/ tradition ,"It’s very interesting place to visit, the Korean culture and history over there. However, no any play or preform when we were visited ( it was a very cold ) But it’s still fun. Worth to go as a tourist. "
Back to the past...,"All in a single location. We could go back and learn of the past. There were even live animals in the pens e.g. black pigs, cows, etc. The village was also the location of various Korean dramas. Visitors could enter into the huts and experience how simple life was in the past. "
Not bad,"If you wish to understand Korean culture better, this is a must visit place as they have these display for better illustration for you understand. You can walk around the park nearby this Folk Village as we went there via Jeju City Tour Bus. "
must go on correct day,"Remember dont go on Wednesday, cause dont have performance on Wednesday.Basically is a place to let you know more about previous life in Korea. "
Educational visit ,Picked up some info on how the culture and how the locals used to live. Quite an educational tour. They also sell some products like their honey and horse oil cream although they are rather pricey. They take cash and credit too 
Traditional village museum,This is a museum depicting life in a traditional Korean village. Great place to explore and appreciate the scenery as there are flower gardens as well. Great place for photography. 
It feels like walking in the past,I think i spent almost 3hrs here. I like the feeling of knowing how Jeju looks like in the past. How they lived and what they do for living. The place tells more than a history but a place of appreciation. Im fan of historical drama so definitely love this place.
Worth the visit,Spend 1.5hours there. Autumn weather and view is amazing. 11000won per adult is quite pricey. Theres real animal in that museum
Museum that show some of the scene from korean dramas,"Location is really big, finish the whole tour in around 2hrs time, u can estimate how big is the location... great views around, flowers, ancient equipment of plowing, fishing, saw a cage of chickens, ducks, peacock, saw ostrich, rabbits/ hares, deers and even horses. 1st time to see all the animals that near!!! ancient rooms that only seen in Korean dramas, understanding the famous things that in Jeju Island, 3 of many things"
Underwhelming ,"The folk village was quite large with some interesting buildings but everything looked samey after a while. I was hoping to see a variety of performances on the stage but it was only a few songs sung by a group of women - charming enough but not what we were expecting. The foodie street also didn't have alot of stalls open though we did buy some cactus taffy which tasted like treacle and raisins and lasted us most of our trip in SK. One good thing was the interactive bits such as the old games children used to play. Having been in folk villages in other countries where there were people in traditional costumes showcasing different crafts and activity, the Jeju one was a little disappointing. "
Must do when in Jeju to learn about Korean history and culture. Vast grounds and exhibits,"Jeju Folk Village Museum as it appears on map for Jeju, is on the coast and is a must do for history and culture buffs. There are hands on exhibits that kids and adults can participate and use around the village. The park and museum is large and takes 2 to 3 hours at least. Perhaps longer to see everything without rush. We were quite impressed by the size, the crafts people making products, and the exhibits throughout. There are ample restrooms, snack shops, and Korean traditional products sold in the gift shop. There is also a restaurant on premise.The Jeju Folk Village attracts students from all over Korea as well as tourists from other countries. I highly recommend the park. There are beautiful floral blooms as well as animals, photo opportunities, and lots of traditional Korean history and culture to learn about. Well worth the price of admission. Plan to spend half a day here. Arrive early to avoid the crowds. There are some great gifts and candies to be found around the village including the traditional Korean taffy near the Hanbok photo place, and the gift shop."
Such a great place to learn about history and so beautiful!,I wish I had more time to spend here when I visited. It was such a great place and was very interactive. It was great to have the English audio tour available too as we learned so much more. So well laid out and I would highly recommend it to others.
Quiet Folk Village,Need a tour guide if not you will not be able to understand the differences of the houses. There are audio help for rent available I think but we didn’t check it out as we have your guide. It takes around 1.5 hours to cover the place. 
Huge place to experience Korea olden days,The place is huge and you can rent translator to explain the huge place at 2000won. Entrance Fee is not pricy but we do love it. Do go during spring as there's lots of flowers that start blooming when we go over.
Interesting,It is worth seeing these homes and way of life. Of course they want to see you something at the end but the short tour was worth it.
Unnecessary stop,"A very few houses in old style and lengthy explanations treat your Patience. At the very end you can buy horse oil and horse cream, not an excellent idea"
An Interesting Cultural Site,"If you watched Korean Drama ""Dae Jang Geum"", some scenes were taken here. It speak volume of this museum. The whole walk may take 2 hours or so if you read the description. Well recommended."
Interesting place if one wants to know the culture of the older generations in Korea.,"A chartered taxi for 5 persons cost 120,000 won from the Vistacay hotel area. This area is very far and one definitely needs to charter a taxi to this place as it is very difficult to get one. All taxis there are chartered."
Expect to have more information,"spent 2-3 hours to walk through despite it was a hot sunny day. The park is well designed and large, and showcases a number of house and building of old Jeju. However, I would like to have more and completed information (in English). For me, a foreign visitor, I have no interest in those scene for TV film making. Again, the park grows different plants which impress me."
A little disappointing,"The village was rather quiet and not as lively as in the pictures shown online. We were expecting to see interesting performance with some dancing. The actual performance was below par, with just 2 ladies playing stringed instruments. There were no animals around except for 1 horse. Most of the houses were bare. The Dae Chang Geum theme park touted was actually just a small hut with some boring exhibits!"
A trip back to the olden times,"Great place to experience how the early koreans lived. Learn more about their way of life by exploring the village. There are hands on experiences like grinding the corn, playing traditional games, pounding grains etc. There is also traditional folk dance performance daily. Really fun and interesting!"
A peep into Jeju lifestyle a few centuries ago,"From traditional houses, farms, fishing implements, dresses, herbs and musical instruments; all are recreated under the straw-thatched roofs in this pleasantly landscaped Jeju Folk Village cum Museum. Also included are jails as stark reminders of Jeju as the exiles' island."
Great day out!,"A wonderful recreation of traditional living in South Korea with working areas, small demonstrations, food and gift shop areas. Very informative displays and examples of traditional life. Very worth the time, small entry fee and effort. Great day out."
Wonderful Excursion,"Learning the culture of early Korean, way of life early development of Korea. The weather is fine, we enjoyed it."
Family with young kids,A good place to learn more about the historical & cultural of olden Jeju.Warm welcome to enter the village home n interesting story to be told.
