review_title,review_body
very windy,"it was amazing view, but very very windy. no wonder why they named it “windy hill”. oh and there are many stairs, so if you are carrying little baby, i do not recommend coming here :( "
the place to be seen,the place to be seen. the best gate away in geoje. you will experience fresh and cool air in December to march
Great views from what is basically a windy sight,Its a windmill similar to that you would see in Netherlands but much smaller. It is not operational and looks to b more of a model. But there are some lovely cliff side walks along the bay and the wind is a constant cool stream off the sea. Go eraly in the morning in order to get a parking space as its always been busy when I have visited.
Windy Hill,"The view was very good.. One of the must visit places in Geoje. I have visited twice and when compared to other places, this one is always a little crowded."
Lovely view of the coast line,"It was a beautiful spring day very little wind, we drove down the coastline from Okpo-dong to Windy Hill, parking was scarce as the place was so busy. We decided to park up at the coffee shop Angel in us. You get a great view of the bay and the windmill from inside nice to sit and chat over a coffee with a great view on the side. We left the car there and took the quick walk to the windmill, its there you feel the sea breeze, fresh and lovely views. You can walk on further but we did not want to hog the parking slot at the coffee shop so we returned and left. The drive back we took the mountain inner road route the roads sidelined for the climb with beautiful cherry blossom trees. A lovely drive back with spectacular high point views along the way."
"Quaint village, amazing views!","The fishing village at the end of our drive to Windy Hill was very quaint! Locals with nets laid out in the sun checking (repairing), anchovies laid out to dry. Very helpful & polite man whose van was setup with travel brochures. The walk around the area & up to the windmill was very well maintained & an easy walk. Several flights of steps, concreted pathways.Views were stunning on the clear, sunny day we went, although the temperature was very cold. Recommend wrap up warm, if visiting in the winter months."
A must visit for nature lovers,We visited Windy Hill as part of a tour package and it was easily the best part of the tour. The views were stunning and the seafood restaurants nearby were all delicious. A must visit if you wish to impress your partner. 
love this place and the sea,The view is the highlight from this view point. I got my driver to drop me at this point and it was a exhilarating view seeing the blue sea and enjoying cool wind here. Would return here again if i return to this side of korea.
"Refreshing breeze, fabulous panoramic views and beautiful windmill from a hill top","My family and I spent a wonderful 2 hours at Windy Hill after our Oedo Botania trip.Getting there:We drove 2 hours on a AJ (Avis) rental car from Busan city centre to the peaceful Dojangpo village of Geoje Island, where Windy Hill is situated. No fees for car park and similarly no entrance fee for Windy Hill. The attraction: Before 2002, Windy Hill was used to be known as “Ttibatneul” (meaning “vast green field”). It became famous after a few popular Korean dramas (e.g. Garden of Eve, Wooden Horse Carousel) as well as the entertainment program Two Days and One Night were filmed here. As with all visitors who were there, an easy climb (walk) to the windmill – synonymous with Windy Hill – is a must-do activity. From the top, we enjoyed the fabulous panorama of the south east coast of Geoje Island covering the Hallyeohaesan National Park, Dojangpo Wharf (ferry departure for Oedo Island), Hakdong village, Oedo Island, lalang fields, Sea of Japan and the surrounding cliffs. You could go further behind the windmill and you get a great photograph of the windmill sitting amidst the surrounding landscape. At the base of the attraction (i.e. the land tip), you could see shades of blue, turquoise and green of the sea water where the sea touches the rocks – really beautiful. The best part was while we were enjoying the panorama, the gentle sea breeze kept blowing at us – and it’s so refreshing such that we forgot our stress and tiredness! If you are hungry, thirsty or tired after the walk, you could go to the restaurants at the Wharf as well as at The Twosome Place. If you would like to buy dried fish (not sure what the name of the fish is), then there is also a shop selling these and sunning the fish. If you are travelling to Geoje Island for the first time (like me) or if you are wondering where to get great photographs and Instagram-worthy wefies and selfies of fabulous landscapes in South Korea, then Windy Hill has to make it on your list. Don’t miss this iconic attraction!"
Geoje Blue City Tours,"I used Geoje Blue City Tours to get around the eastern side of the island and enjoy must-see places like Windy Hill, which was stunning. For 15,000 won I took an 8 hour bus ride that included not only Windy Hill but the western-style botanical garden in Hallyeohaesang National Park on Odeo island, and the stunning Sinseondae Windmill. My charming guide Mr. Kim spoke English and went out of his way to include me as I was the only non-Korean. Although the traditional lunch of anchovies three ways nor the price of admission to some of the sights were included (All together the day cost about $50), it was an awesome, easy way to see the major attractions. Because I was traveling solo, the website wouldn't allow me to make a reservation. I called and was instructed by the guide to just show up at the main bus terminal which made me a little nervous but everything was above board. If you have only a few days and want to see as much as you can without stress, I highly recommend this tour."
