review_title,review_body
Arty village with history,"This was a lovely little village that’s been turned into a large tourist site. Be sure to buy a stamp map at the tourist desk, where you can follow and collect the stamps and the stamp route will give you a diverse course exploring this quaint arty village and a good workout as it’s hilly and some areas has lots of stairs. Everyone we met at this village is super friendly but please be mindful that this village is also someone’s home and to respect their privacy too. "
Lovely walk around village,"I was hesitant at 1st because we did Hanok villages and they were all same..but this was beautiful..lucky to have sunny day..beautiful view of colors of the houses. We walked around the whole village,took couple of hours..Has coffee shops & souvenior shops.We got a local bus from main city and got off just before the steep hill to village..then got a mini bus No 2that took us to the entrance of Culture Village..too steep to walk..so. take a mini bus."
So beautiful ,The village is amazing and you can take really great photos here. It's a must see if you're in Busan! 
Quite visually attractive ,"Lots of colorful houses near the water provide the setting for a sweet vacation spot. Bring good shoes, as it is quite hilly here. Good place to find souvenirs. Most enjoyable walking around and finding the unexpected treasures. "
Korea's answer to the Cinque de Terre,A great place to wander round and see the old style houses and the little museums and when you need a coffee break you can find a place that looks out over the rest of the colourfully painted suburb
Gamcheon Culture Village/Busan,"Interesting place to go on your own by taxi. With 2 GFs, we had a good time with lots of pictures taken with the painted mural walls, a village of colorful houses. The main attraction was finding the statue of Little Prince perching on a platform, overlooking the colorful village of houses. Long queue to take photo with Little Prince. Lots of local souvenirs to hunt for.. we bought pretty hats to coordinate in our photo taking.Overall worthwhile to roam around with my 2 GFs."
Piece of South Korea’s History,"Thoroughly enjoyed walking through this historical area (for refugees of Korean War). Today, it offers fun photo opportunities, snacks and crafts."
Just get lost!,"The best thing to do here is to get lost! We got our bearings over coffee in the Avant Garde Café at the top of the hill where the taxi rank and buses are, then set off. We managed to discover a temple, the House of Peace and the Steps to the Stars (luckily on the way down!) and several interesting murals and colourful statues of people and animals. There was a massive queue by the Little Prince and his fox so we didn’t hang around for a photo. "
The BEST place in South Korea!!!,"Of all the places we visited in Seoul and Busan, htis cultural village tops our list!! It reminds me of the Rocinha favela that we visited in Rio de Janeiro many years ago. This village is so unique and full of character. Despite the narrow lanes that snake through the residents' houses, I don't feel claustrophobic or cramped like I did when I visited the Hanok Village in Seoul. There are also many quaint shops and tea houses here. Overall, it is a very classy place, and not too touristic or tacky. I love ths place! Highly recommended!!!"
Cute village,"This is one of those places that's a nice photo stop of all the different colored houses. However, if you spend some time there, you see what poor conditions exist there. It's not really a nice place to go to, just one to get a few quick pics of."
