review_title,review_body
Small and Free,"My visit here occurred on my third time in Seoul and I did not regret missing it on my first two trips. Unlike other recreated villages I have gone to worldwide, this one offers only five traditional houses, which have been moved here. They provide a good cross-section of how Joseon Dynasty citizens lived, but none beckoned to linger; and no hands-on activities, such as wearing traditional garments, were available on an early weekday afternoon in November. Though there is no admission charge, the free access did not seem to stimulate interest, at least at this time of year. I saw only a handful of other visitors during my brief exploration. But this atmosphere proved to be a nice change from the crowds at popular tourist attractions, such as palaces. I enjoyed sitting by the pond here for a while and walking along one of the trails in the park at the rear of the complex.The village is near the Myeongdong area of Seoul. By subway, take Line 3 or 4, get off at Chungmuro Station and take Exit 3 or 4."
Beautiful and Educational,This is a great place to spend the afternoon exploring and seeing the traditional style of living and shops. Really loved it here and It's free and easy to walk around.
Birthday trip,"I loved this tour. The steep inclines and quaint houses and shops is reminiscent of our tour in Tuscany (on much smaller scale). So picturesque, I can understand the attraction for tourists. But I sympathize with the residents having to put up with us taking selfies in their doorways. We only stayed for about 30 minutes. It’s a real look into the history of South Korea."
Very nice,This Hanok village is easy to find and is walking distance from my hotel. The heritage houses are well maintained and is good to visit inspite of being free access
A peek at Joseon culture and traditional houses,I didn't have high expectations as I went to Bukchon Hanok Village before; so reckon it'll be similar ie cafes housed in traditional houses etc. But at Namsangol Hanok Village (NHV) surprises me at every turn. First you can experience 1 hour sleeping time in the hanok (for a small fee). I thought that's a very refreshing experience in true sense of the word. Next you can rent traditional costume and take photos or pretend you're in a period drama and walk around the village. We also came across a gentleman who is a falconer and told us many information on this ancient heritage of korean falconry. The cafe nestled in the middle of the village is also very quaint and the souvenirs are worth looking at.
Excellent ,"We visited yesterday, 20/07/19, a family of 6 aged between 6 - 69. No entrance fee that we noticed. Information hut was on your immediate right after entry. Lovely clean toilets all the way round the area. This trip was throughly enjoyed by all. It was a nice steady walk around the village and gardens. Fun games for the children to take part in as you walk, including a stamp collecting map for the children to find stamps as they walk around. Lovely village and So clean and well taken care of. Some very large Koi fish in the lake which the children enjoyed watching. We could have hired traditional dress at the entrance but with the humid heat we would have struggled. I would happily go again for a lovely peaceful stroll. "
Good,"It’s very close to our hotel. Its a good place to visit, cultural heritage with traditional houses. Fresh atmosphere. It’s free access. Also its not so many people like other tourist attractions, so i like it. "
Great way to experience Korean culture ,"This place is a hidden jewel if you experience some of the traditional Korean culture. The park itself is peaceful and very walkable. One must try “Experience Korea” items at a nominal fee such as making bow and arrows, making crafts, making game pieces, rice cakes, etc. The instructors are people who are experts at these Korean traditions and passionate about sharing them. "
Nice Village,Just take a short walk from Chungmuro station and you will reach this village. Admission is free. We walked around the few traditional houses and the pond nearby. It is small but peaceful and not crowded. A great place for a stroll and photos.
A good look into what Korean life was like,"This is a good place if you want to know what Korean culture is like. They have a replica of a Korean village with the traditional furniture. There were demonstrations of Korean activities, ranging from Korean toys, make Korean rice dumplings and a Korean tightrope walker."
