review_title,review_body
Great in all weathers!,We stayed on a hotel overlooking the beach and we loved the beach itself and the whole area. Lots of restaurants and bars to choose from and a wonderful beach to stroll along- plus the convenience of the compressed air pumps to clean the sand off your shoes afterwards.
Spectacular lights and fireworks,"We visited this beach early in October, and it was very lively and so full of lights. The view of he Diamond Bridge all lighted up was spectacular. There were also many concerts and live performances going on at the beach. We also saw fireworks - beautiful place to be at night. I doubt it will look so interesting and good during daytime. Plenty of restaurants and bars around for dinner. We thoroughly enjoyed our night visit here to the ebach. Highly recommended!!!"
Great to stroll ,"This beach to great to come to, to stroll around and there are plently of restaurants to choose from "
Night view,"Came in the evening, Gwangandaegyo Bridge night view is beautiful. I suggest come before sunset and stay til early evening."
Nice stroll,Take Line 2 to Gwangan Station and walk from Exit 5.Turn right and walk for 5 minutes down 7 blocks to arrive at Gwangalli Beach.Perfect for a day out at the beach
Wow,"Lovely fees and clean, nearby restaurant and coffee shop, with sea view. Would have like to spend more time here"
Perfect View from the Beach,"The sun sets perfectly well at Gwangalli Beach giving you a beautiful reason to end the day. The view from the beach is breathtaking. Too bad, South Korea seems to have a litter problem where there are literally litter at most popular tourists beaches. If not for the litter, it will be a great beach to visit. "
Lovely in the night..,"Best time to go is late afternoon/sunset and evening.There are a lot of shops, restaurants and nightclubs all around.Here you can often find shows in the street, like outdoor theater!Beautiful and young atmosphere!One of my favourite place in Busan."
Nice beach,"you can easily reach that beach by taxi. It is a free beach access with the chance to rent a sunbed and a parasole (10,000 each). Nice sandy beach and more quite that Haeundae beach"
Not bad for swimming but very nice for night walking ,"It was crazy crowded and water wasn’t clean. I didn’t get why it is one of the famous beaches. Whatever... I didn’t like swimming but there were so many sea shells. If you like collecting them, it is good place. Especially if you have children ‍♀️ We liked being there night time. There were so many street musicians, gwangan bridge was very nice. There were so many restaurants, pubs. So you can enjoy your dinner by watching sea, bridge, people crossing by"
Happening,Went there on a Sat evening and it is so lively and happenings. Groups of performances around and so many people there. Went there to watch the light up of bridge too
Visit Gwangalli at night,"Gwangalli Beach is famous for night time visit, because there are good restaurants and you can see Gawngan Bridge lights decoration. It is very safe to walk around. "
The sea is filthy dirty,"I appreciate there has been a typhoon recently, but there is no excuse for the authorities not to do everything in their powers to clean the sea where bathers swim. The sea was disgusting, being full of plastic and other garbage. It's a shame because the beach and the surrounding cafes and bars are great."
Great Beach Area,"Didn't make it during the day, so not sure how water temp/cleanliness is. But definitely smaller waves and quieter than Haeundae beach. We went on a Sunday night, and there was still a lively market along the beach, a show on Gwangandaegyo bridge, and they closed off a main road for some fun, games, and entertainment. Overall, very nice fun spot. Worth visiting if Haeundae is too packed."
Well this is just a perfect loud and vibrant place,"Full of restaurants and cafes that stay open until late cramped with young people. Go, enjoy the incredible view of the bridge and have fun walking or playing at the beach. "
Less crowded than Haeundae Beach,"This beach is the perfect place to relax. Haeundae Beach is usually more popular and well known however, I find that beach is so much more crowded and doesn't have nearly as a nice of a view as Gwangalli Beach. There are umbrellas that you can pay to rent and sit under, or you could just lie on the beach without one."
An in-town beach ,"My hotel host recommended me to check out this beach at night. It is certainly really interesting in the evening when you can see the Gwangali bridge lighted up, but the area also is thriving with people and there are a huge community of bars and restaurants around. Even if you are not swimming, it is a nice place to hang out in the evening. During day time, the walk on the edge of the bridge all the way towards Millak side direction is highly recommended. Nice stretch of walk where you can walk right up next to the water. In fact, you can walk all the way along the water front to Centum City to catch your shopping or check out Spaland. It may take 40 minutes of slow walking from beach to Centum. I prefer this beach to Haeundae Beach because it seems to have more personalities. Not a typical beach. "
A lovely & clean city beach with night lights,"I wish we had more time here. It was lovely walking around here after dinner enjoying the sea breeze and the beautiful night lights from the bridge and surrounding buildings. It’s a clean and very well maintained beach and what is even more enjoyable is, it wasn’t crowded at all. There are plenty of cafes, shops and restaurants that open late along the beach. Come here for a relaxing evening. "
Bridge with a light show!,"We were here before sunset and stood on the nice sandy beach and looking at the long bridge. The bridge is lighted up after sunset. At 8pm, there was a 10-minute beautiful light show. Don't miss it! There was another one at 9pm. Check out the time of the show at the information counter. "
Nice view,"Better than Haeundae just because of the bridge view. Lots of cafes as expected. I went during the week and it was pretty tranquil, better than expected anyway. Take some nice photos with the bridge in the background."
Day and night ,"Lovely little beach to go see day or night. During the day, there is a lot of places to enjoy the beach. At night, it is the perfect place to sit and enjoy the light show of the bridge. "
Recommended,We took the Metro to Centrum Station and after seeing all the sights in the area decided to walk along to the beach area which we really enjoyed. A lovely beach. We didn’t stay on to see the bridge lit up which we later regretted.
Beautiful beach,"We went to Gwangalli Beach at about 5pm so that I get to capture the view in daylight and after sunset. There are lots of shops in the area and we went for a wonderful seafood dinner to help kill time. You cannot see the sun setting as the beach faces east, however, the transition from day to night is quite mesmerising. Hope you like the pictures."
Nice place,"Lots of people visit here, but almost of them are Korean. Some came here with their children, some came with their lover, some came with their dogs and some came alone. "
Disappointing,I will say this place was really disappointing. Went for the bridge lights display and it was really underwhelming.
nice beach,nice beach with plenty of eateries all over and a great walk way with some pic spots for creting memories
Beautiful and well kept,Went to look at the lights display the the beach. Beach is clean but too cold to stay there. Many beach front restaurants and coffee places I think will be wonderful place to chill in summer time.
Must go!!,Best view all day.... such a romantic place where a lot of couples come. You can run along the beach. Allow for pet
Best beach in Busan,"I stayed at Haeundae beach, but Gwangalli beach has a more vibrant feel and much better view, with offshore islands and a spectacular bridge."
Great ambiance and restaurants,"Strolling along the beach, enjoying spectacular view of The Bridge during daytime and beautifully illuminated once darkness falls."
Busan,We visited the Beach during the day and then as part of Night tour of the city the bridge at night is spectacular and the light reflecting on the ocean beautiful. Visiting in winter might not be the best time.
Amazing Beach Date Spot for young couples!!,"If you’re into live music, clubs, bars, modern restaurants, or beautiful night beaches; you must visit Gwangalli Beach which is a ~40 minute train ride from Busan. This beautiful beach overlooks the lit up bridge at night and provides relief from the hectic city life. There’s literally a live talented musician singing on every other block on the beach. This is the perfect date spot as there’s multiple restaurants and bar at the beach front without the bougie cost. One could easily spend half a day here and I strongly recommend to visit during the evening/night."
Go there by night!,We recommend it at night! We are charmed by the whole city but it's hard to find a second place with such tall and illuminated buildings that throw light into water in the evenings! it gives a great effect! Just great! I recommend especially for a spontaneous date! Believe the Partner will appreciate it!
Very nice beach,We love going to this beach VERY CLEAN. Great beach! Nice coffee shops and restaurants next to the waterfront. Night time the bridge lights up and amateur talent lines the boardwalk. 
LIKE😊,"It was Spring 2018, I took the subway and got to Gwangali with ease...it was chilly but a bright day. The lovely beachfront was lively and friendly. Liked the relaxing local vibe.The open air concert was uplifting. By night, the bluesky beachfront view turned to a gentle glittering seaview framing the elegant bridge...such a great view for korean seafood dinner, followed by coffee with luscious chocolate roll at Molly's. Ps Do explore the surrounding residential neighborhood-its interesting n pretty cosy."
Best Looking City Beach,A very pretty beach with an amazing view of a gorgeous bridge. I highly recommend arriving at dusk and just appreciating the lights of the bridge becoming brighter as the sun goes down. Plenty of restaurants along the waterfront mean you can appreciate the beach and its view without getting sand in everything
