review_title,review_body
Good beach :),"Very good for relax and some swimming (water in September was not too hot). If you had a time - visit a nice small island ahead, very recommended! :)"
Relax time in Hyeopjae ,Wonderful beach in Jeju island. Very clear water. Amazing colors and good vibes all around. You can spend here one day to have relax and chill out. And If you want you can walk around. There are close to the beach a lot of restaurants and cafés 
Lovely sandy beach and very clear waters,"The beach by bus is easy to get to the bus stop is located about 1 or 2 minutes away, the beach is clean and the water is lovely and blue"
Massive... not setup for swimming at low tide,Car parking near the beach is a nightmare... too many cars... cars parked improperly... but at least it was free.I really like this beach as it was very clean... although there were a lot of people the beach can easy absorb them due to its size... lots of cafe and coffee shop nearby I arrived at low tide and it wasn’t suitable for swimmers as the deepest point (next to shark nets) was only up to my thighs. So I was disappointed by that.. maybe it’s a lot better during high tide....Another negative is you have to pay to use the SHOWERS.. 3000w for adult and 2000w child.... shower gel and shampoo is available... for a price
"Calm, clean and beautiful beach","Water was very clear and sand was clean. There are some shops on the beach, and toilet facilities close by. Plenty of eating places around the area too. A nice beach to spent a day or just a little while. There are people firing fireworks at night. So if you happen to be there when that happen, you are in for some light show."
Nice beach for a walk and pictures,My girlfriend and I went for a walk here and sat on a bench to watch the sun go down. It was a picturesque setting which we enjoyed. There are hundreds of little rock piles people have built which I recommend seeing. We were not there to swim but the water felt good on the feet!Shane & Jill
Picturesque Photo Op Spot,We visited this beautiful beach as part of the Western Discovery Tour organized by Yeha Bus tours so we were only given a limited time to experience the beach. We visited during the early days of spring so it was still quite chilly. The views of the beach are undeniably breathtaking. Ten minutes is more than enough to get in those nice shots.
Beautiful Beach,"We go to Hyeopjae beach whenever in Jeju, lovely sand, good safe swimming, great rocks to climb over, the grandkids love it"
Average beach,"Of the beaches we visited in Jeju, this one was disappointing. The ground sand is covered in matting (likely to prevent erosion) and the area seemed a little untidy. "
Beautiful ,The beach is nice with a combination of sand and rock. Korean people use EVERY available inch of land. They pull their trailers and cars right to the edge of the beach and set up camp. Don’t understand why swimming wasn’t allowed. People were wading in the water. 
Lovely view and cafes ,Visited Monsanto cafe and found there are afew other cafes there next to each other. It's a must go if you love beautiful beaches. 
Photogenic colour of sea,"The colour of Hyeopjae beach is real. it is not edited. It was very beautiful, the black coral makes it perfect."
Crystal Clear Water,"One of the best beaches in Jeju, we loved this place for its cobalt colored crystal clear water and fine white sand and the view of Mount Hallasan.Our kids enjoyed playing in water and collecting seashells, while we enjoyed walking along the shore.Food stalls, shops, umbrella rentals are available."
Clear water,Beautiful sand beach.Couldn't swim coz we visited during the autumn. It'll be too cold for us to swim.It's amazing to see lava rocks stacked at one corner of the beach. We had a very nice lunch nearby. Love their seafood noodles soup; but I forgot the name of the restaurant. Sorry guys. 
Beautiful sunset!,We are so glad we managed to catch such a beautiful sunset here! Had a cuppa latte at the cafe. There are plenty of cafe and restaurants around. Plenty of parking lots too! 
Great ,Wonderful beach. I stayed a short while and had a coffee it s a great place to relax go early avoid the crowd 
Beautiful,It's beautiful but really cold. I dipped my foot in the water because I didnt see it The water was so clear.. the sunset is soooo beautiful
Clear waters,"Went to hyeopjae beach just to try swimming while i was in Jeju. Rented a car and drove there, thought that parking was gonna be a challenge but managed to get one in mere minutes. Mum didnt swim, so we rented an umbrella + mat for her to wait at. Cost us 15K won. Not sure if it was cheap or expensive. They guy attending to the rental didn't speak english, thank God for a local young chap who helped us translate.Loved the vibe of the beach, everyone there was enjoying the waves. Where I'm from, our sea is not as rough. so it was really different to see everyone in their floaties waiting for waves to hit them."
Good,"If you wanna experience to swim in the ocean and in the volcanic water, this is the place. You hire the spot for couple of hours and until 6."
"Lovley beach, great views","This beach is adjecent to GeumNeung Beach - you can walk between them. Hallim Park is also next to it - all are walkable from each other. There are plenty of shops and umbrella rentals, etc. Camping is avaiable at the next door beach. Some areas are not for swimming due to strong currents. Lovely view of a nearby island. You can take the 202 bus from the 5 day market near the airport. Takes about an hour."
Black lava beach,"I stayed here for a couple of hours, swam, enjoyed the sun discussed the Jeju routs with young travellers. We laughed a lot & practiced 3 languages. Black lava beach is happy noisy place:-)"
Beach,"This beach is good and definitely worth visiting. Admittedly, it didn’t live up to what I had expected when I heard beach. however, I think this is due to me living near the Gold Coast & Sunshine Coast in Australia. Very good a must see of Jeju. "
"Great place, friendly and local","Stayed by Hyeopjae beach two nights, wish we stayed longer.Lovely place with a real local feeling, many cafés and restaurants around.Large and free car park.Don’t miss the beer battered chicken with beer by the walk down to the beach, opposite to the foot cleaning bath"
Fantastic Beach Better than Hamdeok,"We had a much better time here than at Hamdeok Beach. The water was much more shallow, more friendly for swimmers, less seaweed at low tide areas too. The water was clean and the cafes nearby were cute too. "
Paradise ❤️,"This beach is one of the most beariful beaches in Jeju, with its white sand and really good restaurants and coffeeshops nearby. Really recomendable to go! "
Beach near hallim park,"This stretch of beach is very near Hallim park. We happened to drive by and stopped for photo taking.There are few restaurants, cafes around the area and a convenient store.The sea is clear and there were lots of people lazing by the beach. Was a short stopover for my family, nice scenery, no harm stopping by for quick foto shoots."
The best beach in Jeju,"I visited 4 different beaches in Jeju. They all had their own charms but for popularity goes to Hyeopjae Beach becaue of good size and fantastic photogenic view. If you want calmer, smaller, less crowded and less windy beach, there is Kumnyoung beach right next to Hyeopjae beach. It is good for younger children to play. Hyeopjae beach was quite windy and cold. Of course Summer time would be different story. I was looking forward to riding transparent kayak but it was not operating in Apr. There was number on banner but no one answered. "
Very cold...but awesome!,I and my wife went to this beach as this beach was the first pitstop for west package in Yeha Tour. The place was very cold since we visited during winter season. But the scenery was very beautiful and lovely. Seriously recommended for the honeymoon lovers.
Not a must,"The tourist industry is creative. So they discovered a sandy patch on the Island and made it a highlight for an excursion to the Western part of the Island. After one picture you can leave. The sand is nice, however. I took a sample"
Beautiful colours...!,"Too bad we went in fall, I would have so wanted to go in those beautiful turquoise waters. But we sat in front of the beach and didnt realize how much time had passed by. The colours are impressive. My favorite beach in Jeju."
Excellent,Very beautiful beach although one has to pay a large amount for a spot with an umbrella on the main beach. You can however walk just a bit further and find another beach. Beautiful beach with clear water. It can become crowded in summer over the weekends
Average beach,"If you are coming from a country with lots of islands and beaches like the Philippines, then this place can be omitted from your itinerary. Food and drinks are readily available in this area but it was too touristy for me."
Chill Place to Relax,"Love this beach! Sand was soft and the sea was beautiful. We walked to the extreme left and it was peaceful, quiet and secluded."
Great beach and good place for a drink,This beach was really clean and had many food facilities available. There was free parking. We did come in October but I could definitely see this place full of people in the summer. It is relatively close to Jeju city and has quite a bit to offer. 
Another beach.,"Worth a visit if you are a beach person - lots of people. Plenty of food booths and shops close by, lots of gimmicks to buy to include in your day. Water was okay - typical sand in the pants type of thing!!"
Beautiful beach,"White sand, clear water. View of several islands. Family beach. Easy to get to, great to walk along the water's edge."
Known as the most beautiful beach in Jeju,It's a tourist packed beach in the summer time. It's quite expansive so you can go to your own spot thats semi private. Recommend you to travel outside the vacation period unless you love swarms of families with children. 
Beautiful sand and friendly locals,"We have visited this beach on our first day in Jeju island. As soon as we walked in we felt so happy to see this beautiful beach! It was beginning of September, it was hot but as soon as we went to beach we almost got frozen due to strong wind. Sand is white and when combined with clear sky water appears Caribbean blue :) it was difficult to find a place to sit as it was overcrowded. We asked a lady in a local shop to keep our belongings for us while we are swimming, she was very kind and didn't ask any money from us. We also met sunset on this beach. It was gorgeous.Tip. Take a windproof jacket with a hood of you cannot stand for wind for a long time.Renting a place on beach with umbrella costs 10,000KRW. Renting some inflatable toy (flamingo for example) is also 10,000. Life vest/goggles rent is also 10,000. And you won't see any price tags around, kind of weird.Food around. Chinese restaurant across the street serves nice jajamyun noodles for 6 or 7,000 KRW. I can recommend it. Drinks - cafe bene with gorgeous view. Average coffee. Good bagels with crab meat."
Nice sandy beach,Even during slightly overcast conditions this was a very pleasant stroll. People enjoying the very blue water and peering into tide pools. Progressed from lava stones to smooth sandy beach.
Popular beach,"Fish and chip shop with Aussie beers, wines and S. African Savanna cider :) Many other eateries nearby."
Very Beautiful beach with clear waters and local people,"We originally got the bus here to go to hallim park. we noticed this beautiful beach and decided to check it out. anyway we ended up staying here all day. Was so nice to be on such soft, yellow sand with clear waters. There was quite a few families with young children which was nice to see all the children playing. Unfortunately there was a digger truck digging the sand while we were there for a few hours and a man kept blowing his whistle at everyone walking near the truck. if it wasnt for this it would have been excellent. Theres shops and restaurants close by and toilet blocks that provide flowing water to wash off but this is cut off around 5 or 6 pm. Sunset here was amazing."
Lovely and shallow beach for snorkeling,Very lovely and shallow beach so good for snorkeling. And actually quite famous for snorkeling already. You will see lots of young people in summer. But it has also great scenery in winter too.
Beach has potential,This is not your traditional beach. It is quite rocky and has limited sand however really spectacular geographical features to see here. Lots of restaurants nearby and also you can visit Hallim park for a few hours. Think this beach would have been better in the height of summer (July- August). 
Most beautiful water on the island,This is a great beach with the most beautiful water on Jeju. The waters are crystal clear and the color is picturesque. The lava rocks add to the beauty of this place. 
Turquoise Water & White Sand - A tropical Gem!,Spent a Sunday morning relaxing on this magnificent beach. Its emerald coloured crystal clear water and fine white sand laced with shells that makes it glitter. A magic location!Cannot wait for the moon to appear and make my summer complete. Walk all the way round to Geumneung beach and enjoy the stroll on the white sand.
Dog walk along the beach,We are staying near to here and stopped on a drive through. Great photo opportunity and it's clean with white sands. You can take your dog here also which is great and there is camping available also. A nice little stroll around the point and there is another little cove also. Not very busy really at all when we visited. No swimming signs everywhere but great for paddling and taking In the views. The sea is beautifully blue in the shallows
Most beautiful beach in the West side of the island,"This is one of the most beautiful beaches in Jeju island. The sea was so amazing, water so clear and having light ocean blue color. from here you could see the Biyangdo island, very close. However, it was rather cold and windy for us, so we could not swim just wandering around. we spent around 2hrs here. we got here by intercity bus no. 702 (about 1 hr) from jeju bus terminal."
