review_title,review_body
Moving tribute,Take the 5.18 bus here. It is a very moving experience. It is very English friendly as there are tour guides all around. The 5.18 cemetery includes a 40 minute video presentation. It should take you about 2 hours there to see everything.
Moving and touching place,"A moving place to visit, a place for reflection. Very good visual presentation on video explaining very well and enlarged the impressions and the feelings I got from my visit "
Historical cemetery in Korea democracy.,"C ( 19.08.02 ) This cemetery was historical place about May 18th Korean democracy. This area was quiet and solemn, and many victims buried. The May 18th democracy movement was big meanings in Korea history, and many people fought and was dead. Because of this movement, democracy of Korea could be more free. There was good place to pay our respects to soul of victims."
 Very impressive.,"We came here to pay respect to a friend who is buried here in 2016 in the row with heroes from May 18th. They were all fighters for freedom and democracy in their country, for which we all should have the deepest respect."
"Accidental visit, glad it happened","I meant to visit the May 18th Mueseum park in the middle of downtown Gwangju and told the cab driver (in worse than broken Korean) that I wanted to go to the memorial. I noticed that we were driving out of city towards the hills surrounding Gwangju and knew that my Korean skills had got me in another accidental journey. Once we arrived, I was amazed at the sculptured murals, statues and memorial. The gravesites were all marked with photos of the entombed. It was moving. The only thing I regret is that I spent ₩50,000 on roundtrip cab fare instead of getting on a tour bus. I'm sure it would have been cheaper, but I'm still glad I went!"
Salute to the people of Gwangju and the later government who is brave enough to face the truth ,"A well done facility. The English video is not to be missed. Not all exhibits are bilingual but there are enough English for foreign visitors to understand what had happened.We spent may be 2 hours in the museum including watching the video. The outdoor ground is nicely done and worth a walk for half an hour. The national cemetery across the road looks very calm and quiet and well maintained, but we visited in a down pouring raining day so we didn't go there.Bus 518 circles round the city before heading to the cemetery / museum, it takes almost an hour if you get on from U Square. Getting on the bus outside Gwangju train station will take a little less time on the bus.When getting off from the cemetery park bus stop, the museum complex is on the same side of the road; across the road is the national cemetery. The bus heads back to the city is on the cemetery side. The bus stop doesn't display bus schedule but we found a schedule inside the photo exhibition building in the museum complex. (According to the museum map that building is a restaurant but turns out it's not, just a snack shop and photo exhibition)The tragic end of innocent Gwangju citizens who fought for democracy makes my heart broken. There are so many similarities between the Gwangju massacre in 1980 and the June 4 massacre in Beijing in 1989. The new democratic government in SK has been so brave to face the past injustice and held the then dictators accountable in less than 2 decades since innocent people killed or injuried by the gun firing army.Next year is the 30th anniversary of the June 4 massacre, very unfortunate for the Chinese people China is still ruled by an authoritarian regime suppressing even the most basic human right."
A good visit to learn more about history,"It's a different kind of visit but very worth it. It's a good reminder of Korean history or a chance to learn if you don't already know, and a reminder that in many countries people have lost their lives for the democracy we enjoy today.If you are interested in history, you have to visit this place.There is plenty of parking on site. We stayed about 1 hour which was enough, but could have stayed a bit longer. It's OK to visit with a baby stroller."
Impressive Monument.,"I would recommend visiting if you are staying in Gwanju for a longer period. If you are only in Gwangju for a short time, then you can probably skip this. The May 18th event was significant to Gwangju's development and there are still many residents who lived through it. It is a good history lesson and a good way to learn about the local culture.The monument grounds are well maintained and located outside of the city. It is a peaceful place, good to walk around and reflect. It is all outdoors, so choose a nice day to visit.Getting there can be a challenge if you don't have a car. There are buses that go there, but no so frequently. It might be hard to catch a cab there, unless you call one or use Kakao taxi."
An Essential Part of Korean History,"This is a must see to help understand Korea today and in the past. You can arrive easily on the bus 518 from the central bus station or along the route in the city. Also, a taxi from the bus station or downtown will be about $15-20, and takes about 25 minutes. This location is just north of the city. They can call a taxi to bring you back into the city, or take the bus. A very well done monument and cemetary, go into the building inside on the left and ask to see the 20-minute historical video. The museum is also a powerful place. Then pay your respect to the 200 or so victims whose graves are here. This was a monumental event in Korea's transition from a fascist dictator to an elective democracy."
As much of the present as of the past,"It is a little bit out of the city of Gwangju, but easily reached via local bus #518. The tricky part is to find the right bus stop. It is the one at the rear of Gwangju Railway Station, not in front of it.The cemetery was as expected: neat rows of tombstones with hie plastic flowers at each. The museum was interesting, detailing a kind of timeline of the uprising. What is it lacks however is a more balanced discussion of context. Also a pity is that the curatorial tone is one-sided... which is a reflection of today's politically-correct version of history."
Visit to better understand Gwangju and S. Korea,"Get a guide and visit this sobering memorial to those who lost their lives in the quest for freedom. The architecture, museum, memorial, and cemetery are a fitting testament to the birth of democracy in S. Korea."
History of Gwangju Uprising,"The Memorial and the museum are a good introduction to the Gwangju Uprising of 1980. The graves of the victims are moving, as is the Memorial Hall. The exhibits in the museum may occasionally seem overemotional, but the movie provides historical background. Well worth the longish trip out on the aptly-named 518 bus. A little further up the road is the original burial place of the victims, if you have time make your way up there, too."
Very moving Memorial,"Our English speaking guide made our visit very enjoyable and we left with a thorough understanding. There is a brief video presentation, museum and gift shop that was on the same site as the cemetery and memorial.Koreans strongly believe, if you don't remember, it will happen again."
