review_title,review_body
Interesting place,I'm not a K-pop fan but I really enjoyed this place. There's a lot of CD players where you can choose and listen for free. It's really fascinating to see how k-pop evolves..
We had a blast,"From the museum, to the stores, to the art all around, to the different food shops, we had a fun time. Easy access from the train too. "
Interesting visit,"I am not familiar with K pop, but I enjoyed myself at SMTown seeing what the stars wore and their various performances. The cafe also sold yummy ice cream and their gift shop was very interesting and sold lots of cute stuff."
Awesome!,"A lot of fun, if you're into k-pop, especially the artist under SM entertainment. It give you a fun insight of their concepts and work !"
SM's Fan the best place,I couldn't forgot the time when I was there. My idol is Yunho so I could buy some products as well as took a lot of pictures in my idol's company. This is not memorable time in my trip. I will come back there again if I come back to Korea.
For the Fan and Uninitiated,"Went to the SM Town Building, right by the Samseong (Samsung) station as an accompanying parent to my teen.The lay-out is wonderful, and because we returned on the day of Typhoon Lingling, security has had the place secured, including double/triple knotting down the oversized signboard! IMHO, the museum is a cross between Mdm Tussaud (without the wax figurines), a shrine for the Oppa and ""biases"", and interactive 4G place...something for everyone.Even for the uninitiated parent, the exhibits are interesting... for me, a previous Banker, the phenomenal rise of Kpop in the world is an interesting case study, and way beyond just clever and sleek marketing!There is a 5-screen theatre on the 5th floor and requires a separate entry fee. From now till end Dec, there is a bundle for both the museum and the theatre. Check out the shows beforehand, and make sure you're early for the one that you'd like to view... else you'd be like us, having to come back a second day just for the Neo City screening. Details of the showtime, and featured artiste/band, are provided in their website."
Nice place for K pop fans ,It is a free entry. The minute you enter you will listen to the nice lovely love song. Has many floors but do go to the highest to take photos with your favorite stars and do the handprints with them. There is a cafe and shop that you could take photo too. Another great place to huge from the summer heat
A real paradise for fan,"A true paradise for K-pop fan from stickers, album, t-shirt, clothes,... Highly recommend to come here to enjoy Korean culture!!!"
Not so impressed.,"It was first time visit to K-pop stars mall.maybe I expect something special. But it is not like what I expected. I have two girls, one of them 12, one of them 8. I thought 12 years old one like this place since she starts like K-pop. Honestly she dose not know anyone there. K-pop singers are having world wide concert but they are not young anymore. There are no more new Idols picture on a wall. It has museum but entrance fee is not cheap so, we skipped it. We looked around star shops still no interest of them. Also quite expensive. Maybe if we see any concert this place may affect us. Place is not like what I thought."
for SM fans,"Because some of my family members were SM fans, we had to go to this place. It had a very extensive collection of clothing used by their various artists. For non (crazy) fans like me, some of their displays provided a glimpse of the stuff that goes on backstage, the preparations, the clothes, the make up."
SM Entertainment Artist Fan: Must go to place! ,"If you are a dedicated SM Artist Fan, this place would be heaven for you. You can even take selfies in the photo zone located on the fifth floor."
Perfect place for SM Entertainment fans,"If you are a fan of SM Entertainment, you must visit this place. I didn't have time to go inside and only visit the SM Store on the 2nd floor. They sold various souvenirs of SM artists so that it could be said this is a 'paradise' for SM fans."
"not a must visit, but quite the sight","none of us were really kpop (smtown) fans, but since this was nearby we figured we just dropped by. i think it is heaven if you love smtown, since there's a merch shop, music shop, a museum/exhibition (?) and theatre on top (to view past concerts, i suppose). it is also one of the stop for the hallyu stamp tour, which you can exchange for a small gift if you collect 5 stamps if i remember correctly. you can give this place a skip honestly if you don't care"
For Fans and in general,"Honestly if you are only an SM fan or generally curious about why so many fawn over Kpop idols - go there. It is a nice space to spend time in as they have a nice museum, a cinema to watch the concerts and a cafe and store. Also if you know a bit more about SM history, it is very interesting to observe how they treat their own history and that of bands."
Just For SM Fans,"The building has a few levels, including a museum and cafe. Merchandise of popular artists are either limited or sold out. Visit only if you like artists from SM Entertainment."
Kpop fans will love,"If you love kpop, esp SM artists, you will absolutely love this place. I like older generation kpop groups (SJ, TVXQ, Shinee) and so this was a great place to visit personally. Most is free, except the museum which was overpriced ($16), but I honestly don’t regret paying it and would do it again. Has a nice store and small cafe. I’m a long time kpop fan and so I’m a little older than most kpop fans (32), but I felt no judgement and there were ladies older than me there as well. Overall it was a nice way to spend a couple hours. "
Do head to this place if you are a SM Fan!,This place is definitely worth a visit if you are a SM Fan! A pity that the SM Theater was unavailable during my visit as it was booked for some play.
BEST,"The showroom is worth to visit. The best part is its free. Hahaha. There is a cafe, gift shop and museum. For museum you have to pay 18,000KRW"
Kpopers,"If yoou listen to kpop music especially SM entertainment artists, well this place is for you. Located in CoEx mall, this place is perfect for people addicted to kpop music. The building consists of a cafe, souveneir shop, a theather and museum. If your lucky enough maybe you can catch a glimpse of your favorite idol. I would recommend to watch School of Oz when you drop by this place."
A Gem,"If you love KPop, especially SM artists, this is THE place for you. I spent about 2 hours inside the museum but I could stay here the whole day and I wouldn't complain. There's so much to see (except the artists themselves hehe) and learn here . You'd come to realize that if it weren't for these artists (SuJu, SNSD, TVXQ, Shinee to name a few), KPop would not be where it is right now. Entry to the museum costs 18,000 KRW and it's definitely worth the money. If you don't want to visit the museum, you can go around the building itself. There's a cafe, market, a store, and a theater, and you'd also get to see a lot of the awards SM artists have won over the years. If you're a fan, check in advance if you'd like what's being shown in the theater so you could get your tickets ahead of time. Please note that SMTOWN @ coexartium is at a different location from SM Entertainment itself. The agency building is about 10-20 minutes away by train, if I'm not mistaken and is also worth a visit if you have the time."
SM Town Only,"If you really loves the artists of Smtown, this will be a must go place for fan. You may not need to buy a ticket if you just want to go to cafe or their shop. The museum is lined up the history of their artists, some AR facilities let you take picture with yout favourite artist. Of coursr you need to pay for the print out. Entry to the museum also need to pay. The cafe is packed with fan exchanging photo cards. If you just a tourists you may find yoirself out of place if you just want to have a speciality artist drink and take a leg break. The fan there will move around you looking for an exchange. "
Interesting place to spend time on a rainy day ,"It was raining/snowing. SM Town is an enclosed place conviently linked to the subway, mega cinema, shopping and aquarium. Good place to spend a day learning about k pop culture during bad weather."
"Experience AR photos with EXO, Super Junior, Girls Generation","SM Town was an amazing place for K pop fans. For non K pop fans like me I truly enjoyed the new experience of AR photo and vedio with K pop stars. Different rooms has set up at the museum for different bands. Once you stepped into the room pressed the button. The stars virtual image will show up in the television sitting, standing, singing next to you.So much fun! You can buy USB with all the photos and video @KRW30,000.There was audition room and dancing studio if you like to experience to be a singer. SM town allows me to learn the K pop culture. Have a great afternoon tea with my friends. Cake was beautiful! Love it! Must go!! "
Great place for fans of SM artists,"I love the place and can easily spend hours here at times. As you can see it is a SMTOWN shop so you can only expect to find SM Artist merchandises here like EXO, SHINee, TVXQ, Red Velvet etc.The desserts at the cafe are definitely overpriced so I've never tried them, but the coffee is not bad and you can choose the option that let you bring back a themed bottle of your favourite group. A great choice for a souvenir.Had a chance to watch one surround viewing for EXO Exordium and I would have to say it was amazing. I've watched Exordium concert live 3 times by the way and still enjoyed every bit of the surround viewing.You can expect lines into the SUM Store during artist comebacks, concerts or special events by the way. Usually clears up by lunch.I saw EXO's Chanyeol when I was there, cause he had an official birthday party event at SMTOWN Theatre for some lucky fans"
Coex SM Town (코엑스 SM타운),"I’ve been for many time here. It was my 4th~ I like KPOP but only SM Entertainment artis ㅋㅋ There are many pictures and stuffs about their artists. You can also buy something from their store. It’s free entrance, but you have to buy tickets for some place (ex: SMTown Museum). Really recommended!!Foto-fotonya banyak banget, dan untuk SMTown Museum itu tempat koleksi album, beberapa baju konser, dan lagu-lagu mereka juga secara random diputar. Puas lah kalo penggemar SM datang kesini haha"
Not a fan of K-Pop here,I went there because my friend is a K-Pop fans and I also want to visit the starfield library in Coex Mall (SMTown Coexartium is right beside the Coex Mall). I must say that it's just an ordinary building full of pic of SM talent. We visited the shop only and all of the things inside is so expensive
Pricey and line up,This is pricey and the stock isn’t that good. Very limited variety of the popular idols. Definitely not worth going and overpriced
Nice but pricey,"If you are not a Kpop fan then don’t go there, its not worth it. Everything is pricey even the cafe ... But definitely a Kpop fan have a hard time leaving this building... because there are so much stuffs to buy and so many eye candies... "
Perfect spot for K-Pop afficionado,This place become the most liked by my daughter during our visit to Seoul. All things about K-pop groups managed by SMTown is in this place. Warning: 90% visitors in this spot is girls . 
I'M SHOOK AS A FAN!,"I've always wanted to go here and when I finally got in, it was amazing! For a big fan like me, it was even more special! There was a Netflix event when we got there so we were able to get a glimpse of the cast of ""BUSTED"". Went shopping at the SMTOWN store, went to the SUM CAFE and took so much photos! GLORIOUS!!!"
