review_title,review_body
A must-see in autumn,"I went to Naejangsan almost every year in recent years. The autumn colours were fascinating. Admittedly they varied from year to year depending on weather conditions. This year, the summer was unusually long and the weather was dry, so the autumn colours were inferior to those of last year. It was also a cloudy day with very little sunshine, so the visit was a little disappointing. The consolation was that the sun came out momentarily when I was taking photos of the Uhwajeong Pavilion."
Autumn leaves ,"Stayed in Naejangsan for 3 nights in Haniljang Motel in the 1st week of November 19 which located very near to park entrance. The peak of foliage is on 2nd week of November this year. The foliage is beautiful even though it is not at its peak. The weather is very cold in the morning that we have to wear gloves and the sky is dark at 5pm. Tourist could buy park entrance ticket at 3000won/day at the entrance and walk a short distance to a ticket booth to buy the shuttle bus tickets at 1000won/way. The bus will go to cable car station. For those who do not go to the observatory, I would suggest to walk towards the Wooden gate and up Naejangsan temples for sightseeing instead. From the temples walk back cable car bus stop and another 4km back to park entrance, towards the Naejang Information Centre. In this journey you will expect to hear local musicians singing lovely songs, see beautiful and colorful foliage, serene pavilion and few tangerine trees. A short distance outside the park entrance, there are tents where the local sell their meals. Along the roadsides there are sale of fry red bean and ginseng fritters, seasonal small tangerine and persimmon, etc. There are many restaurants but only one coffee cafe and convenience store beside 171 bus stop. At the cable car station, there is a lotteria fast food restaurant selling burger and it opens at 7am. For tourists who do not prepare for hiking I do not suggest to take one way cable car to observatory and walk down as the route down is slippery and not much to see. Overall, we had enjoyed the Naejangsan National Park very much. A must visit place during autumn in Korea. "
Autumn Leaves Viewing without Hiking,"At the foot of the mountain, you can either take a bus (1000 won) or hike up. I decided t take the bus going up and then walk going down. The last week of October, is not exactly the peak of autumn, but there are yellow/red leaves already.I would suggest to go the temple first, then, start the hike down. On the way down you can see the pavilion in the middle of a river and pretty bridges. This is 4 hours by bus from Seoul, so be prepared for the long travel time."
A romantic autumn scenery in Korea,"Naejangsan is one of the most beautiful place to admire colorful foliage in autumn in Korea. It has a long line trees that turn into yellow and red in autumn. You can take a bus (1,000krw) to near to the cable car station. Don't forget check in at the beautiful lake near there and take the cable car to admire the whole view Naejangsan. The best time to admire foliage is on novembre"
Naejangsan - Jeonju-si- Busan ,"We visited on 28/10/2019 but only 30% of the leaves turn yellow n red. A bit disappointed, pls come at middle November I guess for the autumn peak foliage best views. We followed Klook tours from Seoul to here (cheaper than train) then we took bus 171(every 30mins, 1000Won) from national park to Jeongeup-si, then change another bus (4900won) to Jeonju-si. Don’t worry about the bus , many buses are there.. We overnight at Jeonju-si hanok village before departing for Busan the next day."
"Hiking: Iljumun~Dongguri Course, good views at tops but no red leaves","Naejangsan Visitor Centre->Byeongnyeonam, Seoraebong, Bulchulbong, Manghaebong, Yeonjibong, Kkachibong, Sinseonbong, Yeonjabong->Naejangsa Temple->Visitor Centre again. I didn’t get to Janggunbong as I worried about getting dark soon. I started the trail at 9:45am. By the time I reached back to the Visitor Centre it was 3:45pm. There were a lot of clear signs, but at times, especially at heights where places were rocky it’s difficult to tell where the route is. There are places that are steep and climbing is needed. I was using KT and I felt I had signal through the whole hike. I took the 7:10am bus from Jeonju bus terminus to Jeongeup bus terminus, which was a ~1hr10min ride. The stop of Bus 171, which takes passengers to Naejangsan National Park, is just 50 meters away from Jeongeup bus terminus. However by the time I arrived at the bus stop, two Filipinos told me the bus has just left. I talked to a taxi driver. He agreed to take us three to Naejangsan at W15000. The taxi ride was only 20 minutes (and we beat one bus 171!). We got off at where the shops were. I walked a bit further to something like an entrance, was told to hop onto a shuttle bus (with price W1000) and was dropped off at the Visitor Centre. I went there on 22 Oct. Too sad that it’s not yet time for leaves to turn fiercely red. Not gonna lie the hike was exhausting. My leg muscles were still sore two days after the hike and my toes were still hurt. But views at the tops are amazing."
Worth for hiking,"Autumn view at Naejangsan was beautiful. 4 hours bus journey from Seoul. Book your day trip from local Seoul travel agency at least 1 week, else you will miss your chance of a wonderful hike to the mountain top."
Amazing place for an Autumn visit,"My partner and I were fortunate to time our South Korean visit such that we were able to visit Naejangsan National Park in the first week of November. Just a very few leaves had begun to fall, which meant we must have visited at the peak autumn colours period. It was magnificent! I cannot advise what the park is like at other times of the year, although I assume it would still be an amazing place to visit. However, if you have any way of managing the timing of your visit, then do try to do it for the last week of October, or preferably the first week of November. Because of its popularity in Autumn, it was generally very busy with many thousands of people there on the day we visited. However, this park is so large, with many walking paths in and around the main touristy areas, that the numbers of people present really did not cause any problem to us whatsoever.From what we understand, no private cars OR tourist coaches are permitted to enter the main body of the park. Instead, all must park in one of two or three large parking areas on the outskirts. Then you can either walk the kilometre or so up into the main part of the park, OR you can buy tickets for a special bus that will save you the uphill walk. Our tour group ere provided with one-way such tickets to get us quickly into the main part of the park, on the understanding that the return trip was a beautiful downhill walk back to the main business, restaurant, and parking areas. The return walk downhill (and there were a couple of different path alternatives...) was extremely easy, and very enjoyable. In our case, we took the slightly longer return path down beside the small stream back to the shops and restaurants at the main entrance.There are a wide variety of restaurants and food stalls to choose from, assuming you plan to buy your lunch here.A thoroughly recommended visit, and would strongly suggest first week of November for the very best and brilliant autumn colours."
A little late for autumn,"We came second week of Nov, a little late for autumn as most trees were already leafless but still lovely and dramatic for photo ops :)"
Best Korea's Autumn spot for Domestic,"Unlike Seoraksan Mountain which is very popular among foreigner, Naejangsan National Park is less popular but really beatiful specially in autumn and it is one of the best autumn spot among domestic visitor. For budget traveller, after 3.5 hours journey to Jongeup station (Mugunghwa train), take local bus 171 to Naejangsan National Park directly."
