review_title,review_body
Best Lifestyle Store in Seoul,"The giant Kyobo Book Store in Gwanghwamun stocks great books, music and stationery. For those of you who still music in palpable form, the Hottracks concessionaire has an amazing collection of CDs, DVDs and LPs. Its classical collection is particularly impressive and it stocks many hard-to-find CDs and LPs of Korean classical artistes like Kun Woo Paik and Yeol Eun Son. Its English books selection is small but well stocked. It also has an incredible array of stationery concessionaires who stock a great collection of fountain pens, inks, papers, notebooks and stationery you never thought you needed. For those who are into personalised music, there is an extensive selection of headphones and bluetooth streaming devices. You could spend a whole day there since there is also a restaurant and cafe within the bookstore itself."
Books Books Books,"Kyobo is a chain, so there are stores all over Seoul, but the Gwanghwamun location is my favorite. They sell books and CDs, which reminds me of what the States used to have in the Borders chains, along with even more stuff. There are cafes and restaurants inside, too. There are sections for foreign languages and, depending on your language, there are likely specialty shops elsewhere that will better serve you. The English section is small, but has great editions, like Oxfords World’s Classics, at cheap prices. The literary selection tends to be canonical, but the staff also has a large section devoted to best-sellers and newly published material, most of which is non-fiction, that is a sort of Korean-American cultural filter. There are always lots of families here and people milling about, reading, gathering books, enmeshed in the written word and the real world. Take some time here, slow down, observe, read something, think a few connected thoughts, have something to eat or drink...and enjoy. Over the past five or six years, there has been lots of renovation in the areas adjacent, particularly with high end restaurants and shops behind Kyobo and to the left. Jongno has remained the same and the Gwanghwamun Gwangjang is historical. Several years ago the Korean people protested then President Park Geun-Hye with candlelight vigils and songs on the square, every Saturday, for months. These protests began with small numbers that grew into the thousands, and arguably millions. These protests were part of the success in the removal of Park (December, 2016) and were amazing representations of the civil, non-violent assemblage of people for a cause. Democracies around the world would do well to follow in these Korean footsteps."
Worth A Visit,"This is a huge bookstore, connected to the Gwanghwamun metro station. A must visit for those who likes books, although mostly Korean books. There is also an English section. Do check out their interesting stationery items as well."
"If you love books, don't miss this!","Kyobo bookstore in Jongno-gu (near Gwanghwamun station) is a must-visit for anyone with a passion for books and simply spending time in bookstores. This particular branch (there are others dotted around the city) is, I believe, the largest. It has a vast collection of books in Korean, and sections for a number of other languages, with quite a good selection of books in English. The store also has a stationery section, puzzles and a cafe, and is surrounded by a number of other shops. Unlike so many bookstores these days, Kyobo allows you to spend time simply sitting on the provided comfortable benches, and reading. You'll find the store in the basement, accessible from the station."
If only there were more stores like this,"Without doubt the biggest book store I’ve ever seen, including Barnes & Nobel in the USA.Small English section, but were in Korea.Truly amazing to see how the experience is developed, the cafes, the associated offerings, eg Mont Blanc store. Retail at its best"
Fantastic Bookstore,"This is a big bookstore with many sections. We spent well over an hour in the stationery section alone. Super cute gift items. It's great to see so many people sitting in chairs or standing reading books. This place is a must visit for book lovers, even if you can't read Korean."
Huge book store,"Probably biggest book store what I've seen. Not only books but parfumes, DVD and CD, electronics, coffee shop etc. Basically you can spent whole day in this book store without get bored. Also goid selection of English language books available. "
Kyobo Book Store,"There is a huge variety of books here, in fact same as similar shops everywhere in the world. Possible to find books in English, one good plus. For stationary materials, it is better and cheaper to enter smaller shops specific for stationary. You will lose much less time. Same is valid for other goods such as souvenirs, wallets, bags, toys, etc. If you want to buy only book and have specific list, enter and buy. Otherwise you can become crazy in crowd. As a summary, other than huge variety of books, nothing special."
Ginormous Book Store!,"This Book Store is amazing! It's located at the Basement of the Kyobo Building. The person at the Information Counter was so helpful and efficient. She gave me a print out based on the info which I gave her (Book Titles & ISBN Numbers) in order for me to locate the books that I was looking for. As I was pressed for time, I went to the designated location but was too overwhelmed andI decided to ask their Book Concierge Counter for assistance. The lady was so helpful and found the books which I was looking for very quickly. If you love books, this is a must place to visit! I will definitely go again and spend at least a day in this Book Store!"
Seoul’s 誠品,I stumbled on this while walking out of the Gwanghwamun subway station and was amazed at the range of books and local crowd on a Sunday morning. The English section is located on a corner closer to the cafe. It is one of the largest I have seen in Seoul as English books are not common. Especially for literature on Korean art and culture published by the national cultural institute. There is also a comprehensive list of titles published by Tuttle books on Korean national identity and history. There are also titles on the Korean War as well as current works on North Korea. The store also has a nice cafe and sections devoted to stationery and fine writing instruments. I wish there would be more such stores in Singapore as this reflects the knowledge seeking identity of a nation and I am happy that print is still king in some places. 
