review_title,review_body
VERY DIFFERENT PLACE IN KOREA,It seems quite a few of the galleries are empty these days -- at least compared to a trip I took with friends 2 years ago. Restaurants are plentiful and good. Those galleries and museums that are open offer an very eclectic array of art in various forms. If you are family with the southern California city of Laguna Beach -- it has a very similar feel. Worth the time.
Memory box,"Good atmosphere, suitable for holidays. There are many coffee shops to choose from.you can come here also"
Interesting place to visit,"The art village is about 45 minutes on the bus (number 2200) in Paju, northwest of Seoul. I went on a Tuesday and it's quiet, with few visitors. It was an overcast day (turned rainy in the afternoon), so everything was a bit grey. I had a leisurely stroll around. A number of buildings have nice modern architecture and designs, like a showcase of modern Korean architecture. There are art galleries, museums, artist studios, bookshops, cafes, restaurants, coffee/dessert/cooking/chocolate workshops, etc. On this visit, I checked out the Hangil Book House, the White Block Art Centre, a jewellery gallery, a music studio, and had coffee and cake at a cake studio. There are cafes everywhere, so it's quite handy. It is an interesting place to visit, a nice day out, in particular if you like architecture and design, coffee, and when the weather is good."
Interesting Artsy Village,"Heyri Art Valley is is less than an hour northwest and was the vision of a book publisher many years ago. The inhabitants of Heyri Art Valley are mostly Korean artists such as writers, painters, actors, architects and musicians. Due to the artistic nature of the community, there are residences, workrooms, art galleries and museums, all of which are owned and operated by the artists themselves. In addition, there are also cafes and food courts for the convenience of visitors. We were there in the evening and most of the museums were about to close. So instead of taking the shuttle tour of the village, or visit a museum, we had wanted to just walk around and absorb the artsy vibes of the village.Unfortunately for us, the weather was pretty cold (and it was pretty dark), so we changed our minds and hopped back to the car to drive around to look for some nice café to chill. We finally settled on this book café which had shelves upon shelves of books. It was called Foresta Book Café. From the moment we entered, it was as if we were magically transported into a different world. The café has a bookstore and a museum within its premises. The café is on the first floor and has floor-to-ceiling shelves full of enormous collections of books, vast spaces with tables and chairs and aesthetics that book lovers would drool over.Definitely worth the visit the next time we are in Seoul (for really nice photos and atmosphere), there are still so many places we did not get to explore. For more on the experience and photos, please check out my blog. ^^"
Interesting place to visit,"Had a lovely morning here . Had a late breakfast at a bakery/cafe. Then a leisurely stroll around the shops, musuems and art galleries.Webt to the Time and Blade musuem, extensive collection of clocks, watches swords and knives from all around the world and different time frames. Had lunch at a quirky Korean restaurant where you shake your food in a hot tin to mix it up and blood sausage. Tasty! Book cafe well set out."
Artistic stuff in the cafe ,"Initially thought it’s an art village though they have some 3D and some art outside. Most of it are cafes here, where they have some parts of it to allow people to appreciate art in their cafe. But it’s quiet on a Friday. Good to spend time away from crowds if you like coffee and art. "
Napkin art and miniature place ,What more can I say. All 3 of our children said this was the best part of the entire trip to Korea. And we were here for 4 weeks. 
Quirky - not typical tourist location ,"A very wet day brought about a change of plans & we ended up spending Sat. in this Art Village. It contains a hodgepotch of buildings (some odd looking ones) with different exhibits. In spite of the weather, there were lots of cars. These were probably people eating at the many food outlets rather than art enthusiasts. We visited exhibits with 3D art, musical instruments, jewellery, wood craft & pottery. In most of these places, we were the only people there. It should be even quieter on weekdays. As it’s about an hour’s drive north of Seoul, I would not put this place high on a tourist itinerary unless you like quirky architecture. "
Don't go there in Winter!,There is nothing there except few cafe. Buildings are normal and not like web site described. It was freezing cold in Jan and I cannot see any interesting thing there.
"Interesting, but quiet","We went to this village from Ilsan on Tuesday afternoon, by taxi. It was about 20000 won taxi fare.The most interesting attraction to us, was the Museum of Modern History of Korea, located just at Gate 4. If you are middle age people, or even younger.. you would find this museum interesting.For us, it was like we went back to our childhood, with things and life styles in the past, around 1930(?) to the end of millennium. Brought back the memories, and eventhough we are from overseas, the lifestyle was approximately the same. Just like back to the past.The other attractions was quiet, not many visitors. It was like ""deserted""; may be it would be more people in week ends?.The public transportation was only bus, no taxi stands,"
