review_title,review_body
A great place in Seoul,The Seoul Grand Park has a good zoo and rose garden. I did not see roses in past visits but this time (late Oct.) the rose garden was filled with roses. In autumn the autumn colours are fascinating. However this year was dry and the summer was unusually long so the ginkgo and maple trees were much less attractive than last year. I like the park because it has a bird house where one could see various birds face to face ie not caged. The zoo is very large and has a wide range of animals.
Perfect for family outing,"The zoo is big and nice, better you buy the package ticket wich incl elephant tram and sky lift. The only minus thing is there is not much option for food. Mostly sell sausage, teokkebi, and other korean food. So, if you want to eat other cuisine, bring it from home/ buy it before get in to the zoo. Oh, there is also 1 kfc outlet wich always full and dunkin doughnut before the ticket counter. "
Amazing!,"We went there to visit the Zoo, we ended up visiting the whole place and spend the whole day there. The zoo is big and there is a lot to see. There is a sky lift that goes over a huge distance with amazing views. We did not expect something so nice - we were also lucky to go there in autumn when all the leaves were changing and the views were incredible. Definitely go even just for the sky lift ride - it was amazing! "
Like a walk in the park,"To access this area I would recommend using the lift as it provides an aerial view of the zoo. Within the zoo there are many animals on display from giraffes, elephant, lion, etc. The zoo is well- kept and the grounds are so pleasant to walk through. There are even some activity areas such as a rock wall and elephant trunk slide."
End of May visit with young kids,"We drove. Traffic was pretty backed up getting to and from the parking lot and Waze was directing us away from the parking we needed, beyond the ""Seoul Zoo"" parking sign, so we ignored Waze. We were able to pay for parking using our debit card, didn't need a Korean bank card or won. 5,000 won for a smaller vehicle and 10,000 won for a larger. From the parking lot, follow the crowds to get tickets for the Elephant Tram or walk 1km to the main entrance of the zoo. At the zoo entrance, buy tickets to enter the zoo. There are stroller rentals available, we were also able to use our debit card for this. 3,000 won, but had to leave ID there until we returned. Strollers were nice. The zoo grounds are beautiful. It was hot out, but I bet a trip in the fall would have been perfect. I was expecting to see a lot of sad exhibits based on other comments, but they seemed pretty typical compared to any other zoo I've been to. I thought the spacing was good and yes, there's a lot of walking, but it didn't feel like too much. My kids had a lot of fun. I thought the food/drink choices were good, too. You can also bring your own food and drink in if you wanted. When leaving, you have to buy a return trip for the Elephant Tram or make the 1 km trek back to the parking area (which is also the same as the entrance to the subway)... I recommend going, especially if you have kids! It was fun!"
2nd visit but this time in April and not in Winter,"Easter weekend travel to Seoul Korea and we knew we would have to visit the Seoul Zoo during April, my daughter loves animals and zoo's, we came here in Dec 2018 and it was too cold and the animals were all housed inside so it wasnt fun last time but this time it was amazing. The weather was very nice, sunny and cool, no icy floor, the cherry blossoms were still in effect so lots of people were still taking pictures, all the animals were out and about instead of locked in large rooms. Kids get in free so when we went there was many school children which was very nice to see them enjoy the park."
Beautiful autumn colors (renovation now completed),"The park has been one of my favorites in Seoul. It had been under renovation for many months but fortunately the renovation was completed when I went there in early Nov., 2018. The aviary was extensively altered. Now the visitors are isolated from the birds by glass panels. However some new species have been added. I like to go there in late Oct. or early Nov. as the maples and ginkgo trees create a beautiful mix of red, orange and yellow colors. The park is very large and I like the zoo most. To save walking, it is better to take the chair lift to the top and then walk down the hill. Once back to the zoo entrance I usually take the chair lift back to the main entrance, around sunset time. The view (from the chair lift) of the lake at sunset is fascinating."
Waste of time,"I love visiting zoo’s and seeing different animals. However, I recommend not visiting this zoo. I travelled 1.5 hours to get here, and I feel like my time travelling and visiting was wasted. There were many different animals, which was probably the best point. Each enclosure was small, dirty, and there was no sign of a zookeeper anywhere. Usually on my visits to the zoo I see many zookeepers tending and feeding the animals, but during my visit here I didn’t see any. Many animals looked sad and hungry, often eating dry leaves. The monkeys were also acting out at each other, probably because the cages were so small. As I mentioned, I love to visit the zoo, just not this one."
No english ,I visit this park today and not much animals plus all the information in the park in korean language 
Worth Every Minute of It,"About an hour bus ride from Seoul is the Seoul Grand Park with Zoo. It is a fun place for friends and families. The place is huge and so many animals to see. You will see bears, elephants, birds and a lot more. The entrance fee is not that expensive which comes with a free ride to the zoo bus and skylift. It goes uphill so you will get tired going up so be sure to bring some water and snacks to replenish."
