review_title,review_body
Children's paradise,"The park is attractive to both adults and children in autumn (late Oct./ early Nov.). The autumn colours are fascinating but they vary from year to year depending on weather, etc. This year, the summer is long and dry but the ginkgo and maple trees still show off their beautiful autumn colours, although not as good as those of last year. The park has a good zoo, apart from an amusement park, etc. I like to go there (and to the Seoul Grand Park) when I visit Seoul, as both are great places for photography and leisure."
Sunday Funday,"My 17 month old daughter was so extremely excited to see all the animals and did not want to leave. Korea has so many family-friendly places and this is definitely one of them. I think I may have seen some strollers to rent on our way in, not entirely sure. Overall, this was a lovely experience for both of us and we look forward to going back with my husband."
Great place to spend a whole day with kids,"We went with our 20month old toddler and really enjoyed the whole day there. It's a huge park with outdoor and indoor playground. Probably because we went on a weekday, the whole park was very quiet. Entrance to the main park is free, but certain attractions charge a fee.Key highlights1) best thing about this place is the Seoul Children's Museum. There's an entrance fee but it's not expensive. They also allow u to exit and re-enter on the same day. There are 4 storeys catering to different children age groups and the set up on each floor is very impressive, especially the water play on level 3! I think it's fun for all kids from toddlers to teens.2) catch the animal show called Anistory featuring many types of animals including seals, birds, cats, monkey etc. Need to pay for entry though. It's quite entertaining. Even though we didn't understand the language, we still enjoyed it very much. 3) the park is massive, great if u like outdoor walks. There's a huge water fountain show near the Seoul Children's Museum that's quite impressive too. Overall a nice destination that offers both indoor and outdoor experiences. I didn't like the mini zoo though. Each enclosure was very small and the animals looked a bit depressed. I wouldn't recommend if your only objective is to visit the zoo."
"Nice, clean & spacious park - Sad to see it somewhat under-maintained","This place is a hidden gem and not many tourists visit this park. Very nice, clean and spacious park with lots to see like gardens, playground & mini-zoo. Kids would definitely love this place. The mini-zoo is a little sad as it's under-maintained and some animals look sad in their enclosures. Plus point: Nice, clean and spacious park. Free entry except for the amusement park section. Not crowded!Negative: Somewhat under-maintained. Has the potential to be much better"
Family time,"We had a great time though it was so hot. You need to bring or buy lots of water. There are lots of places where you can find food/snack/ice water or other beverages. The kids loved the musical fountain, the water playground, the animals, the Anishow. We spent around 4 hours looking around and playing."
It's free (mostly) and keeps kids busy,"Information found online about the Children’s Grand Park can sometimes be sketchy and inconsistent.I hope that the following will provide a better picture for those planning to visit the park. I have also attached a picture of the park map that I will refer to below.The park can be accessible by 2 subway stations.The main gate (#1 on map) is accessible easily by the Children's Grand Park Station on Line 7.There is a rear gate (#36 on map) that is accessible by the Achasan Station on Line 5.The park has no entrance fee, except for the amusement park section.My suggestion is that children below 14 yrs will appreciate the park.I brought a tween son, and 2 pre-school kids to the park.All three enjoyed the amusement park (#38 on map), which is closer to the rear gate. The amusement park had rides catering to pre-school kids to tweens. Do note there are some rides that have a 120cm height requirement. Rides such as the Viking, Dropzone and Roller coaster are generally adapted for tweens. For those a little younger, there are bumper cars and spinning saucers that are children friendly. However, this place would not be recommended for toddlers. A cafeteria is found within the amusement park serving traditional Korean foods and burgers. Nothing to shout about but it satisfies the tummy.Amusement park entrance fees depends on the type of ticket you purchase. Tickets are available in single ride, 5 rides, 10 rides and unlimited rides options.For the 5 ride option, kids paid 16,000 won. Adults paid 19,000 for the same ticket.Toddlers and pre-school kids should check out the playground (#12 on map) with wet play and dry obstacle options. Bring your toys for sand play if you wish.The other attraction we tried was the zoo – a mini zoo at that. We saw an elephant, snakes, birds and baboons. A couple of macaws looked like they were suffering from a disease that caused balding on their body. The kids enjoyed the zoo but soon lost interest in it once they stepped out of the zoo.Next to the zoo is a pavilion which sells snacks (#34 on map) like ice-cream, corn dogs and cold drinks – a great respite from the heat.2 attractions that we did not visit – the children’s museum (#46 on map) and Kid’s Auto Park (#44 on map) would probably suit school going kids.Directions:For the museum, and auto park, use the main gate.For the amusement park, use the rear gate.The zoo is in the middle of the park and are equidistant from either gates.In summary, this park is accessible by 2 subway lines. It provides a place for kids to be themselves and preserves the sanity of parents who want kids to run wild and not bother them for too much over a couple of hours. School going children will probably benefit the most out of a half day excursion to this park."
Nice park to stroll in,"The park is quite far from where we stay at myeongdong and we paid 13,000KRW for the cab ride. The park is free and contains a zoo (where the animals look quite sad) and there is a little amusement park when you can pay for the rides. The main highlight for us is the Seoul Children's Museum located near the main entrance. "
Very large park with lots of fun!,"Only covered a small part of it, as we were mostly busy with the museum, but what we saw was fun. A great big playground (with no shade though), big music fountain, a junk-made sculpture walk, a beautifully designed orangery... Lots to see!"
Outside of town but a good place to visit,"The park was pretty good, but even better was the FREE Zoo. Lots of animals to see, had some gardens to visit, and has a large children's museum to visit. There are also some walkways over ponds and sculptures to see as you walk around. There was also food stops encase you needed something in a rush but I saw many people bringing in lunches.  "
excellent place for a day out,"Excellent place to bring your kids with the free zoo and exhibits.Do spare time for the children's museum as well, plenty of the little ones to explore inside."
"Lovely park, sad zoo","Visited with my 14 month old while on holiday in Seoul. The Children’s Museum is fantastic and has a really nice toddler play area, the park is lovely and we had a pic nice in the grass and enjoyed the botanical garden and walking around. However it was really sad to see animals like a lion, elephant, leopard and tiger looking sad in small enclosures. Young children are equally happy seeing farm animals so I would have been perfectly happy just with the goats and ponys."
Entrance is free including the zoo,"Nice children's park mainly consisted of a zoo and an amusement park. We were surprised to see the admission is free. Also, wonderful place to enjoy flower blooming and fall foliage.- How to reach: It's accessible via both of Metro Line #7 Children's Grand Park and Line #5 Achasan.- Also good place for other ages as well as children. There are nice botanical garden, ponds, outdoor sports complex, too.- The zoo has many kinds of animals. Considering the admission is free, it's really satisfying. Feeding time will be fun even though we missed it.- There's a multi-storied pavilion. Unfortunately, it seemed unable to go up.- Attractions at the amusement park aren't free. The scale isn't that big."
worth seeing,"Visited when I did a trip around Seoul, there is many things to see in Seoul but I wanted to take our 7 year old grandson here"
Fun Public Park,"This is great piblic park for family, there are a lot of interesting spot like children museum (1,200 won), free kids zoo, music fountain, amusement park. You can take subway to children's grand park line 2/line 7 exit 4 or you yan take local bus No. 721 from city hall st."
