review_title,review_body
Sport!!,It was a stadium as all the others but the people made the diffrent. Everyone was nice and friendly and took care of there dirt. 
"Good times, average footy!","Love coming here to watch Seoul FC play. It's super easy to get tickets - just come 30 mins before and get them from the ticket booth. Stadium is huge, with so many empty seats - not to worry! Seats aren't allocated, so you can choose where to sit. I only like to sit behind the goal, to get involved with the songs and fans.To be honest, the quality of football is often pretty poor, but it's still super fun. The attendance was around 15,000 last match, which feels like less because of all the empty seats, but if you're in the section where everyone is singing it's great anyway. Such a novelty to bring as much booze and food into the stands as you like - 'aint like that in England!Anyway, good times. If you're in Seoul for a while, and like football then definitely worth it. Well easy to get to and cheap enough (14,000 원). Up the Seoul!"
Large stadium but soulless ,Just did the tour of the stadiumWhich was pretty underwhelming. Didn’t even have player jerseys hung up in dressing room. Looked old and worn out inside
Great for football fan!,"Went to visit Faetansium where there's some facts and histories on football (and Korean football) but mainly in Korean. But that wouldn't bother much as there're more much interactive VR experience game that you can try! Staff was helpful and spoke good English so he took me to every zone to try the games out!Then off to a FC Seoul game in the afternoon on the same day. Atmosphere outside and around was great, despite the team was underperforming. There's also a fan shop and fan cafe to visit too!"
2002 World Cup Stadium,"I have been here first time for Turkey vs China football match for World Cup 2002 in Republic of Korea. Turkey : 3 - China: 0 It is a great stadium, convenient transportation and easy watching stadium."
Faentasuim,Very interesting place to visit especially Faentasium has interesting stuff that if you're a fan of football you gonna enjoy it
Great stadium but terrible team,"The massive majestic world cup stadium is impressive and fit for purpose for this day and age for major football matches, concerts, etc. However if you are planning to watch FC Seoul then I would probably tell you to support the away team. The stadium is rarely full to capacity which is surprising considering the population in Seoul, but the worst thing apart from the team is the supporters. I hate vuvuzelas ever since they where introduced to the football world at the South African World Cup, but also the FC Seoul fans don't seem very interested spending a lot of time on their phones and also they have a cheerleader stand where the fan seats are. Not the kind of things i enjoy at a football match but they do have a very nice fan cafe and shop and the food and drink is very good including the massive pizzas you can get and the beer. The world cup stadium is also very easy to get to using the subway as there is a subway station named after it. Overall it's good to experience it but I wouldn't want to be a FC Seoul fan."
Nice stadium. Great food centre., It's a nice stadium. With a massive super market underneath. Really good food centre big cheap meals with a massive choice. Very slightly tricky to order. Best to look at pictures in menu/food catalogues. choose pay at till. Get receipt wait for your number on screen and go to numbered counter. You won't be disappointed with price and quality. After stadium we followed small river to main river and naval museum. Many riverside parks along the way. Then you can view the national assembly on the other riverbank and head up to hapjeong station 
Superb stadium,"South Korea and Japan jointly held the FIFA World Cup football tournament in 2002. The World Cup Stadium in Seoul was built for that tournament. It is shaped like a traditional Korean kite. When viewed from above, it looks like a rectangular shield that is being flown like a kite. It is said that the shape of the stadium represents the flight towards victory. It also combines the hopes of the World Cup games and spirit and traditional culture of the Korean people. South Korea did very well in the tournament and reached the semi finals when they were knocked out by Germany. South Korea did well to knock out Italy in the round of 16 and Spain in the quarter finals. The stadium is a 60,000 seater stadium. It is a very large stadium. There are also large screens on either side of the stadium for people wanting close-up view of the games. There are a variety of parks near the stadium. There are also five theme parks around the stadium including Peace Park, Nanjicheon Park and Noeul Park. There are many beautiful trees - and together with the modern street lights, and lovely fountains - gives you a very attractive place to stroll about. The stadium is open from 9am to 5 pmThere is a World Cup museum (Faentasium) as well. The stadium now has a department store."
Expect the unexpected,It was breath-taking when I finally saw this monument. It really stands out and so many activities going on at once. Its not just for soccer/football lovers. 
