review_title,review_body
Dive deep into Lalang,"I went to Haneul Park in Mid Nov and flowers have withered. All that were left are field of brown Lalang. Definitely, was hoping for more colours but can't be help that I went at the wrong timing. Personally felt that the park will be enchanted if we went at the right time with flowers blooming.You will be required to climb stairs up to the park. After the short climb, the gradient is gentle. It took us around 45 minutes to finish exploring the park, taking photographs. The park is a 10 minutes walk from world cup stadium, making it accessible by public transport.The weather was cooling then at around 10-14 degree Celsius making the walk enjoyable. It was a worth a trip there as you can visit Mapo-Gu or Hongdae easily after. It will be added bonus if you plan the trip well and see the seasonal flowers in timely manner.Overall, a beautiful place to go to if you have extra time to spare and is looking for a spot for instagram worthy pictures."
Beautiful and peaceful place!,"I found this place from a few blogs that recommended scenic places to visit in South Korea. It is not hard to get here. Just needed to walk quite a distance from the train station. This visit to the park is very nice if you have one whole day to spare and relax walking around to just look at the scenery. There are other parks nearby but the area is very huge and you cannot visit them all in one day. Our feets are also hurting from the long walk. I visited during the end of Autumn, nearing winter. It was worth the trip here because it is really as beautiful as described in the blogs and when I was there, there wasn't a lot of people or tourists. Only the starting area has some crowd, but when you start to walk up and explore the tall plant areas, it is very peaceful and quiet. And you can take beautiful photo there. Just remember to bring a tripod if you have no one to help you take photo! I would suggest not to step into the plant area as it will kill the plants. There are already some area that people have cleared for you to step into so you can walk around and find those areas to take your photos instead. If you do not want to hike up, there is a place near the bottom of the park to purchase a ticket for the buggy car to bring you up, One way or round trip. The ride is very nice if you can sit at the back seats which was what we did.  If you are hungry, there is a little snack shop near the tall grass area, with many choices of food and beverages. There's also a few table and benches where you can rest and eat your snacks or instant noodles on. Just outside the train station, there are some shops selling clothes if you are not wearing enough. "
SKY PARK,I come to Hanuel Park on autumn day. The weather is so cool and little hot at noon.The park is near by World Cup Stadium.It's so easy to go to there by subway.And you take electric car to the top or climb to there.You should go to pinky grass hill.
Best experience,"It has fresh air and clear blue sky. I really enjoyed the moment there. You can go there by subway to World Cup Stadium Station and walk about 1 kilometres to Haneul Park. You can choose shuttle bus and pay about KRW 5,000 for round trip or just walk by the upstairs to the destination. It was good experience!!!"
"Silver Grass, Flowers etc","Its my 2nd time here, went on summer 2018 and autumn 2019.You can see the park in many photos in social media. Its a nice backdrop for photos.Its crowded when we visited, long line for the golf-cart shuttle service."
Often known as Sky Park,"Visit this park for views of the river, city and football stadium. The area was a land fill turned into an attractively landscaped hill. It is a popular destination especially when its tall grasses seed and turn red. The hill top has a cafe and toilets. The staircase serving the hill features 291 steps, so bare that in mind when you start to climb it. "
Worth the climb,"Instagram brought us here! The park is huge, from the size of it, probably 90% is filled with silvergrass and the rest is pink muhly grass and kochia. We arrived early in the morning and had to walk around 20 minutes from World Cup station to reach the foot of the hill. There are 3 options to reach the top, by tram, stairs or hill climb. We opted for stairs and get down by hill. There was silvergrass festival during my trip but it wasnt fully bloom yet. Pink muhly grass on the other hand was blooming perfectly but the land plot for pink muhly is too small hence huge crowd. Overall experience, we had great time here"
Silver & Pink Grass,"You may call it hype, marketing, commercialized space... I call it, a patch of beautiful nature called PARKIf you have the time, GO Autumn is the best time to go when the grass turns pink and the leaves are yellow. The path is already an adventure with the different sounds that tingle your sensesThe signage around about wild creatures make you appreciate their respect for nature and the natural habitat of animalsSome say it is nice to go on foot instead of riding the buggy... I think paying 3,000 Won is better then perhaps fulfilling your step while at the top moving from one section to the other is much better.Make sure to take a drink with you because you will want to sit in one of the huts with a cold drink on hand (and maybe some snacks)-DONT FORGET THE SUNSCREEN!"
Nice place,Interesting at the top with the grass land and good views of Seoul. Noticed long lines for the shuttle to the top. Not sure why so many waiting for shuttle. You could walk to top in less time than in line. And there is a gradual road to top if you want to avoid stairs.
Good in October,"I visited here at the end of September this year and in October of last year. I went to see the pink Muhly grass and the silver grass. It was pretty but not as full at the end of September thus I recommend going in October as I went last year - the silver grass was blooming then at that time. Overall, nice views from up there. One time we hiked up, the other time we took the trolly ride. It costs 3,000 won one way. Avoid going on the weekend, if you can, as it is packed then. Weekdays are much better. "
