review_title,review_body
Come quite frequently,"I live not far from this area and so have been coming to Gangneung quite regularly for six years now. Gyeongpo is a wonderful place in that the beaches of the East Sea are far cleaner than those on the West Coast of Korea. The water quality is excellent. Wonderful to swim in. The adjacent lake is an excellent place for bird watching, with herons, cormorants, and sandpipers dominant from April to October, followed by various migratory duck species from late fall to early spring. My only gripe about the area is that the restaurants are slightly overpriced IMO. Can rent tubes and do paragliding, jetskiing, etc. St John's hotel, with one of the best saunas in the area, is a 15~20 minute walk away at Gangmun Beach."
Very good,"The place is good, a very beautiful lake view from the hotel, needs more attention to hotel management. the supplementary items are not up to the mark."
Expected more,"Expected so much more.The beach is known for its romantic resting sculptures for couples. But there are just a few, spread along the wide beach. I really meant it by 'wide'. You gotta walk to each and everyone of them.The beach is huge. Lots of sand before you could reach the water.Directions:. Gangneung Bus Terminal. Bus 202. Alight at Gyeongpodae Beach"
Excellent beach..,"C ( 18.12.18 ) The beach was famous place, and one of excellent beach in East Sea. There was well-managed and had good sand. There was very good place to enjoy sea bathing in summer and walk along the beach. Excellent beach."
Excellent site for sunrise,Wake up early and be rewarded with a surreal experience of the epic sunrise seen directly from the beach. The horizon stretches uninterrupted end-to-end.
Realy nice(for korea standards),We live in Gangneung so we visit gyeongpo beach alot in the summer. The beach is quite nice and warm in the summer. The only downpoint is that is always packed of people. In the night they always have some festivals or music playing so its good even in the night. You could visit many restaurants and bars around that place in the morning and night plus during the day you could rent boats! 
Beautiful beach with less people ,"This is a beautiful beach located in the east coast of korea. The area got a boost with the winter Olympics of 2018. Many new hotels, motels, restaurants and coffee shops were built. Unfortunately after the Olympics not many people are visiting. Beaches are beautiful, white sand and long and importantly not crowded. Recommended to visit. "
Nice decked beach walk,I loved this nice long beach walk which is decked so it's very easy to walk while enjoying the ocean and pine trees on the other side.
A beach visit tied into the winter Olympics,"We attended the winter Olympics and our accommodations were a block away from the beach. We used the great amenities of restaurants and hotels that catered to the beach crowd to our vantage. It was cold and windy while we were there, so not your typical beach weather. In celebration of the Olympics there were some great sculptures and other displays which made the cold weather less of a factor as we still enjoyed our time on the beach."
"Clean, beautiful, and great sunrises","This is a very popular beach, although there was no swimming in February! I was here for the Olympics, and there were cool large sculptures on the beach, intended to be burned on weekends. The sunrises were gorgeous, and there are lots of good food choices nearby."
Very nice beach,I went there during the Winter Olympics and was pleasantly surprised by its state. It was very clean even though there were many people and a lot of interesting artwork. Very nice place.
