review_title,review_body
Don't waste your time,"No actual Korean art within. ₩5,000 and all I saw was a bunch of Finnish (think Ikea on steroids] stuff of which I saw a larger and nicer collection st the Manchester Museum of Art in England. "
peaceful,I wish there would be more art pieces when compare to the space they have.All of the staff are friendly and can speak English.
Beautiful Museum with Small collection,"Visited here on a Sunday afternoon. Very small crowd so it felt as though I had the place to myself. The outside of the building is rather plain, but the inside is quite beautiful. The exhibits were quite good, but very small for the space. The main hallways on each floor seems bigger than the exhibition space. The shop was very small. Still, the collection is nice and it is free so worth a visit."
Surprise! One of the truly great Contemporary Art Museums in the World!,"We had heard about the reputation of the Busan Museum of Art, as being a terrific museum for Contemporary Art. The art displayed, and the execution of the display of this art, is above reproach. There is apparently a second space with more of their Permanent Collection displayed, which we did not visit. But this is a MUST for CONTEMPORARY Art lovers. And our admission was free!"
Large but empty museum ,Such a large building but so little to see. The special exhibition was of little interest and no permanent exhibits. English translation of Korean captions very poor. Cafe was nice but that’s not what we went there for. Avoid.
Wonderful collection,"The current exhibit about the history of art in Busan is really interesting and informative. It covers Japanese occupation, art during the Korean War, contemporary art, etc. The recently acquired collection was good too. There’s English translation for most galleries. The museum is easy to get to by subway and the main galleries are free! "
A perfect Saturday/Sunday afternoon,"This is probably one of the better modern art museums in South Korea, and a perfect place to spent a lazy Saturday or Sunday afternoon. The attached restaurant id good but pricey so try the foodtrucks nearby in the sculpture park as a yummy, cheaper alternatives. Some exhibitions require additional payment, but you should be able to get right around in a leisurely 2hrs."
Nice Collection of Modern Art,"Probably one of the better modern art museums in Korea. The exhibits were interesting and varied, mostly early 2000's works from Korean artists (unfortunately all of the piece descriptions were in Korean regardless of the artist). Not sure if there is seasonal renovations, as when I went lot of the space was empty,including the entire second floor."
Don't miss the Lee Ufan annex,"The main building has a few small exhibitions and is free, although several floors were closed, including the main sculpture garden. However, the Lee Ufan annex is worth the visit if you like his work, with walk-through sculptures of starkly lit boulders, white gravel floors, and giant plates of metal. There is a small fee to visit the annex but it is minimal."
Museum without art,"Two exhibits were advertised, but they filled maybe 10% of the museum, which was otherwise as empty as a new fridge. So unless current exhibits sound compelling, it's not worth your time."
Hints on this place,"1) Strange museum — almost no visitors on a week day, building is quite big, but exhibitions are tiny. Lot of empty space without people.2) Closed on mondays.3) Free admission for permanent exhibition.4) Children' museum."
Museum of modern art,"Visited while in busan in November 2016. Easy access via the busan metro. I only was in the building with the gift shop which had some French impressionist prints to purchase. Modern art style in exhibits. Multi level museum. In one exhibit you could enter a large mountain created out of thousands of Japanese cranes. It was to symbolize the end of the Korea Japan war. In the bottom of this building, there was an area for children to play and create their own art work. Located near BexCo."
For ufan Lee,"Art museum is so so, big and they have nice collection, but i would like to recommend Ufan Lee's museum. It placed inside of Busan Art museum. there is extra charge. but the collection and building is so beautiful. "
nice exhibitions,"The building is not that special for a museum of art, but this does not matter because the two exhibitions we saw were nice. The museum only has temporary exhibitions. Whether you enjoy the place, it really depends. And I am the lucky one.Try the pumpkin latte at the restaurant. It is actually milk with pumpkin. This special drink tastes good and is suitable for children as well."
Amazing exhibition by Busan Biennale 2016 team,Pleasantly surprised with the theme of the Busan Biennale and the exhibition in celebration of the 100th anniversary of Lee Jung Seob. Both exhibitions were impeccably curated and it was enjoyable just wandering around and learning more about Korean art.Definitely worth a visit if you are an art lover. The museum is closed on Mondays though so do take note and it's about a 5-8 min walk from the Busan Museum of Art station. The exhibitions always change so perhaps the ongoing exhibitions won't be everyone's cup of tea at certain timing. 
Pick your exhibition carefully,This museum doesn't have a permanent exhibition. It offers room to temporary exhibitions for which you pay separately. So when you enter the museum make sure you buy a ticket for an exhibition which interests you. Otherwise you end up paying an amount of money (we payed 12.000 won per person) for something which isn't your cup of tea. 
Everything is closed,"when we arrived, all the exibhits other than the ""statue garden"" were closed, so we went to look at the statues. Let's just say we soon found our way out of there. "
Not a must see,"We had read that this was quite a good shelter from the rain, otherwise not a key sight, however, it was disappointing. When we walked in, we were told that they were setting up their next exhibition so I thought that we would just see the permanent exhibition, which did not exist!!! I'd look up the website next time!! "
Wonderful Relaxing Discovery,"Well designed, airy, spacious. Take your time to explore the exhibits, indoors and outdoors. Lots of seating made available on every floor.The gift shop is a disappointment though. Sells more touristy bric a brac with highly inflated prices vs souvenirs of the artwork exhibits at the gallery."
Excellent modern and contemporary art museum,"Excellent museum, mostly with modern and contemporary art from local artists. Also hosts some temporary exhibitions by some foreign artists.Nice and modern building.It is free entrance.Not all information is in English."
Stopped by out of necessity and discovered a lot of new and amazing art,"It was a rainy day, and I did not feel like going to a variety of places that morning. After a visit to Shinsegae Department Store, the Busan Museum of Art was in the same neighborhood, so I thought I would stop by. The end result did not disappoint. I am so happy I paid this Museum a visit. There were amazing works by Novello Finotti on display, some interesting Asian oil paintings and Japanese print works, as well as new and modern art from Chinese painters. I thoroughly enjoyed this visit. I am happy it was free, but had I known these works were on display, I would have gladly paid. The museum space is wonderful. It is open, airy, and very modern."
Exhibits not so attractive,"The size of the museum is quite big but their exhibits really not so interesting and attractive. However, the park around the museum is much more beautiful and attractive. It is because it was autumn time when I visited it. Red maples leaves was so eye-catching."
Almost no art,"It had a couple of sparse galleries, not very much to see really. The children's area had a few magnet boards with some shapes on it. There was a few statues of dogs peeing around the place and a spot for children to colour. Not worth the fee ( it was free). There was a gallery for a fee of Andy Warhol. I was there expecting Korean art couldn't find any."
Glad it was free,"This museum has art on level two and three with a kids area on the B1 level. It's free to visit but special exhibits will have a fee. There's enough to occupy about 30 minutes max so if you're looking for something to do and have low expectations, this is an option. The art is very redundant. "
Nothing here ,Everything was closed except one exhibit with sketches and the museum shop. I'm sure this place would be nice if the art was actually on display. I would definitely call to find out how many exhibits are open first. 
Free museum to explore eastern art,"Certainly worth 1.5-2.5 hours of your time to walk through two floors of exhibits. the Korean art on the 3rd floor was something new; obvious connections to Chinese art in the (much) older exhibits. Currently there's an exhibition of German art on the 2nd floor, some of which was quite interesting as well. All this said, some of the ""modern art"" doesn't do much for me.Our youngish boy enjoyed the chance to color a sheet in the basement and hang it on the wall next to works done by other adolescent artists."
Gorgeous.,"This is such an interesting and multi cultural experience, worth the trip to find this museum. The art pieces are fascinating. "
"Better than we expected, pity we only had one hour","We went to the Busan Museum of Art on a rainy afternoon before leaving Busan for Gyeongju. We had less than an hour to spend in the museum (as it takes at least 45 minutes to go to Busan station), which we really regretted once we arrived at the museum. The museum basically has two floors displaying artworks (above the ground floor with the reception, museum shop and restaurant. The second floor hosted a special exhibition on German art after 1949, and the third floor had contemporary and modern art of Korean artists. If you only have little time to spend in the museum as we did, I'd recommend to focus on the third floor. We found it fascinating to see what contemporary art in Korea is like and how it differs from Western contemporary art and we saw several excellent pieces. One room was devoted to modern interpretations of traditional arts in Korea, which was also very interesting."
what a beautiful little museum,"Wow, we really enjoyed the visit to this museum. The art shown is very interesting because the upper floor is reserved for Korean artists. Also the outside area with the sculptures is very interesting. This museum was one of the highlights of our trip to Busan."
