review_title,review_body
Substantial fortress in the south of Korea,"This fortress is much more than some dusty pile of old masonry. It contains beautiful buildings, houses and a major museum. While we were there it was particularly interesting as colourful (historic) life sized manikins were everywhere, either attacking or defending the castle, or displaying aspects of life in historical times. The display overall is very impressive although a couple of bits were a bit to ""Disney"" for my liking. Like most attractions of this type in Korea the entry fee was very low. The castle walls and structures are in very good condition, parts overlook a large river. If you are in Busan I would recommend you set aside part of a day to visit Jinju and its castle. The bus from Busan drops you off a short distance from the castle, it's really worth a visit."
Beautiful fortress with amazing view,We had a great time with our friends- a large group of 11 of us ages 1-40+. I would just caution to watch young children as there are rocks without railings. 
Amazing fortress site with attractive buildings within,"This fortress has a key position on the river & easy access to the city. The site is surrounded by the fortress a walls & has various gate entrances/exits. The interior has a lovely garden feel with grassed areas & trees. There are numerous building's /temples structures to look at & access. The view from the wall across the river is great, especially when the lantern Festival is on.Within the grounds is the Jinju National museum - also worth a visit. "
"Lucious gardens, old stones, Korea remembers heroes of the Imjin Wars","It costs around 2$ to see. Stone ramparts run maybe 2km. Pavilions, Shrines, statues, altars, monuments, gates, a temple and a free national museum emerge from the forest/garden as you wander cobble stone paths.The place is maintained to remember the Imjin wars, in particular the 2 battles of Jinju, where the Fortress first repelled and then succumbed to the Japanese invaders.Heroes are remembered, patriots are honored, sacrifice is respected.Living in Korea I get a little tired of all of the historic sites dedicated to remembering how horrible the Japanese were, and how amazing and patriotic the koreans were. I get it, message received, maintaining national narrative and national identity preserved. Now can I learn about what daily life was like? How many people lived here? What did they eat? Where did their food come from? What was the relationship between the local people and the feudal overlords like? What did you need to do to be the boss of this fort? Was it a hereditary title, or were military officials appointed from the capital? Did the generals live in the fort? Where did their families live? What kinds of people worked here, and what were their jobs? Who were some significant korean historical figures who passed through here, did they say anything about the place?What objects were part of the average person's life? What were their houses like? How did humans live here?I have so many questions.... ahh... and yes, I'm lazy, and greedy...I want them answered on nice big boards in at least six languages.Yes, that is a complaint. But I really like the place, in fact I've gone twice, in Fall and in Spring.The museum and fortress are worth a visit. There are lots of places to sit and read a good book under a shady tree. The view of the river is lovely. I wish I could learn more about the daily lives of past people. But the purpose of the historical site is to remember the violence of the Imjin wars and to honour patriotic korean heroes."
Great History ,"Got to learn a great deal and accuracy on the war that was fought involving Joseon, China and Japan. The museum is new and i really enjoyed how it is curated. Simple, interactive and detailed. The artifacts were awesome especially to learn on the prowess of weaponry back in the days.Entry fee is 2000KRW.To get here from Seoul is rather time consuming. I took the Express Bus from Seoul Express Bus Terminal. It took 4 hours. Alight at the Jinju terminal. Bus will stop outside a university before the terminal.Then you have 3 choices.Walk.Turn left outside terminal.Walk and cross to the right. Walk on the left for about 15 to 20 minutes.Once you walk across a river, lookout for Jinjuseong sign. It will point to the left.Taxi.Just flag one outside the terminal.BusGo left outside terminal.Cross to the right.Walk by the left.Take Bus 130 from nearby bus stop.Alight at the 4th stop.Lookout for Jinjuseong signboard which will point to the left."
Pleasant walk in nice weather ,"While there’s not much to see in Jinju, this is definitely worth a visit. Simply strolling around is quite refreshing and gives you a good overview on the city and river below. "
More Park than Fortress,Our tour group stopped at this site during our trip from Seoul to Busan. Although this place is called a fortress but it was more like a park with several monuments to the battles with the Japanese in 1592 and 1593.Do pick up the pamphlet about Jinjuseong Fortress at the ticket office which provides pictures and descriptions of the main features of this site. Signs at the site are in both Korean and English. Expect to do plenty of walking in the sun so a hat and sunglasses are recommended along with sunscreen.
The fortress with good river view.,"CY ( 18.05.15 ) This castle had important meaning when Japanese Invasion of Korea in 1592. The castle was located beside river, and had historic event. The inside was good to walk with good river view, and had museum."
The Fortress,"Former castle/military installation which has now been converted to a memorial of sorts with nice leafy grass areas within it's walls.There are a few shrines and memorial installations on the premises and it's a good place to go for a stroll if you have any interest in Korean military history.The car park is quite small and finding a parking space is a bit difficult particularly on the weekends, so best to visit early. "
"Nice place, important history with great views over the river","This a compact fortress with many small but very interesting buildings. The statue of General Kin Si-min is quite impressive and he is obviously held in very high regard within this area, if not through the Korea....The story attached to the Uiam Rock is quite bought provoking. I'm sure you will read all about it however a lady ""Nongae"" threw herself from this famous rock killing a Japanese General and herself at he same time. Quite a sacrifice for revenge.....The memorial alter is also very special in that it commemorates the lives lost in three great historic battles.... 70,000 including civilians on one occasion...... TD a modern alter built in 1987.In summary a very interesting place to visit but important to read or have a guide to explain all the history for full impact. Certainly worth a visit."
