review_title,review_body
Interesting place to be,"We took a bus from central Busan to the last stop at a place where we were approached by a man who asked us whether we wanted to take a boat trip around the park's coast. We agreed, and were driven to the port by a free-shuttle bus. From there, we took a boat ride around the southern tip of Busan. After the boat trip, we walked to the Park and explored it by foot and also took a train which runs around the park. Very interesting place to be, especially the views from the lighthouse.A lot of walking involved, so wear comfortable shoes!"
A park on the sea,"A nice park to spend a few hours in. Green forests, rocky beach, temples and monuments are only part of what this place has to offer."
Amazing view!,It was raining and the Danubi train doesn't operate even when it drizzles. Be prepared to climb 4.5km up to the top. It was an awesome slow walk up. 
Amazing View!,"Despite the endless steps, this place is stunningly beautiful.Great angle and position for photos. It was breathtaking. Though the time spent here was short, it was really worth it!"
Must visit place in Busan,Taking bus no 8 from Jagalchi to Taejongdae. The fare is about 1.2k. Then walking around 5 minutes to the entrance to catch a Danubi Train. (3k per ride ~ with 3 stop). The view is awesome. A lot of stairs but just chill and walk slowly so you can enjoy the view.
Taejongdae Park,"Amazing view of the cliff, the lighthouse everything. You should come here early morning if you want to catch avoid the queue for the Danube train going up. But you can hike all the way up for around 30mins."
Beautiful View,"The view is beautiful, lighthouse in the cliffside. But the you need to take stairs going down and up. A bit tiring for us, who are not so physically active."
"Steep climb to the top of the lighthouse, great exercise for a 70 year old!",Beautifully sunny day day hot work but worth it. Lots of climbing steps to get there but all well organised
A scenic view that worth it,"The scenic view is stunning ! Try also the lighthouse. But you will need to be enduring, found downstairs and upstairs. Should be done during sunny days !"
Good walking,Took a taxi from our hotel to here. Relatively easy walking in a loop which takes a couple of hours allowing for stops. Nice views; a few steps to the lighthouse. We went down to a pebble beach where the ferry trips go from and raw fish was being sold. 
