review_title,review_body
Practical and beautiful way to see the city,"Busan City Tour Bus in South Korea is a great public transportation facility that allows easy connections between important Busan attractions, for example, UN Memorial Park, Centum City, Haeundae Beach and more. Double-decker buses pass through Busan Harbor Bridge and Gwangan Bridge; drivers do speak English and there is an English commentary on the routes. You can change lines and the timetable is pretty convenient.One-day pass cost 15,000W. Please have in mind that there is no service on Monday unless it is a public holiday"
A way to see the city,Well put aside there is no English commentary and we were left stranded near the Songdo Beach Skywalk because the last hoho bus is something past 3!!! It was ok. At least you got to see some parts of the city you wouldn’t otherwise go to.
????,"I usually go explore by myself cities. unfortunately , as I don’t have enough time in Busan , I chose the bus tour , during the tour that lasted 7h, I stayed waiting the bus 4 hours (2/3 of the time), i chose only 3 stops, as I refrained myself for doing more because of my fear to waste more time, no explanations given concerning the delays, moreover, do not expect any explanations in english concerning the visited place "
If your time is limited this is the tour to take,"We only had less than a day to visit Busan so this was the way to get a feel for the city. It's also very inexpensive. However, if one wants to visit the Haedong Yonggunsa Temple you will need a transfer and allow a lot of time. Overall, well worth the money albeit English is not widely spoken on the commentary which is by video. ."
inexpensive and easy,Buses go everywhere and you can get on and off whenever and wherever you wanted. The schedule was easy to read and buses were timely.
An enjoyable day,"A good day tour with plenty of time at each stop.However, it was let down by one of the stops being cancelled due to weather meaning that the train at the venue didn't run. This stop was replaced with a 2 hour stop at a shopping mall! It stopped raining by 12noon so I feel that if the sequence of stops had been changed, we would have seen all four stops.If we had not a found a lovely friendly restaurant at the shopping mall and had a fantastic early lunch, we would have been very bored. Shopping is not what we signed up for and I cannot see any mention of this alternative venue in the event of inclement weather."
English speakers at a handicap,We started our tour at Busan Station which was a stop for both the Red and Blue lines but the buses stationed there were not clearly marked and the drivers of the buses initially gave conflicting information as to which line they were going to take. Fortunately this problem did not continue as the buses and stops for the rest of this hop-on-hop-off tour clearly indicated which line they took. The upper deck of the buses we took on this tour were all a bit tatty. The aircon in the enclosed part of the upper deck did not work and our ride was very uncomfortable in the hot weather. The drivers did not speak English and the on-board video ran in Korean only. There was an audio guide device in each seat without any user notes on how to use it. This is more an economic bus ride to get your orientation on your first visit to Busan than a guided bus tour of a standard on par in other cosmopolitan cities like London and Paris.
A brief stop in Busam,We only had a few days in Busan and took the Hop on Bus for a quick overview.It ecceeded our expectations.There are 4 routes which merge which makes it easy to jump straight of one bus and onto another or take a 25 minute break to visit an attraction your choice.Only problem is that there is no English commentary.
Stops running early,"Used the BUTI tour on our first day in Busan, with the idea of catching our bearings on the city and it’s highlights. While the routes do visit those, there is no English explanation and the last bus is around 1700, which in our experience is relatively early. Tickets are for the day itself only, not valid for 24 hours, making it even more important to get on early or consider alternative options such as a combination of public bus and subway. We went during a weekend, full of locals also going around so we needed to stay in line for about 1:15min. As the bus was full it was better to stay onboard as getting out and in at short stops wouldn’t work. "
Great Way to See Busan in a Day ,"The Busan City Tour Bus is their version of ‘Hop On Hop Off’. A multi-coloured bus route consisting of Red (most popular), Blue, Green and Yellow at 15,000 won for a Day Pass (a discount is available when you show your SRT train ticket, Air Busan flight ticket or your International Cruise Boarding Pass) travelling to many popular places. Pay the driver to get a wrist band. Unfortunately, I was in Busan for the day and didn’t take the looped tour bus until the afternoon. I only saw the Haedong Yonggungsa temple. Take the red line route to stop #9 (Haeundae Beach) & transfer onto the Blue line to get off at stop #6.The red bus starts near the main Busan train station. TIPS: push the button to get off at the stop and take the night tour. Overall it’s a great way to experience Busan in one day. The only disadvantage is that there is no audio on board. "
Comfortable and convenient Busan City Tour Jumbo Bus,Excellent tourist route. Plan you time carefully and you will get to see the key tourist spots of Busan. It is a one straight forward route . Convenient and value for money.Highly recommended.
Highly recommend this ,"Great value for money. I spent 15000KW to see everything I needed to in Busan. I’d recommend this trip for people strapped for time, but wanting to see it all. For the price I literally only spent 1000 to take the train at Taejongdae Park. As the entrance to all the other places were free. Even for tourists. 12 stops which is so worth it. I’d recommend going early as you’ll most likely want to spend quite some time at Songdo beach, taejongdae park, Oryukdo Island and Biff square. Worth every penny. 10/10"
Full-day Busan city tour,"Excellent trip seeing the key spots of Busan. Just enough time at each sight. Very kind and helpful guides, and interesting facts of history. A great day!"
Busan city tour jumbo bus ,Was wonderful and amazing tour comfortable bus and nice driver Busan city beautiful and amazing I recommend everyone to visit Busan 
Lacking,"The most disappointing aspect of this tour is that it does not operate on Mondays, which was incredibly inconvenient.The other major issue is that the information provided is sparse and basic. There are prolonged periods where no information is given. The descriptions are also ridiculous, such as the promise of experiencing ecstasy when looking out at the ocean.It is really only useful for getting to points around the city which are not easily accessible by subway.I’ve been on tones of hop on and hop off tours. This would rate as one of the worst"
Could have been better,"It was a nice trip, but reduced one point for absence of audio guides on board. Bus at times goes too fast"
Perfect for traveling around Busan,"This is a hop off and on city bus kind of service. At 15,000w per adult, you get to go to many places in Busan! It was especially helpful for me because my hotel happened to be quite far from the city like Nampo... and the city bus takes me right there! With this price, it’s very worth it considering the fact that you’re unfamiliar with the place and taxi can be quite pricey. The bus guide speaks simple English and are very friendly. To purchase the tickets, you just have to pay the driver upon boarding and get your all day pass bracelet that you just have to flash upon boarding as and when throughout the day. Highly recommended."
"Great for tourists, just don’t go on a rainy day","This is a very efficient mode to see and experience Busan. The route was well-designed and at 15,000 kwr I think it’s great value. However, I took this trip on a raining day so the Danui train at Taejongdae Park wasn’t in operation making the visit to this highlight difficult. Also the Oryukdo sky walk was closed on a rainy day. As most of the views will be appreciated with some outdoor walking, I find that you would get most out of this trip on a non-rainy day."
