review_title,review_body
Very Enjoyable Half Day at Jeolmul,"30 mins drive out from Jeju City. My Wife and Daughter accompanied me on the first 2.5km of the 11.1km yellow route, then they took a short cut back (around 1.2km) to relax at the Korean style picnic tables and visit the carp pond. I took another 1.5 hrs or so to complete the yellow route, which by the way is circular, not an up and back as reported sometimes previously. I came across plenty of deer, as well as some beautiful birds and flowers. The first 5km or so has hessian Mats to walk on, which is very peasant, but then it gets a bit muddy and rocky, with a few steep sections.....walking boots or trail shoes are definitely best, although possible in Trainers. Really enjoyed the hike."
Jeomul Oreum Trail 0.8km,"We went with our boys for a short hiking. Jeomul Oreum trail is shady and only takes 45min. There are few junctions at the top of the trail which might be confusing. The maps say one big round trail, ultimately it is the same way up and down. If you took the wrong trail, it will lead to 5km trail. Overall good and short trail for the kids."
Perfect for a weekend getaway with the family,"The locals come here for a picnic. This place also has a few playgrounds for children. If you ever wanted to go to the observatory, it would require some hiking so wear proper clothes. Was the view worth the hike? I think other places in Jeju provide better views than the one here."
Huge place with lots of various length walks.,There are lots of walks but very badly marked.They are colour coded but the trails arn't.Very confusing especially if you can't read Korean.They range between 1-11 kms long.In march all the trees were still bare so not very attractive walks.
Therapeutic walk ,The park was quiet when I visited. It was an easy walk with nice trees and scenery. It had a great calming effect on me. Love it. Just 5 minutes drive from the park is the Hanwha Resort Jeju which I went for a fantastic spa treatment. My afternoon was made perfect ! 
In nature's lap,It was such a nice experience at Jeolmul Natural Forest Resort. The location is so scenic that no pictures do any justice.
Gwongemumseong fortress,"A very beautiful and peaceful, cooling place. Full of natural trees. I went after rain,vision not clear from hill top. But I love this natural scenery. It is money back guarantee for Korean people if can not view anything from hill top with heavy mist. Anyway announcement were made if there is heavy mist during rain. "
A walk to calm the soul,"Understand there are three courses here - 30 mins, 60 and 90. Basically it’s a very light forest with pine and a few other trees that I am not familiar with. You choose the course and just take your time to walk - the air is fresh, nobody speaks loudly. The path will meander through trees, laughing statues, water fountain, and more trees. Would definitely recommend coming this place for those who want to calm their nerves and leave the city behind. We took the 30 mins course and came out refreshed. "
Such a great place!!!,"After the big snow fall last week, 2/3 place is closed to visit however, still the rest of part that I can visit and walk around were super great! Admission is 1,000 KRW(less than a 1 USD, 0.80Euro, maybe). There is small sack kiosk at the entrance/ parking lot. They have very nice OMEGI rice cake and fish cake soup(oden)!! Great taste and owners are very kind and smiley. In the forest, there is small Buddhist' temple where provides free 3 in 1 coffee and green tea bag with hot water. Looking inside of temple was also great pleasure. There is pond and feet washing place but it was not accessible today due to the heavy snow. One thing I also loved very much and spent more than 30 min inside, is "" experience building for phytoncide"" in Korean, 산림욕, 山林浴! Cozy and warm after the cold from outside walk, and I loved the smell of natural woods inside. They have 4 different type of rooms, as far as I remember. On my way back to hotel, I met local gentlemen, they told me Summer is the BEST to visit and can feel real Phytoncide with great ambiance. Even I could not visit whole places, it worth to be there. If you visit there now or winter, please make sure your shoes, like hiking shoes or bring your EISEN, protecting gear against sliding. Kids will love this place too."
Nice fresh walking trails,This is a well maintained natural forest. You can walk here after visiting the Roe Deer Observation Centre or take the Jeju City bus. There are many trails and a fair amount of visitors. Entrance fee is payable and a car park is available at the entrance.
