review_title,review_body
Famous temple built on the Rocky hillside on the sea. Lots of steps but worth it. Monks do live there.,"Scenery just beautiful.Some of the stones are a bit difficult to use.. be careful. No wheel chairs,, no elevators."
Amazing temple,This temple is a great place to visit to experience Korean culture and history. We really enjoyed our visit and you can take great pictures here. 
One of a kind,There are many temples and shrines throughout Asia but none is like this. It is massive in size and spectacularly beautiful since it is built into the mountainside with the ocean waves crashing below. There is truly nothing like it and that's why it is always so crowded.
Magnificent but crowded place,"Lots of tour groups spoil this magnificent place. Access is best done using the tourist bus loops. The walking along the seaside approach is beautiful. On site, there is simply too many people in a relatively small place. One can only imagine the beauty of this temple when the horde of tourists are gone..."
Iconic understated temple.,Easy and short taxi from Haeuande beach.15 minutes ride . Short walk from carpark and serene view of sea and temple. Very busy with tourists but monks prayers made it magical and serene. A must visit and top site for Busan.
Temple by the sea,"A unique combination of temple, rocks, and sea. Get into the spiritual mood, see the inner workings of a great temple. There's a nice food court outside"
Weekends are too busy ,"Don’t come on a weekend it is soooo busy you can’t move, I cam there at 10am and was far too busy to enjoy the great scenery and temple! "
A must visit temple in Busan,"A walking distance to reach the entrance of the temple and you wont get hungry here as alot of dishes and snacks along the way to reach the temple.For those not convenient to walk, not advisable to come here as the staircase is the most headache. The scenery is superb nice and very cooling when visit on Oct. Alot of Korean praying in the temple and very clean as well."
A must see in Busang,This beautiful temple is perched on the hillside and offer a half a day worth of sightseeing. It is located on the other side of the oceanographic institute of Busan so you may combine them in one single visit. The view on the ocean is beautiful on the upper levels. Take the stairways going up all the way and you can go back on foot to your hopon hopoff bus which stops only at the institute. There are lots of people visiting this place so you may want to go early to avoid the big crowd.
Worth a visit ,"Temple set on the rocks is with a visit, but you only need about 30 minutes. Easiest easy to ge there and back is by taxi which is about 15-20 minutes from Haeundae."
Temple in the seaside of Busan,"Unique temple, since its is situated in the seaside.Place is crowded during our visit. I has narrow stairs. Also we have limited time so we weren't able to explore the whole place."
Highlight,"Take Line 2 to Haeundae Station. From Exit 7, take Bus 181 and get off at Yonggungsa Temple approx 20 minutes later.There will be a stone post that indicates the direction of the temple. Walk uphill for another 10 minutes to get to the temple.Crowded as it may be, but a must to visit if you have the time for the temple is unlike others - situated by the seaside."
Stunning views,"Incredible experience, it is tourist spot so it gets very crowded but nice walk to the temple and plenty of eats along the way to try. It has lot of narrow steps for beware for elderly visitors."
Crowded Sunday,"We catched a taxi from Cheongsapo costing less then Krw 8k to get there. Taxi is relatively inexpensive to travel around visiting places of interest for a group of 4 and it saves valuable time. We visited this temple on a Sunday morning which was a mistake as it was crowded with local tourists and workshippers. There are many shops selling souvenirs and food stuff leading to the temple entrance. We actually have to queue to get into the temple. It was just too crowded to really admire the temple built along the rocky shoreline. In actual, the temple is not as beautiful as in the photo brochure.From here, it is a Krw4k taxi ride to Lotte Outlet Dongbusan"
The most beautiful temple in South Korea,"Wow! So beautiful, I was humbled to be in such a sacred place. Loved that it was between the mountain and the sea."
Beautiful temple,"It is one of the top sights for us in Busan. Try to avoid public holidays or weekends, if you can as it will be crowded. We were there on a cloudy weekday in late afternoon, so it wasn't too crowded.It was also quite easy to reach by public transport but expect a 10 mins walk from the bus stop to the temple.There are quite a few food outlets outside the temple, although expect mainly street food. It is a beautiful temple although I am not sure that it is the most beautiful in Korea, as some claim it to be. For those seeking extra blessings to avoid motor vehicle accidents or get better marks in school, there are a couple of spots in the temple for that. Keep an eye for them!"
"Nice temple, but crowded ","The temple itself calls itself the best in South-Korea, but this is a bit of a overstated claim. Yes, the setting near the sea is great and you can certainly come to peace here if it weren’t for the hordes of tourist that visit this place.It’s a bit hard to reach from the city as you have to get on the right bus (tourist info at the metro station can help you with this) but it’s certainly worth the trip out here. "
Lived Up to Its name,"The temple was a quick walk from the Hilton Busan.It is situated overlooking the ocean, and with all the colors and the beautiful cliffs it does fit for one of the most photogenic temples I have been to.If one is staying closer to Busan proper it might take a bit to get to the temple, but if you have the time it is well worth checking out.I recommend this place."
