review_title,review_body
Temple with serene atmosphere,"Conveniently located with options of walking from Beomosa subway station or taking bus 90 to the temple at Won1300 per adult.The peaceful and calm atmosphere at entrance was soothing with lots of vegetation.Well maintained park and a nice walk along the main path passing decorative gates to the main temple. Visitors can participate in prayers at temple too.Worth to donate a tile for the temple upkeep with your wishes, name written on the tile at Won10,000 a tile. A spring water flow at temple is cooling and drinkable. Not crowded as the spacious compound with surrounding hills suitable/popular for hiking as well. A well worthy visit amongst the Temples of Korea"
Spacious temple,Went end of October but trees are still mostly green. Interesting 600 year old fertile female Gingko trees with lots of Gingko fruits. Nice walk uphill.
Super turisty,"The temple is ok, like many other korean temples but it gets very crowded. The setting is beautiful and hiking to the diffent hermitages is even better than the temple itself in my opinion"
Good Day Out,Caught metro then the 90 bus. we went on Sunday and lots of walkers. We planned on seeing temple and then walk up to north gate. The walk was strenuous but picturesque.When we reached gate we saw people on top of mountain and decided to walk part way and before we knew it we were nearly at top and then went all way. It was worth it has it has 360 degree views. Definitely recommend walk to top it took 4 hours there and back from temple.
Temple at the TOP,"Beomeosa Temple is easily accessible by train to Beomeosa Station (Exit 5) on the orange line. Recommended to take a taxi from Beomesosa Station up to the temple to save your energy walking uphill, costing Krw 4500 or less. Unfortunately, it was raining when we arrive and we could only cover the temple ground missing the walking around the temple vicinity. What a waste!"
Walk ,After a long drive a very good place to get out and walk around. Would liked to walk the trails but we did not have time.
Nice temple up in the hills,This is a nice hotel up in the hills. Its in the outskirts of Busan but very easy to find using Naver Maps. I recommend taking a taxi from the closest subway station. Its very cheap (KRW3500) and takes you all the way up to the temple unlike the bus.Got nice buildings and nice view. It also have a stream nearby.
Beautiful temple,"Beomeosa Temple is one of the important temples to visit in South Korea. You can reach the temple via hiking over the Geumjeongsan temple or reach Beomeosa subway station and then take a 15 min bus ride to the temple. I have tried them both but hiking gave me a wonderful experience. The trails are completely easy to follow up, plus the added beautiful scenery. One of the must-visit places in Busan"
Three Gates,"3p* Beomosa TempleWalk uphill, lots of steps, difficult, through three beautiful gatesSeveral prayer forums; need to take off shoes; no photos insideStone lanternStone pagoda"
Amazing temple,"Visited Beomeosa temple on a rainy day, the atmosphere was extraordinary! A peaceful place, the temple consists of numerous praying halls, each beautiful and unique. Highly recommended!"
Beautiful temple,"This temple is a must visit when in Busan. The temple has quite a big car park, but you can also take the public transport to get there. The temple is beautiful in itself, but the surroundings make every visit unforgettable. We loved the impressive collection of buddha statues. You can experience the temple to the fullest during a temple stay, but even if you're just stopping by for a short visit, you'll love observing the bustling temple life. When we visited there were several ceremonies going on."
Active temple,The most exciting part of this temple is watching monks and others chanting and praying. It is an active temple and you leave feeling like you have witnessed something special. Being high in the mountains adds to the atmosphere. We purchased a roof tile and inscribed a prayer on it also. Lovely colours in the temple and it certainly feels alive!
Highly Recommend,"Beomeosa is one of the oldest temple in South Korea. It is located in the beautiful Keum yu Mountain. We got there by taxi. We are not Buddhist, but we really enjoy the building and atmosphere of Beomeosa. "
Beomeosa - The oldest temple in Korea,"Beomeosa is a must-visit temple if you have a chance to visit Busan. The air is so pure and peaceful. I spent my last day morning in here and felt quite relax even temperature went up so high to 38 Celsius-degree outside. Just head up to Beomeosa metro subway station and exit at gate 7 or 5, then riding on bus 90 up the mountain to the top. You need to walk for around 10 minutes at last bus stops. "
This should be a Must See,"This temple is a little outside of Busan, but well worth the trip or extra time if you have to go in or out of the Central Bus Station. The whole complex is gorgeous. We saw Haedong Yonggung Temple and Bulguksa Temple, but Beomeosa was different. It was alive. The other temples were great to visit too for different reasons, but were mostly just history points, tourist attractions. People were still praying meditating and being respectful, but there was a feeling of stillness, inactivity at them. Beomeosa was alive, active. The atmosphere was completely different. There were monks living there, people having religious classes and meditations with monks, monks leading chants for prayers/meditations at shrines. There is a temple stay program there. It's a living, breathing active temple, not just a historical attraction. Even if you've seen other temples, this one is worth visiting. It is well maintained. Be respectful, quiet and aware that there are no pictures allowed inside the shrines. The outsides of the buildings are ok, but not inside. Take good shoes, because there are some great trails nearby. if you're a hiking buff, look at nearby walks/hikes for sure, there are many trails crisscrossing the mountain that would be well worth the trek. 100% recommend, must go."
Beautiful Scenery,"Beomeosa Temple is outside of Busan. It took us approximately 40 minutes by tour bus from the port to to the temple. It was an up hill wall from where the bus dropped us off to where the temple part begins. There are several lovely gates along the way that you walk through and statues to see on your way to the main temple area. If you like taking photos of scenery, you'll be able to get some nice photos once inside at the main temple area. The only downside for me at this temple was the squatty potty restroom."
Wonderful Temple,"I decided that I had to visit this temple, and found that it was so easy to get to thanks to the wonderful Korean transport system, the number 90 bus takes you from the Subway to the temple, and then you have a small walk up to the temple. The temple looks beautiful, and was busy on the day I went, but with so much space it was easy to get around, some wonderful photo opportunities, but mainly an area of peace and tranquility, where you can reflect on life."
A Beautiful Large Temple Complex,"This is one of the top tour attractions in Busan. You have to take a Metro train and bus to get there, but it's worth the trip. Many classic temples and structures to tour. It is a bit hilly, so be prepared. Recommended!"
Visit the Temple,It is an old temple which is well preserved and we saw a few MONKS and many tourists praying at this place. Nothing unique but can visit
Interesting visit,"We took the metro to the nearest station to Beomeosa Temple and then a taxi for 4000 krw up to the Temple. It is a steep climb up and the taxi took us to the top. On the way back, however, we walked down the path to the main road to pick up the taxi to take us back to the metro station. There is alot of walking and climbing steps involved in visiting the temple and no place to sit and rest. The first thing we came upon was the Beomeosa Museum which is free and open 9 - 5, closed Mondays, and worth a few minutes of time. Change your shoes in the entry to shoes shoes that are available to use walking in the museum. Pick up a map that will give a layout of the temple complex and tell about the structures. You can peek into some of the buildings and watch the happenings which I found very interesting. Upon exiting and getting ready to go down the hill we found a walking path in the woods."
"Interesting, worth going","This temple is out of town and its hillside location adds to the atmosphere. We took the easy route of booking a temple tour combined with a cultural dance experience and had a good day.Our bus dropped us at car park right by the start of the climb to the temple. If you’ve read that you need to be able to climb 100 steps, it’s true there are plenty. Fortunately, this is not one single flight of stairs, more a sloping path with several lots of steps. It’s easy to take your time and look at the gates, statues and monuments along the way. Even though busy, there is something mesmerising about the climb and arriving slowly is part of the pleasure.Busan was one of the best places for viewing cherry blossoms on our holiday."
Temple stay,"We stayed at the temple for one night. We got a tour by one of the monks, which was very nice. The temple looks quite beautiful, and the views on the surrounding area are nice too. What I liked most was the music made by the monks, which I think everyone can go to, as it was in front of the main hall.I thought the temple stay program was very interesting, but the sleeping facility was absolutely terrible. The 'matress' is just as thin as the blanket, so you basically have to sleep on the floor. Nothing like the Japanese futons I slept on once. No one in our group slept much that night. The food was nice, and the potatoes and the pancakes were very tasty."
lovely Temple complex and do the hiking Loop,Lovely well-maintained Temple complex rebuilt in the 1600s. Well worth it. Sure to take the lovely Serene hiking Loop that goes through the woods and around the strings before you leave.
Great temple complex,"We have not seen so many prayers in Korean temples. But mostly women. The area was decorated with large numbers of coloured lanterns, which created an interesting atmosphere and feeling."
Steep climb but worth it,"An interesting temple set on quite a steep hillside. The different gates and large numbers of coloured lanterns enhanced the atmosphere. Each of the prayer halls was busy with worshippers. Also, once you get to the top there are good views."
Lovely,"A collection of pavilions forming the temple complex - peaceful area to wander around or to sit & think. The down side if you find walking difficult, is the long walk up with lots of steps."
