review_title,review_body
A beautiful and clean beach ,"Randomly booked Hotel Laon and when I arrived and initially saw the view from my hotel room, a smile spread across my face. What a view of such a pretty beach. This is what you call a secluded beach especially visiting this beach during the off peak season. Every morning you would see a handful of surfers catching the waves. Waking up to see the sunrise was amazing. This beach is served by the over ground train and can be a trek to go to see some of the sights in busan but is nearby to via the overground and subway station to Haeundae beach which is the more popular beach. Ten minute walk to the closest train station. And a minute walk from Hotel Laon was this place that did fabulous french toast. All in all I was a happy bunny."
L0VE this beach!,"We stayed at Hotel Carib, which gave us a perfect view of the many surfers who were out doing their thing every day....I loved it! True, it's maybe not the best place for really swimming, but for a great view and just dipping your toes in the sea, you really can't beat it!"
The best 'wave' beach along the coast.,"While Australian tourists might be underwhelmed by the wave sizes in Korea, Songjeong is a beautiful beach in its own right and the best for breaking waves on a windy day! Picturesque best describes the view on a blue sky day. Well worth a stop if you are heading north to Haedong Yonggung Temple."
Great beach spot!,"Song Jeong is an awesome spot, especially early in the morning. My favorite beach in Busan to visit especially when the sun is rising. It's quiet and the few surfers out there are having a great time. During the day, the traffic gets heavier so parking takes time, but there's food stalls, surf shops, coffee shops, seafood and the beach to make up for that inconvenience. Definitely recommended as a tour / hang out spot."
Less crowded than Heundae but you still can't swim here,"Good hotels, good cafes at the beach and good and inexpensive restaurants in the neigbourhood. The beach is much less crowded than Heaundae and quite pleasant for sleeping or having fun with little kids.But the rule on guarded beaches in Busan is no swimming beyond buoys that are chest-deep during the high tide and below-the-waist deep during the low tide, so you basically cannot go more than ca 30 meters away from the shore. It's strongly enforced by many lifeguards, you hear their whistles almost permanently. After swimming there and back again and again along the buoys, constantly pestered by the lifeguards, because you're too near to them and kicking the sand in shallow water, you'll get annoyed soon.It is also prohibited to enter the water after 6 PM. Not to swim, they'll kick you out when you're walking knee-deep along the shore.And that surely weren't bad weather rules, those rules apply all the time.If you want to have fun in the sea, just don't go to Busan beaches. They won't let you have it."
Quiet beach and nice atmosphere,"Here is a more quiet beach and beautiful as you expect it to be on a weekend getaway.Sunny day needed to see the beauty of the water and sand tho.I was there on a Sunday/Monday, and it was not crowded at all.its a surfer beach but dont expect waves, that's for beginners.Its still quiet at night, couples and family are coming Some good seafood restaurants, cheap and great hotel (I recommend Songjeong Marina Resort) nice view of the beach.The sunrise at the hotel was breathtaking.If you spend 2 nights there, I can assure you that you would feel disconnected.HIGHLY RECOMMENDED for at least a night as it is far from everything else but its worth itI will come back for sure someday !"
Clean beach and water.,"I come from a country that has many vast natural beautiful beaches, so this looks small but well maintained with many facilities for the beach goer. Overall, there is nothing special about it."
In constant evolution,"The beach is great for swimming during the summer months, and it is full of places to eat and dine and have coffee with friends all year around. It is very open sea beach, so you feel nature around, and surrounded by buildings where all sercvices are provided. So close to Busan and as good as the city. "
Nice beach with surfers,Nice quiet beach (off season) to enjoy the sea breeze and watch the surfers . Surfers are out there any time of the year and there are some small coffee shop to relax . Worth the visit as this is only a 10-15 mins drive from Haeundae beach . Highly recommended for people who like more natural surroundings .
Pick up your rubbish,A beautiful place ruined by weekend beach goers leaving their rubbish. Lovely walks at the temple hill end. Lovely old ladies selling their home grown greens early in the morning in the street. Nice places to eat near the reserve road off the beach. 
