review_title,review_body
Amazing place to hike,"I went in November and I thought it would be really cold, but the weather on the mountain was so nice I had to take off my hoodie and wear my tank top to hike! The hike up to Ulsanbawi takes around 2-4 hours depending on how fit you are; it took me around 3 because we went slow. The mountain looked beautiful even with its leafless trees & I would love to go back to hike here again. Please be advised though: the hike is rather strenuous and you need to be at a relatively fit level to be able to hike to the top!"
Worth it ,This is the best hike in the whole park but warning it is very tough and you need to be fit to do it 
Good hike GREAT VIEW,The hike up was really tiring for a good 1.5 - 2 hours (upwards) but well worth as this is not a very touristy place (you'll find yourself hiking amongst mostly locals). Go early so you don't have to squeeze w everyone else when going up and when you've reached the top. We started at 9am and would say the crowd was moderate - we did have to wait a few minutes before our turn to take photo w the rock ，
Spectacular Crag,The light plays on the white rocks all day with changing angles and intensities. This is a spectacular formation set in an amazing landscape.
Fantastic ,"The path is okay, it starts easily and gets more exhausting when approaching the peak. As a sportive person it is absolutely feasible, it took us 1.5h to reach the peak. The view was stunning! I would recommend to start as early as possible. We began at 8 am and there were only few people, when we hiked down after a looong break the path was very crowded!! After that we climbed up to Geumganggul cave, the path is more difficult but less exhausting and the view was even more beautiful than ulsanbawi and less crowded. So do ulsanbawi early to avoid the crowds and continue with Geumganggul, if you want to seize the day :) "
Unforgettable hike,"This hike is an absolute must when visiting Seoraksan National Park. The hike takes about four hours back and forth. The hike starts easy enough walking trough a beautiful forest on good trails, but it gets strenuous after you've passed Heundeulbawi Rock. From then on the path leads you straight up so many stairs that I lost count. But the view after conquering this climb is so rewarding that you'll forget all your suffering in a heart beat.The Ulsanbawi rock formation is gorgeous, but you need to be a a good condition to get there."
Great 4 hours round trip hike,"Ulsanbawi Rock is a unique rock formation composed of six granite peaks. One needs to be of general fitness to do this round trip hike of 4 hours. The initial trail is relatively easy, walking along the forest on big gravel rocks, boardwalk and stairs. After about an hour, I arrived at the famous Heundeulbawi Rock and had a 15 mins break for snacks and drinks.From Heundeulbawi Rock to Ulsanbawi Rock, the slope gets relatively steep. The majority of the trek is made up of steps, and the steeper stone sections come with ropes while the steel steps come with handrails. I needed to my arms to pull myself up from this point onwards. I finally arrive at Ulsanbawi Rock after hiking 1 hour 45 mins from the base. To reach the summit, I had to queue for about 15 mins along the narrow stretch, just to take photos of the flag and the rock indicating 836m.At the summit, one is rewarded with spectacular view of Seorak Mountain. There were many local hikers resting in the open space to have their meals as well as enjoying the view. The weather was perfect, clear blue sky with some clouds adding texture to the background. I spent 45 mins at the summit before my descent. Overall, it was an enjoyable hike, though tiring."
"I'm 65 and managed it, but it was tough!","Just want to comment on difficulty. I am a 65 year old man, in decent, but not great, shape. The walk was strenuous, especially the last 0.6 km. Uphill on either steps or a rock path. By the time I reached the top, I was quite pooped. But glad I did it. For someone younger in good shape it shoud not be that hard. For someone older or in poor shape, it will be a challenge. Also, I did it in April, so it wasn't very hot.Show less"
Fantastic view,"We decided to climb up Ulsanbawi even though it was rated ""advanced"" on KTO website. We were glad we did because the climb up was great and the view even better. It wasn't not difficult as there were proper tracks and stairs although some parts were rocky steps. The difficult part was probably the energy and endurance to keep walking and climbing. But it was worth it. "
quite challenging going up unless you are fit,"The last .8 km seemed to take forever. Be sure to go early if you wish to avoid the crowds. Got there just after 7am, taking pictures before really starting out on the course around 7:30am (on Wed 10/24). Total trip time ~4 hours. The crowds started coming in when I went back down."
