review_title,review_body
Excellent train service,"We travelled on the KTX service from Seoul to Busan and back. The journey was great, trains were punctual and, with a Korean rail pass, the fares were very reasonable."
Clean and fast,"Great counter staff who assisted me even when I asked them which public wifi spot I could tap on, and they got us the front facing seats we wanted. The ride was super comfortable and toilets are decently clean. Definitely will take it again as it is a more convenient alternative to taking airplanes within korea."
Seoul To Gyeongju,"Wow! Talk about efficient! We purchased tickets online to guarantee a seat and exchanged it at Seoul Station for printed tickets. Takes 2 hours to get to Gyeongju (seriously beautiful, btw) and the ride was smooth and comfortable. Our tour in Gyeongju ended a little earlier than anticipated and we were not able to get an earlier ride back to Seoul, they were sold out. We just chilled at Sin Gyeongju station. There's some shops and a couple of restaurants. KTX is awesome!"
"Great system, especially for the price (but weird slowdown around Sejong City)","Great system for the price and quite fast as most have already noted.Also connected to major metro stations for easy access to subways.The average speed is about 300km/h or more between Seoul and Busan.However, there is always a strange slowdown around Sejong City.Probably would cut travel time by ~15m if this slowdown doesn't happen."
Fast efficient way to travel in Korea,"Fast, clean and efficient way to travel in Korea. Seoul to Daegu is about 2 hours. On a busy weekend, you might want to get a ticket in advance, or else you might end up with standing room only, which means standing in the area between the cars near the bathroom - not a fun way to spend a few hours. "
Train To Busan,Easy to find the train and the train is clean and the seat is comfortable.Ready your tickets early as i can see the train is fully booked.The ticket is not cheap but for me is an experience because of the movie - Train to Busan. 
Super fast train,KTX is the best way to travel long distances in Korea. Its better than by air as it leaves from the middle of Seoul and lands in the middle of your destination in the city you are visiting. Very comfortable and free wi fi. Ideal if travelling to Busan
Fast and Convenient,"We bought the KR Pass, 4-day flexible pass. You can book one month in advance in their website.Went to Busan, Daegu, Daejeon and back to Seoul.It convenient, hassle-free and fast."
Fast/Clean and Comfortable train,"Traveling with KTX train is always one of my favorite public transport to Busan/Gyeongju and etc, Pros:- The train seating for second class is comfortable, and clean. Staff over the counter is helpful, as i need to change earlier train schedule from Pohang to Busan to avoid long waiting inside the station. They manage to help me change without any problem on the day itself."
Comfortable Trip into Seoul,Seoul airport is easy to get around. The automatic ticket machines are easy to use but there is a ticket desk near the entrance if you need help. It’s a quick trip into the city and you pay more for reserved seats. I used this service for my first trip and used the standard service for my other 3 trips.
GOOD.,"My guess very cheep, in Japan 3-4 times more.also,much easy to use than metro in Korea.In Seoul is for me is nuts."
Impressive but not quite as fast as the Japaneses version.,"Korean trains are fast, easy to use, clean and safe. Tickets are bought at the various stations and come complete with train, carriage and seat number all in Korean & English. They run of time so make sure you get to the platform early rather than late."
Love it!,Best way to get from Incheon Airport to Seoul. The CT pass was great for metro and bus lines. Best one stop mode for traveling to and from airport.
Easy commute,"if going between Gimpo and Incheon this is the way to do it. Cheap, fast; not stuck in traffic. Be sure to collect rebate on turning in your ticket card."
"Clean, efficient and on time",Took the KTX train to Busan (no pun intended). The whole experience was like clock work. Tickets were easy to pre-purchase. Only suggestion would be to purchase the food on the platform rather than commercial options in the plaza. 
Train to Busan,"The most convenient way to travel to Busan. Ride first class, free water and some mix nuts and cookies."
"When they are fast, they are fast...","Nice and comfortable trains, but not all of them are as fast as the Seoul-Busan line. Actually even not all trains on the Seoul-Busan line are equally fast - at different hours they are different - some stop at more stations, some - at just a few. The Seoul-Jinju line is disappointingly slow - it takes over 3.5 hours to get to the final station, and the distance is actually smaller than Seoul-Busan, where the fastest train needs just over 2 hours to travel the whole distance with speeds of up to 300 km/h"
Worth using,We used the KTX from Seoul to Busan and it was enjoyable. Get your ticket in advance as you really need to book a seat; it was a popular journey. It took about two and a half hours. Take a drink and snacks with you as I don’t think there is a refreshment area on board.
Easy and efficient,"Easy to locate, system efficient. Some confusion on accepting card or cash at ticket counters but easily negated with easy access to atms. Trains on time and clean. Just do not use the toilets - terrible!"
Fantastic train service,"I took this train from Seoul Station to Dongdaegu and also to Busan. The entire system is easy to navigate with English signs and announcements. Trains are inexpensive, punctual, and there are places for you to put your luggage when you board. There are plenty of places to buy food in the terminals. "
Fast and comfortable,"Took KTX from Seoul to Gumi Gimcheon, due to work. Bought VIP seat which is very comfortable and spacious. Snacks and water bottle are provided and the journey took about 1 hr 10mins. In the train you wont feel how fast it was traveling - 300km. Some more there is free WIFI."
Nice Experience,I very much enjoyed my travel from Seoul to Daejeon by KTX. I was seated in the first class which was very comfortable. It felt nice to experience this super fast train. 
Incredible!,"The trains are just minutes away. The speed is stunning. (300 kmh) The cars are clean comfortable, full Wifi. I recommend everyone to give it a try. Great experience."
Can Be Very Fast,"We took the KTX from Daegu to Seoul, but this time the one that made several local stops. It took 1 hour and 45’, but better to take the non-stop that takes only 1 hour and 15’. It is definitely faster than regular train and bus. "
Excellent,"We travelled from Seoul to Busan, thankfully I watched a YouTube video and it gave me the heads up on checking boards and car number, the. Seat number. We travelled first class, which I recommend. You do not notice how fast the train is going."
"Quick, easy and cheap way to travel inside Korea","We used KTX from Busan to Seoul, it was very convenient, fast and cheap. Get your ticket 1-2 hours in advance at the train station ticket office, no need for online booking hassle. The cabin overhead luggage fits up to middle sized checked baggage. Bigger luggage needs to put in between cabins.2 tickets from Busan to Seoul cost us ~110k KRW.Highly recommended."
Take it,"Fast está way to go Airport and city, quik, efifcient, fast, best way to move, not to many people nows english "
It's fast. It's cheap. It's Clean. It's Convenient.,"It's fast. It's cheap. It's Clean. It's Convenient. If you need to go is in the path of their tracks, by all means take it."
Two trips on KTX,"I took two trips on the KTX, one to Gwangju and the other to Daejeon. It was a very comfortable ride and they were always on time!"
Comfortably Fast,"Took this train from Seoul to Busan and vice versa. Ticketing was easy, although you might find the queue a little long if you decide to buy at the station. Not the most modern train, but fast, clean and comfortable. Definitely a more comfortable choice for traveling between the two cities (compared to airplane)."
Fast and Comfortable,the train was from Seoul to Busan took about 2 hours but the train was fast and the riding was smooth
Easy and smooth but some issues with first class,"The good thing about the KTX is that its really easy to use. If you travel outside of peak days then you should have no trouble just show up at the station, buy your tickets and travel with the train. Worked like a charm for me landing at Incheon early, taking the Arex to Seoul station and just buy tickets. Grabbed a quick lunch and went to Busan. The train will depart at its scheduled time and it will be at the terminal stations 30 min before departure. Its the best way to get between major cities in Korea.I used the KTX for a round trip to Busan from Seoul.I thought I should go with first class to busan and back since Im on vacation and not on a budget. The train was easy to find and you just board the car and all is good for a relaxing ride to Busan... or that was what I thought.Its when you enter the train you realize that the standard on this train is sub par even on first class. The first class car was very shabby. the seats where torn and I found stains on them. Well some wear and tear should be expected but this was a bit too much when traveling on first class. When the train departed it was more or less full and thats when I saw the second drawback with first class on KTX. It started to feel like a commuter trains. People where walking back and forth all the time and others where switching seat after each station. There were also people standing in the area between cars blocking passage to toilette etc. Back from Busan to Seoul it was even worse and I had people standing right next to me in the first class car between some stations.I assume those were standing ticket passenger but why are they allowed into first class cars? Basically I bought first class tickets and it felt like I was riding a glorified subway train. The Arex Express trains turned out to be better than the KTX first class and the KTX is nothing even close to the Shinkansen.If you travel with the KTX dont bother with First class since you pay extra only to get a wider seat and a free bottle of water (which you cant get to because of people blocking the passage). Dont expect a calm and relaxing trip and prepare to have people walking by you constantly. Basically hope for window seat, put on some really good ANC headsets, try to ignore all the fuzz going on around you and pray you dont have to use the toilette."
Very good ,We used the KTX a couple of times and in overall very satisfied with it. Be aware that if you try to get a last minute tickets you might not find it on rush hour. 
Best way to and fro airport and city,"If you're travelling with family with kids and luggages, this is the best option for you. It's fast, cheaper than taxi and easy. If you took Korean Air airline then you will get additional discount. Kids below 3 ride for free but they won't get a seat. KTX brings you from airport to Seoul Station which is 5 mins taxi away from Myeongdong. "
Easy and smooth,"Trains were on time and comfortable. We had friends who ordered our tickets so I can't say anything on that process, but finding the train and the everything was very simple."
Smooth ride to Busan,"We took the KTX from Seoul to Busan , inside is clean and comfortable and we are given some refreshment on board have really enjoy our 2.5 hour trip "
Best experience,"KTX is one of the best train services in the world. They are punctual (not as good as Japenese), very comfortable, and very fast! I travelled in this train thrice from and to Seoul. Even when the train goest at 300 km/h, one will never notice the speed or jerk. It's very smooth. They do announce the stations in English so the tourists won't miss it. Travelling on this train is a must while in South Korea."
Touring South Korea ,"We took the KTX bullet Train from Seoul to Gyeongiu ( 2 hour trip),where stayed for a day. We also took the train from Busan back to Seoul ( 2 and one half hour trip). Tickets and and picks were arranged by our travel agent Kate DeLosso. Tickets seemed to cost about 49-59,000 WON each. We were a little concerned about communication once we were dropped off at the outbound station, but this was unfounded because the information desk was quite helpful and signs for the trains and tracks were clearly marked in English. There were elevators/steps/escalators to get to the tracks. We had to use the elevator because of our suitcases. The trains were on time on both occasions. I loved that seats were assigned. Trains were clean. There were a group school kids in our train car, going on field trips, on our first train. They were the friendliest group of kids I have met, trying to engage us in small talks. Great way to move from city to city in South Korea. My only hang up was lugging the suitcase and bag. It was a good experience (unlike our bullet train ride from London to Paris and back, broke down twice, and no apologies). I would recommend the KTX train if you plan to visit these cities. "
Excellent way to get around the ROK,"On my last visit I was able to take a day to visit friends in Gwangju, in South Jeolla Province. Because I had limited time, I took the Express train rather than the local. The cost was somewhat more; but it was still affordable; and the time element was much more advantageous than it would have been with the slower train. The train itself was comfortable and on time. It is equipped with wifi, though it took me a bit to figure out how to get connected. (It helps if you ask the conductor for help rather than trying to figure it out for yourself - unless you're more experienced than I.) In any case, the train both ways was on time, and I enjoyed seeing the Korean countryside on the trip."
Train to Busan,"Everything was clean, fast and reliable. wonderful service, but I noticed some coldness toward foreigners. We took the KTX from Seoul to Busan and back. There were no zombies, though. My youngest was still scared because the train looked just like the one in the movie. Hardly saw any attendant, but the ride was so short, it didn't matter. However, if you needed something right away it might be a problem. There were no food options on board. but lots of shops at both Seoul and Busan stations. We felt very comfy staying at the stations shopping and eating while waiting for the train. We got 2 day flex group saver korail pass and saved some money, though only a few dollars, the lady at the service counter explained."
fast and reliable,It is a very convenient ride going to tourist attractions around Seoul. It saves us time and energy.
Great way to travel,"We chose to travel by high speed rail from Busan to Seoul and it turned out to be a great idea. Our hotel in Busan was just next door to the station so it was very convenient. The train station is tidy and offer breakfast choices. The train is also comfortable, clean, fast and on time. "
One of the most efficient in the world,"This is one of the most efficient high speed train systems in the world. It is fast, clean and comfortable. It is better than air travel since it takes you from downtown to downtown, so you can avoid traffic congestion especially during rush hours. From KTX stations, you can easily make connections to subway or taxi. The Seoul Metro is probably the most efficient subways in the world. For long-haul take Metro, and for short-haul take taxi. Credit cards are commonly accepted in taxi, and the fare is cheap."
"It is very handy,and we enjoy travelling by KTX","we travelled from Seoul to Busan in South Korea a distance of 326 km It took 2:30h.It is beter than trvelling by air,and cheaper , very comfortable so we strongly recomend using the KTX in S.K"
The best way to travel in Korea,"Fast, efficient, clean, cheap, courteous staff, clear signage, good connections to the metro in Seoul. Compared to the dreadful traffic queues of travel by road this is definitely the way to travel around Korea."
Efficent and clean,"We took KTX from incheon airport to Seoul station to Busan. It was on a Monday. I read that we can go directly from incheon airport to Busan but that wasn't true. We had to buy a ticket to Seoul Station first. They have discounts if you traveled with one of the Korean air carriers at the kiosks. Kiosks are easy to navigate in English. Or They also have a special at the desk, three people for 24000 won. At Seoul station, you have to go up to the second floor and buy tickets at the kiosks. The desk lines are slow. The train tracks area are easily marked with numbers. The tickets have a cabin number and seat number on it. They can be strict about it if you aren't in the correct cabin. There is a bathroom on the train and luggage storage. They do random ticket check on boardIncheon airport to Seoul station takes about 35 minutes. Then We bought the fastest to Busan, 2.5 hours. ~59800 won each. No discount I believe. "
best form of transit ever,"great little shops at the station supply lunch or snacks - very good onesThe train is very comfortable and gets you clear across the country in a couple of hours (the express). The train celebrates its inherited notoriety, Train to Busan, the zombie movie. Many public service announcements come with a reference."
Fast and comfortable,We took the Busan-Seoul route. It was a very quick and comfortable ride. The seats are comfortable and the train is very clean. 
"Fast, clean, comfortable","I used the KXT to go from Daegu to Seoul and, although it is more expensive than the train or bus, it is so much more comfortable that it is worth the extra price. It is also much faster, making it more convenient especially if you are going to the airport. The train terminal connects with the airport through both an express train or one that makes more stops. Take the express train! There is also a place in the terminal to store your bags for a reasonable fee if you are going to spend some time in Seoul before leaving. "
Trip to Gyeongju,So easy to book and use. The stations are easy to navigate and the actual train ride was a pleasure...book 1st class it is worth the (little) extra. 
Love this train for visits to Busan,"Fast, clean and very comfortable. The KTX is the best way to get from Seoul to Busan. We've also taken it to the Shin Gyeongju station as well."
Excellent service from Seoul Station to Busan and back,"I have traveled on trains in many countries on various vacations but I feel KTX provided the best service so far. I traveled from Seoul station to Busan and back and thoroughly enjoyed the trip without any hassles or issues. We had bought our tickets a month in advance and when we arrived at Seoul station, we lined up at the ticket counter to get the seat numbers. The line moved very fast so we had plenty of time to do some window shopping prior to boarding the train. Boarding was very easy as the ticket tells you the cabin number and the seats. The inside was very clean and seats very comfortable. What I loved was the quiet atmosphere in the cabin. Our train left the station on time and arrived at our location not a minute later than what the timetable predicted. Our return from Busan to Seoul was equally great. Hats off to KTX!"
Fast and comfortable,The price isn't cheap but it takes you where you need in a fast and comfortable way. Large seats. Respect timetable.
"Super Fast, Clean, Efficient - but very little English anywhere",On schedule and bullet fast. Super clean yet it is very difficult to find a garbage can. Make sure to download your subway maps from KakaoMap as this is very helpful and you will be able to see your location offline even without wifi. There is fast free wifi at the station. 
Fast & Efficient,A very fast and efficient way of travelling between cities. The KTX travels at upto 270km/hr. Tickets can be pre-booked online or can be purchased on the day. All tickets come with a seat reservation. All services run to time and are very comfortable.
Convenient,"Took the KTX from Seoul to Busan. It took about 2 hours to get to Busan from Seoul. Overall the journey was very pleasant and the car was pretty clean. Buying the ticket is also really easy, you can either purchase the ticket through the box office or a machine."
Easy to ride and convenient,"If you're are traveling the neighborhoods of Seoul you have to ride the KTX. It's the easiest way to get around the city, as well as inexpensive compared to taxis. The train ticketing system is easy to follow, and each stop and car was very clean. Signs in the train help you navigate to your destination."
"Smooth, fast, clean","Theres no other way to travel to other cities far than by using KTX. Bus is so 1990s. Train is so smooth you dont even realize your on a train. Just like the Japanese bullet train, any destination that requires travel by car or bus, time can be reduced by half or more. "
KTX,"The KTX is a fantastic train, very comfortable and punctual. I have traveled in 1st class and economy class and would definitely recommend this train"
KTX (Korea's bullet train),"Very efficient way to travel through Korea ,fast and very punctual.Very fast loading of passengers."
Very convenient and speedy,It's really convenient to travel from Seoul to Busan by KTX. It's a rapid train. There are storage for luggages. The toilet was clean.
