review_title,review_body
Great Statue Of The Admiral Who They Say Was As Good As Nelson,"Admiral Yi Sun-Yin was a famous Korean Admiral, the inventor of the Turtle Ships and famous for his battles and beating the Japanese during the Imjin Wars. He lived from 1545 until 1598 and died of a gun shot wound in battle.His impressive large statue stands in Gwanghuaman Square and worth a look. Yi Sun-Sin improved on the Turtle Ships that had eleven cannons on each side, two each in the bow and stern and spikes on the roof to avoid being boarded.Some historians have put him alongside Horatio Nelson as a a ship-lover leader but that may be pushing it. Better than Horatio!.Nice Statue but not as nice as the column in London."
One of two,One of the two statues in this square. The square and statues can be found right infront of the palace. Good for some quick photos.
Respected admiral,This statue is to honour a famous and respected admiral best known for his military achievements during the Imjin War. There is also a small underground museum in memory of the Admiral. In front of the statue there is a water fountain called 23.12 representing the 23 wars the Admiral won with 12 warships.
Beautiful!!,"I saw this when I was walking around Seoul. Very enjoyed reading about the history of Admiral Yi Sun-Sin. Go here if you want to learn about him, and why he is important."
The War Hero,"Considered as a War hero, the 6.5 meters bronze statue of Admiral Yi Sun-sin is situated in the G Square which is in front of the G-Palace. The statue shows the Admiral in a standing posture, holding a sword in his right hand the face depicting the determination of a soldier.Near the statue there is a miniature turtle ship representing the war vessel which the Admiral supposed to have commanded during the war. There is also a small museum in the memory of the Admiral.Also in front of the statue there is a water fountain called 23.12 representing the 23 wars the Admiral won with 12 warships."
Amazing Admiral,"I had never heard of this famous 16th-century Korean admiral until I visited Gwanghwamum Plaza, where his bronze statue anchors its southern end. But now I know that Admiral Yi Sun-Sin has a fascinating background, including incredible military achievements during the Imjin War (1592-96) when he defended Korea against Japanese invaders. Yi Sun-Sin invented the ironclad ""turtle"" ship. It was so successful that it took only a few to win a battle with hundreds of the enemy's traditional ships.Sculptor Kim Se-jung's 1968 work depicts the war hero standing in armor, with a massive sword in the right hand. A miniature replica of the turtle ship appears just below the statue. The bronze and its high pedestal rise about 56 feet above the plaza. The 12:23 fountain nearby received its name from the 23 battles the admiral fought with 12 ships. It was not operating during my day visit in October, but I saw it in action with colored lights, passing by in a bus one night.As a history buff, I enjoyed the small museum under the plaza devoted to Admiral Yi Sun-Sin and King Sejong."
Impressive statue with fountains,This is an impressive statue located in the centre of the city and the great thing about it is that there is a museum underground here where you can also learn so much about Korean history. The statue is very close to the statue of Sejong the Great and also walking distance to Gyeongbokgung Palace.Another great feature here is the water fountain in the evening time. The fountain is lit up and changes colour all the time and here you will always find kids playing in the fountain. My own young kids insisted to come here several times.
Great pose of a great seafaring Admiral,"I just liked the pose of Admiral Yi Sun- Sin as he appears as this bronze statue on Gwanghwamun Square in Seoul. As a hero from the sixteenth century, he is celebrated for his triumphs against the invading Japanese."
Admiral Yi Sun-Sin means a lot to Koreans,"It is a small statute which you'll automatically pass by when visiting the Gwanghwamun district. There's a year-long protest going on nearby the statute, so make sure you do not offend people there by taking photos like tourists. There's always somekind of protest going on around the statute, which will rarely be a probblem for you, but still, be cautious."
The museum under the statue is worth seeing,It is recommended to start your Seoul trip here along with the statue of King Sejong the Great and then walk to the main palace. There is a nice and free museum under the two statues that tells you about these two great Korean men. The part about Admiral Yi Sun-Sin details great navel battles and shows how he saved Korea from the Japanese invasion overcoming great odds due to strategy and better ship designs. A true David and Goliath story.
