review_title,review_body
"Great way to visit the city, cash only","My husband and I were in Seoul only for a day and figured we would go around the city with the subway which was 2 blocks from our hotel. Very clean, efficient and easy to get around. The only negative comment is that we could not buy tickets with a credit card so we had to get out of the station and find an ATM to get cash. Since our next stops on this trip were in countries with a different currency, we were hoping we would not have to convert money to Wons and use our credit card only."
Most convenient way,"Seoul metro was too good.It connected each and every area.Just carry a metro map along with you for checking out stations,transit,exits.We were there for 4days and used metro to the fullest.we used taxi only thrice that too for nearby places.Everybody is ready to help you even there is a language barrier.Just show them the place on map,they would help you out.This is the best ever public connectivity services I have ever seen.Have an happy stay at Seoul.For 4 days,we topup the card with ₩30,000 and this was sufficient."
Seoul Metro super Nice,I had got a few times chances to take the Seoul Metro while I travel in Korea. It was so cool. I am sure that Seoul Metro ranked Top 1 around the world.
Easy-peasy ,"The Seoul metro is a sparkling clean, economical and very easy to navigate! it can be a bit crowded at rush hour, but the riders are quiet & respectful of fellow rider’s space."
Efficient clean and modern,Don’t hesitate to use the subway even you don’t speak Korean a it’s written in English as well and very user friendly! 
Underground in the Underground,"The Subway or Metro to the Museum is well organized. In the hotel they explained me how it works and prepared with this information I bought a ticket and went into Korea underground. Stations are indicated in Korean and English so it helps otherwise Korean people are very open and friendly to show you the way . Do not throw your ticket away because at the end you get a refund of € 0,50 , very sustainable."
Best and safe mode of transport,"The metro in Seoul is really great value for money. It is convenient with stations close to most attractions and shopping areas. And it is fast and punctual! I downloaded an app called Naver Map, which gives you details to plan your route in advance. Use it and I promise you will not get lost."
Easy to navigate,"Clean, efficient, inexpensive and easy to get around using the Metro. Signage, verbal notices ( in English) make it easy. Don’t forget to turn your ticket back in after the trip to get your deposit back."
So cool,It was so cool honestly all i need to do is learn hangul and ill be a pro...but it is so cheap and so easy to use...but you have to be fast pace you dont want to miss your train.
First class subway,Nothing too spectacular...not like the subway stations in Moscow but an efficient subway system that covers so much of the city. Easy to navigate and a cheap way to get around!
Most efficient metro on earth?,"The lines are well though out, sufficient amount of cars, and very quick between trains. They are rarely over capacity crowded, but almost always standing room only. Cheap, efficient, clean, great metro. "
User Friendly ,The subway is extremely easy to use and the local people are always willing to help if you are confused. I used the subway to visit my brother-in-law in Osan and to get to the airport. I highly recommend anyone visiting Seoul to use the Metro during your stay. 
Outstanding City Connect Service!,"Buya card, recharge to at any Seven-Eleven outlet and you are good to tour the city without any hassle of bus or taxi!! Almost any corner of Seoul city can be reached by this service. Very comfortable!"
"Great metro system, best I ha e experienced globally, clean, informative and punctual, no issues for non Korean speakers","I’d advise all visitors to use the metro to get around, it’s inexpensive, clean, musical, and we’ll sign posted to all locations, buy yourself a plastic tmoney or another card and top it up at any party station with notes, even easy to do in Korean but it does provide English too. Many stations are well equipped with clean toilets, shops, shoe repair and cash machines. No one eats our drinks on the metro trains. People are generally quiet during the journeys. Plenty of lifts for people to use. Many stations do start to close from 23:00 on wards so download the app for the metro as you can put the times off your trips in the app. Lots of free WiFi too. "
Brilliant ,Get a Tmoney card and this is so easy to use you just top your card up every now and then but it's so cheap you won't have to often. It's so clean and quiet and on time. Theres also shops and food venders down there as well so worth a look round 
Best metro system I've ever used ,"I've used metro systems in several cities but this one takes the cake. Connectivity is excellent and station density depends on the population density around the station so in the heart of Seoul you're never more than a ten minute walk from a station. I found that I could get almost anywhere in the city with a maximum of one train change. Trains are frequent and maps and directions are very easy to understand, even for foreign visitors. The only downside is that the last trains are around midnight and even earlier on weekends. "
You Can Get Anywhere With this Metro for Cheap,"I’ve been completely lost not knowing what to do and some nice Koreans who spoke perfect English have helped me before. They even shared their WIFI hotspot with me so I could contact my work. They have an app that is very useful too. Other metros should come here and copy this system. Korean people are very well mannered, but they may be annoyed with you if you are loud like me."
"Clean, frequent but busy","Like any major city, the subway is hectic. But in Seoul, we always felt safe, and most stops are quite clean & modern."
Very Extensive,"Such an organized subway system. Usually on time, I love the safety measures they have in place so that people don't jump off the track (something that happens very often in Toronto). The underground system is also very extensive, you can go shopping along the walkway before going down to the platform at many stations. Absolutely incredible! Make sure you know the right exits at most stations since you can have more that 5 exits at many stations."
"Only CASH, otherwise a bargain !","Very easy to use. Take the metro from airport to the city, very fast , within an hour 42 km to Seoul Central station for only 7,5€Ticketing machines easy with excellent english do it yourself for dummies like me.In case of questions , everybody wants to help you, sometimes excellent English , sometimes broken , but easy to do. Very very clean and excellent maintained.Buses are also convenient, in the metro reserved places for pregnant ladies.So going to Seoul, use the metro."
Very good,Very good experience. English signs and clear information. Nothing to be worried as an foreigner. Also cheap.
Excellent system - but bring cash!,"It's a very modern world-class transit system, as many other reviewers have noted.A couple observations:- The ticket machines don't accept cards. Bring cash! (cards are accepted pretty much everywhere in Korea, so this was a surprise)- Often no staff at each entrance/exit, so potentially nobody to help you if there are issues Note, the Korean metro systems seem accessible with one pass. This may be helpful for people used to Japan where lines are run by numerous different companies across the country with their own passes and fares that may or may not inter-operate (even within one city)."
Great metro lines,Timely accurate and fast to get you where you're going. Sometimes that journy can take a significant amount of time as the city is so large.
Easy way to get around in Seoul,A tourist metro card works on buses and subway. The Naver map app tells you exactly what bus or subway to take to get to your destination. You sometimes have to put the destination in in Korean (copy paste from Google search).
Best metro system in the world!,"Seoul has the best metro/bus system I've ever used. Make sure to buy a pop card before hand! Also, Naver maps is a great app to use and is English friendly (which some apps are not)."
Fairly easy to use,"I no longer live near large cities with subway systems, so it took a beat to get used to this vast subway system. Fortunately there are apps available to help you navigate with relative ease. Plastic transit cards are available for purchase and it's easy to replenish. There are lots of stairs everywhere, elevators not so much, but they are available. Signs do have English subtitles, but we did find ourselves on platforms going in the opposite direction from what we wanted. We didn't see many attendants, but asked college-age people (who spoke English) for assistance when needed. "
Convenient,There are so many lines in Seoul and basically it covers most of the places which tourists most probably visit.
Get Kakao Metro too,"The metro out here is so reliable and cheap. Using the Kakao Metro app made it so easy to navigate Seoul. I went to Bukhansan, Lotte Mall/Aquarium, and the War Museum using the metro. This paired with the Navar App and you will almost always be able to get around without getting lost. "
Convenient way to go from A to B,Cheap and easy to use. Whit T-money card you can use the subway without thinking about the right fare and spending time at the ticket machine. Just go through and scan the card entering and leaving.
"Very convenient, reliable and extensive","When I visited Seoul I always took subway if I could. It is fast, reliable and can reach most places. You may need to transfer between different lines. I recommend using KOREA TOUR CARD or tMoney card. You can easily recharge the card at any subway station using vendor machines. But you have to use cash to charge the card."
Easy,"We bought T-money cards at the airport which we could then use on the AREX all-stop train into Seould and on the whole of the subway system (just like an Oyster card in London).We found it very easy to find our way around the network, although there were very long walks in some stations to change lines, and it was very cheap (about £5 per day)."
Excellent and easy to use,The subwAy is inexpensive and easy to use. All of the lines are color coded and all signs are in English. We took it everywhere in the downtown. Best way to beat rush hour traffic. Costs 1400 for a basic ticket.
Week long holiday in Seoul with daughter.,"Very efficient transport system. Bought T-money card from shop in airport and loaded card at one of numerous machines available in all the stations . Clear and simple instructions can be selected in English. First journey was from Incheon airport to Jongno-gu district but we used the subway many times throughout the course of our weeks stay. Very easy to navigate and lots of information available in all the stations regarding destinations and which line to take. Machines are also available to refund money still left on card before leaving Korea. Can be used for various forms of transport and even noticed a swipe pad in our airport taxi on our way back to Incheon. Very impressed with the service and noticed how clean the stations, platforms and trains were. Also very cheap to use."
Very quick and on time , Wry efficient service with regular trains that run on time. You can get everywhere in the city by the train!
Most convenient way of transport in the city,Easy and efficient mode of transport. Colour coded and signs in English . Huge and not many escalators in most stations. 
Very efficient!,"The Metro system in Seoul is very convenient and easy understand. Get a T-Money card, fill it up with money, and you are set.A great and affordable way to explore Seoul."
So easy to use,"Once you download the Metro App you are all set. The announcements and signage are in both Korean and English. Rather than having to follow each line to the end to find out which way the train is heading, it tells you above the platform door. Seoul is confusing to navigate. The Metro makes it so much easier."
Excellent transport system ,Very easy to use- make sure you buy a rechargeable T money card in a convenience store or at any station (cash only) 
Fantastically easy way to get around this huge city,"Get a T-money card, load up some credit on it and off you go! Seoul is huge and the metro system must be one of the biggest in the world. It is really the only sensible way to get around the city. Just remember which entrance you need to get back to your hotel!"
