review_title,review_body
fun-filled activity,"I really enjoyed this activity, a good way to break away from urban living and experience a different kind of activity. Each tunnel has different attractions that you can look forward too, everytime you pass the tunnel."
For a fun filled adventure ,"We visited Gangchon Rail Park as it was part of our tour package that we bought on Klook. Went by tour as we were unsure on how to get here by public transport as I googled it and it looked pretty complicated. Even though it was sunny when we went, it was still cold about 0 degrees, and even though you will be doing most of the cycling, please ensure that you are warm enough as it can be quite windy when you are cycling through the tunnels. 10/10 for the amazing views while cycling and would recommend renting the VR goggles for the last tunnel. After the ride, you will have to take a train back. The train is called a “Romantic Train” although nothing romantic about squeezing in the indoor train cabin. It was probably because it was too cold to be in the outdoor cabin. "
Funny experience!,"It’s far away from town, we joined a local tour that included the transportation. The scenery is spectacular all the way, even in tunnels , there’re decorations! "
Chasing the sunset with our rail bikes,Booked the last slot at 530pm which was great because we could catch the beautiful sunset as we cycled past the route. Passed through various music themed tunnels from classic to romantic to dance pop which livened up the 40 mins route before we took the mega red train back. Easy activity even for the not so fit as you don’t actually have to cycle a lot. There is a engine that helps to keep it moving most of the time. 
New experience out of seoul,Was part of nami island tour package. We took 2 seater and went in oct. Remember to wear thick jacket and go to the toilet before the ride as the weather is quite cold during late noon time. Will recommand this for couple and familyAnyone know what is the song name in the light tunnel?
Fun experience!,This place is part of the itinerary for our day tour after Nami Island. The ride was pretty easy as most of it was downhill. The scenery was beautiful and passed through themed tunnels.
Probably the highlight of my while Korean trip!,The ride was easy and the view was wonderful. Whole experience was awesome and really enjoyed the whole tour with my family
"Pretty view , amazing experience. ",Good weather in september 18th... we took 4 seater bike... pretty view .. you must try this... in finish line you can buy your photo including frame for 10.000 won... 
Very fun activity with friends,"It was a fun activity and a new experience to bike along an abandoned railway, such a good use. The bikes were comfortable and the views were stunning, and the tunnels were very nice to see as well. It was a bit of a workout especially on the uphill climbs but it was not too bad, very manageable. Recommended for group of friends and families but not if you’re traveling with little children or seniors, as you might have to pedal for them, and it was not a quick ride. "
"Fun, relaxing with a bit of exercise.","This place always gets crowded with visitors so it recommended to book ahead or be early in this attraction. We got this ride as a part of our tour package (on sale via airasia activities and Ktourstory).The Rail bike runs on an old rail tracks in the area. The seating capacity is 4 so if you are only 1 or 2, you may be sharing the ride to other guests.There is a photospot before the entrance to the tunnel, make sure you spot it and smile at the camera to be able to get a good souvenir picture at the end of the trail. Purchasing the souvenir picture is optional but the photo quality is good tho.The tunnels are decorated with bubbles, stars and lights for enjoyment.The whole area is so scenic with the river and the vegetation, it really does make you feel relaxing in a rural country side of Korea.And make sure you don't run too fast or too slow since there are other bikes ahead or following you.We just loved the place, even the small waterfalls at the resting area and the train ride going to the exit. Loved this trip.BTW, recommended for all ages."
Great family activity. Fun with great scenery and exercise to boot,"Gangchon rail park is basically riding 2 seater or 4 seater rail cars by pedal power along an approximately 20-minute ride along a scenic route along the upper tributary of the Han river.The route is nice and scenic, can be very peaceful.You also go through 3 tunnels which are specially setup with lights, music to add a little spice and interest along the way (with VR on the last tunnel)Kids loved the trip and lots of scenic countryside picture opportunities (you cannot get off the bike in the middle).The park runs in intervals so you book for a specific time and a whole bunch of (individual) cars run in that group, so you will likely have a car in front and behind you.There is also a picture taking near the start of the run which is similar to other theme park rides which takes a picture and at the end of the run, there is a stall which shows the picture and lets us purchase a copy in a frame (remember to smile)At the end of the run, there is another train which will take you to the final destination P.S. At the start of the rail park there is a mini Zip Line activity which is suitable for small kids, not too expensive (10,000 Won for 2 trips - there and back), something the kids loved too."
Great scenery but rather short,"We started early in the morning on a 4 seater. It was a good day out in the open, fresh air and great scenery. There where 5 tunnels each with its own theme. The last one was the one with the VR. The kids had the VR - think can do without. Mostly downslope but getting stuck behind slower carts is a bit of a pain. Found it too short. "
Fun Ride on old rail way tracks,"Before your ride, I recommend trying the restaurants just outside entrance of the rail park . They serve a very sumptuous chicken dish. We encountered a large crowd queuing at the entrance of the ride. But once we started we had a good time.It's a fun experience pedalling over old rail way lines. The ride brings you pass small farms with vegetable plots, the rail way lines follows the banks of a scenic river. There were 3 tunnels. Going into the tunnels were fun, it's like going into a disco with loud music, flashing lights and bubbles blowing at you. Generally it was a easy ride with down slopes and flat runs most of the way. "
Country Rail Park Fun,"Bicycle pedaled carts on rails?! Up to 4 people in a cart which is pedal-powered by its riders. Most of the trek was either down hill or level through the beautiful country-side. Pedal through 2 or 3 dark tunnels, each uniquely themed with lights or bubbles.Although, located 1 1/2 hours from Seoul, I’d recommend this activity. "
