review_title,review_body
Nice for a stroll,I walked up the steps from China Town through the old Japanese Concession.Jayu Park is nicely laid out.The paths lead upwards to the Statue of General MacArthur and the observation area overlooking the port.There is an ice cream kiosk to help you cool down!
Awesome ,Awesome place beautiful stunning place. Nice place to visit.Nice to stroll through lovely large park
Worth a visit,"In the park itself you will see a statue of General Douglas MacArthur. When we visited on a Thursday afternoon in winter, the place was fairly empty but there were visitors every now and then. However, the trees were beautiful as the leaves changed colours during winter. This place is worth a visit if you are in the Chinatown area in incheon. It’s about a 10-15 minute stroll from Chinatown on a uphill climb."
Nothing much too see,"Nothing much inside, good for strolling after meals and taking photos. Can see the locals walking their dogs and elderly playing chess with their friends in the park. "
"Jayu Park, also known as McArthur Park","Beautiful large park honoring General McArthur. Walked from the train station, through Chinatown, to reach this park. There are steep stairs on one side, but accessible with fewer steps on another side of the park."
"up the hill, wear sneakers","jayu means freadom, i would not surprise it was named jayu because the park seems a landmark about korean history, there was a monument up there, and on the way down from the park, there was a mural about korean history. it was a quiet place, and beautiful scenery."
for a short break a good park,"I like the place, actually the park is a historically significant than the views and facilities it offers. However you can reach here easily from China town. Good for a after lunch walk. You can see the Incheon port view. Summer days can be very hot but there are lots of benches and shades available for the rest. "
Beautiful park!,"The flowers, history and many walkways make this a park to definitely be on your list of things to do. Easy to get to."
Great place to walk around!,"Great place to visit while in Incheon! The park was bigger than i thought and contained beautiful architecture as well as information on why they are important. Highly recommend visiting if you need to get away from Seoul for a bit and enjoy a more ""country"" side."
Good quiet park on the hill,"This is a pretty nice park on the hill.It has a great view with just a few people.There are a decent pavilion lookout, the statue of Douglas MacArthur and the structure to memorize ROK-US relationship.By the way, locating on the hill, I think old people with 70+ years old will have some difficulties to climb up."
Pretty Cool Park,"Came here while briefly in Korea. It is a great place to stop by while in the area, but I probably wouldn't take a trip here only for this. Check out some of the surrounding attractions as well. "
Quiet and Relaxing Park,"We took a taxi to this park on a rainy day. We had just visited the Incheon War Memorial and were particularly interested in viewing the statue of Geeral MacArthur. We were glad to have taken the decision to travel by taxi, as the entrance to the park is up a steep slope, and we had heavy backpacks, so wished to avoid the difficult trek. Other options to reach the park, are by train to Incheon Station or by bus. Both options require an uphill walk to the park.The park is beautifully maintained with many trees and flowers, and quite a few sitting areas. There is a small shop nearby where refreshments may be purchased. The statue of General MacArthur provides a good photo op, and there is a small sailor monument to the right of the entrance to the MacArthur Statue, which is a replica of the life sized Lone Sailor monument in San Fransisco at Vista Point. A few minutes walk away on a grey tiled path opposite the MacArthur Statue is the Korean American Centennial monument. This monument represents 100 years of trade between America and Korea. It's centerpiece is two links of a chain, and this is surrounded by five triangular shaped columns pointing to the sky.We had visited Ganghwa Island in Incheon the previous year, which was the site of the 1871 war between Korea and America. it should be noted that the Koreans refused to sign the trade treaty with the Americans until 11 years later in 1882, This monument celebrates 100 years of trade and friendship since the signing of the trade and peace agreement in 1882.There are a few other monuments and decorative structures in the park which may be seen during a walk through. I would recommend strolling downhill after visiting the Park, as the path leads to the Confucious Statue which is the upper entry of China Town. The subway and bus station are a short walk from China Town."
Freedom Park in Incheon Chinatown: A Beautiful and Memorable Park with General McArthur Statue,"Freedom Park adjacent to Incheon Chinatown is an added powerful attraction to this area. The park was especially beautiful with flowers and trees during my visit in late April. In addition to the beautiful landscape and the view of Incheon harbor, the park also has Statue of General McArthur with a metal plate depicting the Incheon Landing which dramatically turned the tide of the battles around during Korean War. The park also has The Korea - U.S.A. Centennial Monument.The harbor and the sea beyond are now peaceful. But you can imagine the dramatic scenes of landing ships and troops wading through the water facing fierce fire power of North Korean defenders!!You can visit this beautiful and memorable park by 1-hour metro ride (Line # 1) from Seoul at nominal metro fare.You can combine this park visit with walking tour of colorful and exotic Incheon Chinatown and delicious Chinese foods at reasonable prices. I would highly recommend visiting Freedom Park along with Incheon Chinatown.[Details on how to get to Incheon Chinatown are shown in my separate posting at TripAdvisor site]"
Lovely place in spring,"I visited on 27th of April and trees were in fool blossom, so it was very pretty, pink color everywhere :)Lots of nice places to sit, nice pathways to walk and mural village is just around the corner."
Nice little park with beautiful spring blossoms,"About an hour away from central Seoul (via subway), this park is ideal for people like me who prefer less crowded places to explore. I have not seen too many overseas foreigners here, mostly local tourists. "
Lovely Stroll,Freedom Park is great for a stroll and well worth doing but there is not enough information depicting why the park was established and any history associated with it. Other than that it's quiet a beautiful spot. 
BEAUTIFUL Park ,This park is soo peaceful and the sculptures are wonderful. The people so friendly the gardens and flower displays are beautiful 
Beautiful Park,Thus us peaceful with lovely gardens Gym area. Lots of historical statues and such lovely friendly people. Steep to climb up all the steps but we'll worth it. China town is amazing with all the lovely shops. 
Incheon Family trip ,"We specifically chose to see the place though a bit far from our hotel near city hall of Incheon. Nonetheless, we were very happy to have seen the unset from the top of this hilly park! Lots of memories from the past where you'll find statue of Gen MacArthur and some post war memorial. Footpaths are well placed that leads to some interesting points where pavilions and seat walls and benches are carefully placed. We went there during the winter and it was very cold indeed but we enjoyed taking photos and selfies together. I'm trying to imagine how beautiful the place would have been if it was autumn where most trees would turn into gold color. It's a good place to hike or jog with its uphill and downhill paths while enjoying the beauty of nature! It was almost dark when we left and had a good memories of this lovely place! The park is near Chinatown and reachable by subway train from Incheon subway station. "
Best park,"Jayu park is located somehow within Liberty park, but it's truly the best part with tons of flowers (on season) and offering a wonderful view over the city and the sea!"
Nice park in Incheon,Super enjoyable park near chinatown. My favorite part is the small plaza with the rose garden! A small canal of water is located on a good part of this place.Just stroll around and relax!
Park on the Hill near Chinatown (Incheon City),Nice and beautiful park near Chinatown Area. You can see the top view of the Incheon harbor and some parts of Wolmido. 
The breathtaking park,"It's located in East Incheon near the China Town. There are many paths for talking a walk or jogging and the Korean - USA centennial Monument, the status of MacArthur. You can see the ocean view, wolmido island & partial of city view from the statue of MacArthur Square. It's a great park that you need to visit in incheon!"
