review_title,review_body
Our Best Visit in Jeju,"We had a wonderful time, enjoying the beautiful rock formations. Great place to take pretty photos. The climb down on the rocky rocks can be a challenge but the reward is well worth it. Some ahjumas are selling their catch of fresh seafood too. Place may be closed if it is high tide."
A must see.,"If you are on the west end of the island you should definitely see this wonderful place. And, if you are lucky enough to see a few 'women divers' selling their fresh seafood (and you have a stomach for unusual and raw seafood) you should try this unusual treat. They will also sell you a shot of Suju if you need it!"
Beautiful Natural Stone,Visited on 19th October 2019.Check before departing because it's often close due to high tide.Unforgettable experience there with stunning spot to take photo.A must visit. Enjoy!!
Coastal geography lesson come alive ,"Pretty interesting coastal erosion processes and fantastic landforms. This is a relatively easy short walk along the coast. Be careful, however, if you're bringing kids or elderly person - the rock trail can get rather slippery and some parts will see you getting very close to the sea and waves. "
Closed in strong winds,Great scenic spot with narrow shelf or rock at the base of cliffs which were part of an old volcano. We visited on a day of high wind and rough seas and the site was closed as the path was too dangerous. was able to visit the climate exhibition centre and see the model of the Dutch Ship De Sperwer wrecked hundreds of years ago. Also took the walk up the hill to the beacon tower.
It's an instagrammable place that won't disappoint you,"It's a beautiful place for you to admire the view and take IG photo. If you're good in photo shooting, you might be able to trick people that you're in Grand Canyon."
Wonderful rock formation,"Really enjoyed the walk around the coastal, all the rock formation is awesome. We walked around from the shipwreck and back again to the same spot. If you love nature, this place is a must."
Good for short visit,Just a dead volcano mount. Nothing special. Weather there i good for rest. Maybe good place to view sunrise
Coastal walk up close & personal,Odd yet beautiful layers of rock formation. Frequent beating of waves and wind carve a character into the coast. Including the side profile of a crying man. Perhaps our fav spot throughout our stay.
Nothing much,There was nothing much to see here and we got pretty bored almost as soon as we got there. Go elsewhere with more stuff to see/do when you're in Jeju.
The beautiful Yongmeori Coast ,We engaged a Local private driver to bring us to Yongmeori Coast. He made a call to the Relevant Authority to check the weather and tide condition. Yongmeori Coast is situated beside Mt Sanbangsan.The car park was full that day and fortunately we found one lot. Our driver guided us the walking route to the coast.He was indeed a good private tour guide!We were immense into the nature and its beauty. He skilfully captured many memories into pics for us! This trip was my most memorable part in Jeju.
