review_title,review_body
Must see ,The hike up the park alone was amazing although there are many ways to get to the base including a very scenic cable car. It was so unexpected with interactive virtual reality and light shows before you even get to a 360 spectacular view of Seoul. If you don’t do anything else do the Tower. The price wasn’t bad and using a Visa card we received a few dollars off 
Its quite a hike,We went there upon arrival so we not dat familiar with the subway and bus - we kinda took the wrong route but ended up at the entrance near the library. It is quite a hike to go up so we wud recommend you to take the shuttle bus no. 3 or 5 which wud bring you up to the tower It is true that the best view wud b at night but you wud want to be there before the sun goes down for photo purposes. We took the bus to myeongdong after our trip to namsan. 
Fantastic views,I have seen this tower so many times in dramas and couldn’t wait to see it in person. I was not disappointed. The fabulous views from the top were amazing. The locks and hearts were just as I imagined. I’m so happy I got to experience this.
Brilliant views - no need to pay to go higher,"We got off the hop on, hop off bus at this stop on a whim and had a brilliant visit here. We spent a good two hours wandering around and taking pictures of the fantastic views over the city. We didn’t bother to get tickets to go up the upper tower as the views would only have been more distant. We did however take a return trip on the Namsan Cable Car and got some good views from that. A very worthwhile visit. Unfortunately we weren't able to visit at night to see the skyline lit up but I'm sure it would have been brilliant."
Enjoyed the visit,"N Seoul Tower was on our list during our travel.Usually people recommend to go Seoul tower during evenings to watch City's neon lights.But due to time constraint,we went there in the morning.We took cab till foot of the hill.From there we chave chosen Hiking.You can also go through cable car but we captured many awesome pics during our hike.It was easy and took around 1 hour for us to reach there.We just went to foot of the tower and returned through cable car as it was difficut for my 4 yr old son to hike down.Pricing is as below₩7000/pax- 1way₩4500/child-1 way₩9500/pax-2way₩6500/child-2way"
Iconic Namsan Tower,"I visit towers in every city I travel to, so Seoul was no different. However, it took a lot of effort to get up there. The easiest way is to take the metro to Myeongdong station, walk 10-15 minutes to the Namsan Oreumi elevator to get to the cable car station. Even once you get off the cable car, there are about 100+ stairs to climb. There are separate entry tickets for the cable car and the tower. Get there before sunset, to get great day and night views of the surrounding city."
Observatory Tower with great view of Seoul,"Perched on a hill accessible only by a town bus or the cable car, this provides a great view of the city of Seoul!We went by cable car - and it was easy and fuss free. Climbing up the stairs you’d be greeted by a stall selling snacks. Try out the soup fish cakes... divine especially in cold weather. A little further up you will see the locks and love messages... there the Hawkeyed would Spy “abandoned” phone cases but these have handwritten (presumably love) notes scrawled in permanent ink... we didn’t get a chance to do this ☺️. Perhaps next round! We purposely chose to go up later in the day just to see Seoul’s night light. If you are the sort who’d like to spot landmarks, please go before sundown. Layout is very much like the observatory tower in Shanghai though! A good experience all in all! "
Great view,"We brought an infant in stroller and it was smooth to go to the tower through the cable car. However, as we had reserved ticket to the top of observation there was no way for ppl with stroller and ppl said it was repaired so the only way we had to use the stairs which was ridiculous and we had to miss the opportunity and the ticket to go to the top."
Great on a clear day.,"It was only about $10 to go to the top of the tower. You get a great view, you will see just how huge the city is. You have to check out the urinals in the Mens' room! The best standing view ever!Make sure that you take a bus up the hill. It's a long walk uphill if you don't!!"
A good afternoon out,The view from the top of the tower is spectacular. The walk down is pleasant and provides more views. Once down continue to the market
good time in the morning,"visited this place before but didn’t appreciated it much because too many people and long lines.. but this visit is so magical, 10am just about it opens, you can appreciate the place and better view, weather also cooperated, bright and clear sky even at a very cold temperature of -4C "
Loved it,Honestly loved everything about this place..N-seoul Tower is probably the most beautiful place ive been and I live in NEW ZEALAND..Seoul is my favorite country 
Exciting!!,We had a beautiful day here. You could see the whole city from the top. It has super clean restrooms too.
Great View,"The tower offered great views of Seoul, even though it was a smoggy day. Ticketing was easy and relatively inexpensive.Just a warning, we used a bus to get here, and it was a pretty steep (though short) hill to climb from the bus stop to the tower "
Great View of the City,"Great place to have a 360 view of the city. There is usually a long wait so depending on when you get there, you might have to get a ticket and you'll be told the time you can go up."
Up and away,Good place to visit.Suggest a taxi to the cable car station for a great view over Seoul.Just be aware that if you have anyone affected by flashing lights they might not want to go up the tower.Good post office selling postcards and stamps plus you can mail right away. Remember in SE Asia you have to use the glue stick provided to affix the stamp to the card!Enjoyed our visit and the views.
Expected more...,"Well, it’s a landmark and yes you should see it but I felt a bit let down as I expected more... it’s not bad, but surprisingly little things to see or do for the schlepp...."
Very beautiful in autumn!,"We took a ride till the tower. It cost 7000 won for one way and 9500 won for round way, but we had to wait about 45 min for a ride, so if you can, just walk there. The way up ist beautiful. The tower stands in the middle of the park, so you can enjoy amazing view. Sometimes there also performances and we saw one with traditional warriors of Joseon - was a surprise for us. Totally worth it!"
Sunset is best ,Make sure you get here around 5pm so you can see the sunset! I walked up here via the extensive paths around the park
"A little hokey, great views! ","We stopped here as part of a tour, so we had our own usher who guided us to the elevators. The grounds are pleasant and parts of the old city wall can be seen in various places. The light show at the elevator was a bit much. The top floor with all the windows was filled with souvenir shops. Great views of the city, however "
Nice scenery,Cool weather and very nice scenery at night at the top of the tower.There is a Japanese restaurant which serve nice and delicious foods too.
Nice scenery but tiring walking,"It is better to use cable car to go up there because walking is not suitable for OKU, old folks less exercise people. The way to reach N Seoul Tower is too deep.Unfortunately, the day i reached N Seoul Tower, the cable car is on maintenance so we need to go up and down by foot.Luckily, the weather is good and cooling. The scenery is undoubtable and very nice.One thing that need to take note is to reach the observatory floor, there is only one lift and the only way to go there. Please queue at the right floor as we experienced queueing at 2 floors but the lift isnt stop and always full. To advise, just wait at ground floor. The love locks area is full and we decided not to lock because seems no empty space to put on it.The view from top is very good, worth to pay a visit."
"Great view when taking the cable car to the top, even better view from the N Seoul Tower","Rode the cable car to the top, fun ride and such lovely view. the N Seoul Tower experience was even better, unbelievable view and a great experience. Took the seoul city tour package"
Favorite Stop in Seoul,We stopped here as part of the hop on/hop off tour so the cable car and trip to the top was included. I recommend doing all of it! The views were stunning. We travelled with a toddler and she also loved it. 
Good view of city,"Went up and down on the cable car and had the buffet dinner. Went at dusk so got to see the night lights too.My hubby likes towers so every city we go to, we go up any tall building that allows us to. Lotte tower was another good one."
Worth your time,Had a great time on a not bad day when visibility was okay. Lots of walking even with a lift to the station then cable ride to to the tower. Buy or bring couples lock and add to the collection.
Sight Seeing,"I went twice during the trip, one night trip for buffet dinner and food is not bad and view is awesome. One day trip close to sunset. Both day and night trip is awesome and I love the view and Seoul is under your leg. Do not miss this scenery."
Worth a visit and cheap ,"Very cheap to go up and worth it. We walked up (more strenuous than you think!) in about an hour, and got the cable car down. "
Excellent Views All Around ,The views from the tower were excellent on a bright sunny autumn day.... ! The elevator ride took less tha 15 seconds to the top. There is also a Hello Kitty outlet and walkabout at the lower level...
wonder view of the city,"Not far from metro, a quite place in the city. good for slow walk to the cable car to the top of the mountain. Wonderful view of the city from the view. Worth visiting and the price is reasonable."
Great for those who love the outdoors ,"This is a great place to go if you love to walk and don’t mind a little steep hike. Once you get to the top the view is amazing! They’ve got food and beverages at the top so don’t be too worried about that.. chicken and beer and coffee of course. Inside the north tower there are also restaurants however, they are very expensive. Once at the top of the north tower you get a beautiful view with clear windows that go around in a circle that also includes a candy shop and a place to write and send post cards. Interesting yet fun fact, the restrooms in the top of the north tower have glass walls! Yes , you’re read correctly! Glass walls. So you’re doing your business as you enjoy the view! On a nice day this is a fantastic place to visit. "
Pleasant landmark but know when and how to visit,"Background: get all your information from the N Seoul Tower website. Gettting there: most convenient is to catch the shuttle buses described in the website. They drive a circular route, so if you catch it at the beginning of the circle just after it has descended from Namsan Hill, it will be quite a lengthy ride of over half an hour before you get to the top of the hill. The best part is that it terminates at the base of the Tower. All other public transportation terminates at the base of the hill. Cable car: most directions will lead you to the north base of hill where the cable car is located. It will transport you up the hill to the base of the tower. It is a pleasant ride but reputedly has long lines. If you are staying in Namdaemun or Myeongdong, it is an easy 20 or 15 minute walk respectively to here.For the mountain climbers: 1. walk up the stairs adjacent to the cable car. 2. walk up the LONG road that the shuttle buses drive up. 3. search for typically unmarked nature trails that will take you up the hillAt the base of tower: splurge and get in the VIP line by having lunch at N Grill.Best time to go: avoid the teeming masses by going at midday on a weekday.So we caught a shuttle bus on a Friday, zipped up to N Grill for lunch. Enjoyed a serene and delightful lunch with a view, then took the elevator down to the observatory for the touristy stuff. A wonderful 2 to 3 hours. Thereafter walked down the steps, continued north which dropped us right into Myeondong."
Absolutely fantastic view! A must see!,"Like many other big cities, Seoul also has its own Tower, and the view from the top is fantastic. As in other places, such as the Tower Eiffel in France, you first travel to an intermediary platform about half of the height of the tower and then you take an elevator to the upper floor. There were lots of people but going up and down is very well organized. Upstairs there are shops, the same as in many other towers."
Beware of the steps,"We went up the tower and have a look at the love locks. While looking around, I failed to see a 15 cm step down which caused me to fall down. So always look down as well while you are enjoying the view!"
Tower,"Long queues and poor visibility due to the weather, a far better viewing platform can be found at Lotte World Tower."
Worth A Visit Even With Limited Time,"I took a night tour bus to here and we only had 30 minutes to take pictures at this place. I was not able to get to the top of the tower because of the time limit, however, the view I did see was fabulous. The mountain is steep and it is best to walk up it slowly if you aren't used to walking up mountains. Though I had no time to get to the top, I enjoyed the view I could see. There are many tourists on this mountain and everybody is camera and selfie happy, so you may have to wait to take photos at different sites. This was worth coming too, even if you cannot make it to the top. "
Beautiful,Can enjoy beautuful whole seoul city view!recommend for evening time . but verrryyyyy long waiting line for cable car ticket(almost one hour). 
Great views but a bit tacky,"We visited on a Sunday morning and there were pretty long queues for the cable car so took a while to get up. Queues were small to get up and down the tower though. There are great views of Seoul from the tower, but the whole experience is a bit tacky with lots of food outlets & souvenir shops around the base, plus all the locks on the fences.Enjoyed seeing the beehive beacons and city wall, and the wishing pig. Also the rainbow ice creams are lovely."
Night time adventure ,"I went after dark to see the lights. The Seoul skyline is impressive. There are some food shops in the observation desk, candy, gift shop etc.There is a pretty long line coming down so be prepared to wait.We took the cable car up and back. At times they jam 40 people in the cars depending on the day so if you hate being a sardine, wait .Overall, worthwhile trip."
Must see place,"More than the tower itself, how to get to the top is the most interesting part. Based on what you prefer, you can do a 3.5 K rolling hill walk, combination of flat walk with some decent hikes - some through steps and rest through single lane path, series of steps all the way to the top or take the cable car to the top. If you are staying nearby, good area to go for a morning walk or a run"
What a lovely place,"There are so many ""LOVE"" lock place everywhere down the Tower, make u feel full of love before go up to the Tower. I like to pick candies and sit inside the tower to enjoy the view. I prefer go there before 3:00p.m. otherwise you needed to line up to get uphill by cable car."
Great views and shows,My family enjoyed going up on the tower and seeing the views and the also the interesting exhibits inside the tower. My kids particularly liked the cable car that took us up to the tower and also the shows outside the Tower. They had a sword show and a talent show. 
AMAZING tower,It's an amazing tower in SeoulYou can see all Seoul from the topNice places ther is restaurant and coffee shop
Excellent,"You have a very beautiful view from the tower . It 's a magical feeling to be so high in the sky with al the clouds. The view of the city is very beautiful. It gives you the feeling to stay for a very long time up there. The more than a million love locks there, shows the amount of visitors going to the tower. A number one, must see for everyone visiting Seoul ."
Nice view from tower,Took a bus from Seoul station to tower. Must visit place in Seoul as you can have the 360 degrees whole city view. Bought ticket from klook and redeem it at kiosk outside the entrance with ease. 
N seoul tower,Best is go there in the night. And I alway stay at Myeongdong area and make sure that my hostel or guesthouse can see N Seoul tower view :)
A fun morning out,"I had tried to go to N Seoul Tower on a Sunday and the queue was so long it would have taken at least 2 hours to get up, plus it was rainy. Instead I went back the next day and not only was it better weather and almost no queue, but they didn’t make me buy a new ticket and even offered to refund my ticket from the previous day. I went up the little elevator to the cable car, where there was free entertainment I did not expect to see. From there I visited the Hello Kitty museum which is small but so cute. Then I got in the elevator to the top of the tower. There are cool projections on the way up, making it feel like you’re shouting into space. The view from the tower is incredible.A super fun day out, and really reasonably priced."
"Great view of Seoul, beautiful way up","Namsang tower is a great experience, from the cable car drive to the walkways with thousands of ""love-locks"" and the stunning view from the top.We find the view late afternoon is the most beautiful, and no need to pay to get to the top of the tower."
It Was part of my tour,"Its better for me, take the hop of hop off, so they in a way explained historic places, the other just take you at their time, at the end goes to a natural antiaging shop "
Essential,"Well worth it. Awesome views!A short walk from Myeongdong, where I stayed. I took the cable car up and walked down."
Beautiful view,"Was a good relaxing environment to catch sunset, they have different areas to enjoy the attraction. There were gift shops restaurants... we enjoyed the candy shop at the observation deck"
Total waste of time (lots of time!) ,"Huge disappointment.Went to the cablecart to get there but it was closed due to strong winds (s**t happens) so we had to take the bus.The line for the bus was massive, took 60min of waiting.After the bus drive headed to the tower, took the elevator up, collected our tickets and was informed that there was another 40min wait before we could take the elevator up to the observation deck.After the 40min wait you take the elevator up to a room with 360 projectors showing random animated movies on the walls, to distract you from the 30min addition waiting time here.When you finally reach the observation deck, you can barely see out the windows as the lights from all the souvenir shops there are reflecting in the glass.As a result of this the windows were full of finger prints and nose prints from people trying to see anything, and the windows weren't cleaned.After this disappointing experience we decided to head out again, only to find another 30min wait to get down! Summary of time waste:Bus 60minEntrance. 40minEntrance 2 30minExit 20minSpend your time on something else. "
Seoul Icon,"Nice walk up the hill. Good scenary. Visit the Ryan cheese ride, taking cute bear photos. and Hello Kitty Island also. Lots of peoples."
AT THE TOP of Seoul,"The hiking till the tower is absolutely worth it.Once you reach the top there are several shops and resturants, typical stuff for turist.I really advice to pay the fee to go at the top floor of the Tower!! Beautiful experience."
Tourist trap?,"Every travel guide to Seoul recommends you to visit the N Seoul Tower, but after queuing up in the long lines to take the cable car up, you are faced with another long queue and expensive tickets to head up to the observatory. Way too crowded and too much lights from the sign to get a nice night view of the city. You can give it a miss if you have other things to do on your itinerary."
A very nice place to visit,I went during the day so I could see the area clearly. The views were very good and the windows on the observation deck showed what major city was in that direction and how far the distance is from there.
Spectacular view,"One can walkdown,by bus or cable way to reach to the bottom of tower.the surrounding is natural,picturesque.Observatory desk not too high and view also not clear.The speciality is one can bind a lock to the fencing and take photos.But its not a big tower than shanghai,tokyo,sydney and burgkhalifa of dubai."
Night time,"I went at night time and bought a 1 way ride to N tower, there was a kpop band doing a concert their which you got to watch for free, the views of seoul at night were amazing. If you give during the day you can enjoy the park aswell. There is loads to do at N tower. The walk back was stunning. Just be careful on some of the stairs as they are close together"
Fabulous view,Do go there if you get the chance! The drive to the top of the hill is through a beautiful park.Cars have to park at the bottom but buses are allowed to drive three quarters of the way up.There is a steep climb at the end but well worth it! You are taken into a room with a picture of cars travelling along on the floor which was quite spectacular.The ride in the lift up to the top was spectacular with a visual experience.Outstanding views at the top with great photo opportunities. Loved it.
Seoul must visit destination ,Awesome location and must visit activity. Go there prior sunset and stay there until sunsets to view sunset
Trust the bus announcement,"we follow google maps. and we missed the stop. better listen to the announcement in the bus. since we missed the stop we walked to the Namsan Library. From Namsan library we chosed to walk steep 1,6 km..not to hard in autumn since the cool temperature. it was beautiful and crowded especially during the sunset time.everything trying to find the perfect spot for taking video/ pictures during sunset. there are some cafes down there, food not bad but the service is quite long. Going down no problem there were some busses that would take us downtown."
What a disappointment!,"We're not gonna complain about the hours it took to get to the observatory because had it been a good experience we would've forgot about the hasssle; but it was not! Once we reached the observatory, we couldn't enjoy the view as the reflection of the food and drinks' station light on the windows ruined the view let alone how dirty the windows were! AVOID!"
Could be better,"Too many lines. No sign posts. View of city was not clear since the glass was reflective. The view from nearby Signeol Seoul was much much better. If in Seoul, one could consider going to tick off the list but this one's quite average."
Great view,"Was a big walk up, we chose not to take the sky lift, take plenty of water and good shoes. Its doable though and worth the good work out. Great views by the time you get to the top the tower is more like a lighthouse, so don't be worried if issues with heights. Beautiful views, worth seeing!"
Great views of the city,"The tower gives a great opportunity for fantastic views over the city. Even at base level the views are great but the 360 view from the observatory is better. However, its not the cheapest of venues to visit - so make sure its a clear day, else it's an expansive cloud view.There ate various floors of food stalls & kid activities"
