review_title,review_body
Best to go in autumn,"Seoul Forest is easily accessible by subway. Change at Wangsimni to go to Seoul Forest Station (K211). After exiting the toll-gate, there is a lift at the end of the floor to take you to the street level. Turn left and then right to enter Under Stand Ave. There is a good eating shop on your left. Cross the road to enter Seoul Forest. Last year, the autumn colours were stunning but because of the long summer and dryness this year the ginkgo and maple trees were somewhat disappointing. It is still a good place to walk."
Just OK,"Huge garden with performances on some days, without which, there isn't much to see. A lot of green and few flowers when we visited in early October. I wouldn't recommend going out of your way to visit this place. There are more scenic nature walks closer to the city. "
Great moment ,"I went to Seoul forest to enjoy the weather with a friend. the place was really nice, we almost forgot that we were right in the center of Seoul. the weather was perfect and the leaves in the orange color of autumn were perfect. short a good time, I recommend this park."
Beautiful outdoor space,Wonderful place to spend a beautiful day. There are tons are walking paths and benches. The park is filled on the weekend. You can rent bikes and ride around the perimeter of the park. There is a lot of shade.
A bit cold but Great time!,"I visited Seoul and really enjoyed the time with my friends. We stayed in the capital for 2 nights and explored some famous sites there: Gyeongbokgung Palace, Bukchon Hanok Old Village, Seoul Stadium... shopping at Myeongdong was a must and tasted street foods there which would give us happy time for the trip. "
Relaxing Day,A great place to walk around and enjoy some space from the hustle and bustle of Seoul. A very child friendly environment.
Nice walk in the city,It's an oasis in Seoul. Walking in this park/mini forest really makes you think you're out in the country side. It's very relaxing and enjoyable. Many attraction for kids as well. Great for outdoor activities.
A very nice large park,"Came here for a walk with our toddler, and had lots of fun. A great big playground, a little corner with some water-themed equipment nearby. Deer feeding was prohibited, not sure if permanent or temporary... Large territory to explore with lots of pretty views and photo opportunities. Not sure it's a good option as a tourist destination, but if you want to spend some time with kids in a park and explore the territory, then it's the place to go."
beautiful park in the middle of city,"There are 2 subway stations nearby the park. one is green line and the other is yellow if i'm not mistaken. I think the yellow line is nearer than the green line. This park is not so crowded, we came around 6.30 pm and had a great time enjoying cherry blossom."
Nice Place to Relax,"We visited Seoul Forest early to feel the morning breeze since the temperature when we visited was still around 9deg. As the name implies, it is a big place. There are so many areas to visit but it takes a lot of walking to reach each part. And some directions won’t lead you to what is indicated. The only area we enjoyed most was the Tulip Garden where flowers are in bloom and in different happy colors. There are even cherry blossom trees in between. It felt refreshing and very calming. If you are a nature lover, you can try and visit Seoul Forest."
Beautiful sea of tulips ,"This was my second visit to Seoul Forest. I went on Saturday and I was surprised how many beautiful tulips there were still blooming at the tulip garden. The park was crowded, but it was still leisurely and I enjoyed my time. I will return in the fall for the foliage. Definitely, check this place out if you are looking to spend a leisurely day out. There are a lot of cafes and restaurants surrounding the park, as well some snack places on the premises."
