review_title,review_body
Fun!,Weather wasn't the best when I arrived i Seoul so my Daughter suggested us to visit the place. We had so much fun and giggles.
Loved it,Loved everything about The Trick eye museum i would highly recommend this to all my friends and family..love it
Highlight of Seoul,This museum was one of my most memorable place in Seoul. It was very interactive in that you can be a part of the art and take lovely photos. I would advice going with friends in other to take photos of each other.
Tacky Fun!!,"This place is so incredibly tacky that you can't help but to have a good time! It was well worth it for the laughs! There's an app you can download to ""enhance"" your experience but it didn't work half the time. There's another tacky Love ""Museum"" upstairs that's very graphic but hilarious...don't bring the kiddos! We had a good time in this cool college neighborhood. Found an awesome craft beer joint around the corner. You can definitely make a whole day checking out Hongdae!"
"Fun, but not a ""museum""","First, this is not a museum in the conventional sense. It's a series of wall paintings and mirrors, and other things where a participants can sit, lie, stand, etc in designated locations, and it appears you are flying, being eaten by something, are cut in half etc. It's more like a well organized carnival fun house. Overall it was enjoyable. Not something you can do repeatedly, but it's a good way to spend a couple of hours and take some fun photos. You NEED to come with someone else to help take pictures or else you are constantly asking people to help you. The images / illusions are big, so you can't really do it via a selfie."
So-So,"Considering this place is top rated amongst tourist. I feel that there needs to be some kind of guidance. There was a language barrier and no one could assist us on how things worked. Also the space is very limited. Too many people going in at once, no room to take pictures and the locals had no sense of awareness of other people taking photos. Nonetheless once we got some infoFrom another tourist and the place cleared up. It was good experience.**tip- maybe have some control the flow of people coming in and give some kind of time limit. Also for couples- we wanted to pics together but non of the staff could help us out. Maybe have staff members walking around offering to take your picture."
A different and fun experience,"Trickeye Museum??? Who knew!This is an experience not to be missed if like us, you have no idea what to expect.I’m not going to say much as I don’t want to spoil it but it was the best few hours we spent in Seoul.....lots of fun! The “love” museum and an ice museum are in the same complex and all 3 are good fun.After the ice museum you can also have a nice latte with your picture printed into the cream topping too!!!"
An interesting experience,Had a lot of fun and took some crazy pics. There were indeed some eye bending displays that wow'd me. Was definitely worth it for me.
1st time in Trickeye Museum,"I had a fun time here, it is highly recommended to anyone visiting Seoul. Everyone would have a guarantee unique and satisfying experience. Two thumbs up. "
Amazed,I have truely enjoyed my visit here. The staffs were welcoming and atmosphere was fun. Next year's round 2. Thank you trick eye. 
