review_title,review_body
Straw House?,Nice house in this village. photo stop place. Go there for the scenary . I think there are still people living in those houses.
lovely walk,"really busy as long holiday weekend, but the houses are all boutique restaurants and souvenir shops so really quaint. Had cockels in one of the restaurants...superb!"
A living museum,"Naganeupseong Folk village is an UNESCO world heritage site, established in late 10th. century with the Confucian ideology of living in harmony with nature. Even today time stands still here. There are about 280 people lives here and maintaining their old culture, a must see place if you are happens to be in Suncheon ( South Korea ) . . . . ."
Awesome Traditional “rural” Hanok,"This traditional village (hanok) was great. It was fascinating to walk through. Best if you speak/read/understand some Korean, but you can get by with English. Not only did they have mannequins and setups with the houses, they had live actors. There was a Lady playing drums and a calligraphy Master. He performed traditional dances and instruments as well. There was a flute maker who was also giving lessons. They had traditional games in the open square and people were flying kites. Very interactive. The fortress wall was also quite impressive. A good hike if you’re up for it. We went in late October, so we also got to see beautiful fall foliage. Worth a visit to see traditional rural style living, especially if you're nearby anyways. This hanok shows the more rural, middle/lower class historical way of life. If you’re interested in the higher class, aristocratic style of historic life, this is not it. Head to the Jeonju Hanok for that."
Really great cultural site,"The fortress wall around the traditional village and homes is beautiful and worth a visit just to wander around. The different informational stops inside the village are fairly well done but only offer basic information (which is just fine for the average tourist). Overall, worth a visit if you are in the Suncheon area."
Cultural Village in the fortress,"Old village in a fortress. One of few well-preserved old villages in Korea. Even though people living inside don't follow old lifestyle(I mean hundred years ago), this is nice place to feel old atmosphere.Must-see place in Suncheon and I recommend.- Location: About an hour by bus from city center of Sunchon. The bus stops at the entrance of Nagan Eupseong.- Available with 2-day attraction pass of Sunchon. Or just buy the ticket for this only. Seniors with 65+ are free.- Speaking of eating, places inside are cafes and old pubs. Good restaurants are locating outside the gates. It's not strict about entering and escaping in a day. Just hold the ticket, eat outside and enter again.- Since there are only Korean minbak(homestay) pages on the web, it's really hard for foreigners to book in advance. But, I recommend to stay for at least one night in the village anyway. It's really calm before 10 am and 6 pm because most tourists visit for a day trip. Having one room is mostly 50,000 won per night and it's a modern facility inside.- There are various activities and events. Enjoying together rather than visiting solo will be much more fun.- Southwest end of the fortress is the view point. I guess it'll be crowded with photographers during the best season.- Ogongchi Observatory is 5 stops away from the village and is a place to watch from higher area. But, the village is so small from there and hard to identify during bad weather."
Really beautiful and authentic,"It was a long taxi ride away from the city center (Suncheon Station), especially as the roads were frozen. However, the view was worth the ride! It was a very quaint and quiet little village, perhaps we reached too early (we reached at about 9:30am!), perhaps the weather was too cold, there were hardly anyone around. Shops were closed and there were no performances, but it was so lovely to be walking around the place. It gives off a completely different vibe from the bustling streets of the city. I absolutely loved the place! "
Authentic working farming village ,"It was great to see a real working village where the old world is kept alive in a modern day. Many things to see like fortress walls that you can walk on and see the view, shrines, prison and homes with thatched roofs."
A must-see,There are still living 200 people here. It is definitely worth a visit. You can walk on the wall to have a good overview of the village.
Favourite traditional village in Korea,Most definitely worth a visit. Excellent trip to see a traditional village that is still used today.
Very traditional village with about 200 people living in it. True heritage coming to life,"This was a pleasant surprise. I was expecting a mockup of a village all recreated but this is the real McCoy..... It's mainly old people living here working hard to keep many traditions alive. Thatched roofs and small village houses and gardens are full of character.It's almost like a living museum (yes they do have power and modern toilets available), but it's all been incorporated in a very sympathetic manner.There were some working demonstrations of thrashing etc and the opportunity to try and imagine what life must be like eking out a living here.Do take the time to walk around the walls as it gives a great insight of what going on below.All the residents seemed genuinely friendly. (We had a private guide which helped us tremendously).Fruit and veg for sale just outside the village along with restaurants and coffee shops.A very worthwhile visit. "
