review_title,review_body
Attractive park area initially created for an Expo.,"It's not too easy to get to but if you like landscaped gardens it's worth the effort. It's an area of land by a river split down the middle with a roadway. One side of the road are large very attractive landscaped gardens, the other side forests of various types of trees. Along the road centre there are buildings used for exhibitions and plazas, when we were there speed skaters were practising. There is an attractive Expo bridge across the river and the rivers opposite bank features impressive buildings also created for 1993 World Expo."
Nice and Clean Park,"The park is very nice and a wide area. You don't have to pay anything, it's free. There are also some traditional Korean gazebo to relax. This place is also near Daejeon Expo Plaza with its fun fountain for kids to play around in summer."
Nice place at Daejeon,"A very nice place, a lot of flowers, i visited at the Fall, so, the colour of the leaves are the best of my visit."
"Lovely, lovely. Relax and enjoy.",I was staying here for a conference. And near Daejeon Conference Center you can find this lovely garden. It is free to visit and offers some great views over the gardens and Daejeon city. A visit is really recommended And it is free!
Beautiful landscaping-my favorite sight in Daejeon,"This park is attractive and not too far away from a metro stop. It offers several trails and although it is small, you will end up spending a lot of time wandering around the various trails. There are several different areas of the park and it is great for beautiful pictures as well. It is free to visit."
Wonderful walking environment,"I was there on a June Saturday morning. Lovely and interesting vegetation of many types, very quiet, despite the hundreds of other people (and lots of kids) around. Would be even more beautiful in the spring, and maybe in the fall"
Nice quiet place,"Not the best gardens I’ve ever been to, However nice peaceful and relaxing. Good place to bring your family, and have a nice picnic"
The location is perfect,"I like thus place because the location is close to the downtown (Dunsan area) and expo park. If your hobby is jogging, i believe you will like this place"
Best place to taking a walk!,"I live in Daejeon over 20yrs. In my opinion, this is the best place to taking a walk with your families. Nice environment. You can park your car in front of the Nammun Park or art museum etc. "
Take a rest from the city life,"There are a lot of Korean plants that are cultivated by gardeners. Perhaps you can take a rest from the city life. I sometimes go to the Hanbat Arboretum after work on Fridays. It has satisfying paths with various plants, so I rest or take a walk there. It has gorgeous views during each of Korea’s four distinct season."
Perfect Picnic Place,"On a warm sunny day, I took the bus here and had a wonderful time. Don't miss the tropical garden before heading to the glorious East and West wings of the arboretum. There are several benches and tables spread throughtout several paths. Many of the signs are in English (although the entrance map was not). This a visitors booth to collect an English map of the entire scene. In between the two ""wings"" there is a playground and biking area. Rent a bike and have a ""gay ol' time"". I brought a blanket and food; i joined families beneath the shade of several trees to eat and nap. I plan to visit again this summer or fall."
Hints on this place,"1) I recommend you to spend in this area whole day, because Arboretum is quite big and interesting, and there are several museums not far. It surely deserves whole day!2) Open hours 6AM–9PM (april–september), 8AM–7PM (october-march). Free admission.3) Infrastructure is well developed. There are small library, forest class, lot of thematical gardens, pond, gazebos etc.4) Don't forgt to visit tropicl garden! it's situated in stand alone building and you may think, that it's not a territity of Arboretum."
Probably better in Spring,I was unfortunate enough to go when all the plants were still dead. However I still enjoyed walking around. The EXPO bridge is right by it which you can use to access the EXPO park
Beautiful park,"Beautiful park, can rent a bike or walk, in the middle of the city. Subway line 1 ends near the park"
Still plenty of colour in mid November,Take a warm jacket and gloves now it has turned colder and if vsiting it in the winter. Also visited here in 2014 but that was in the hot summer. Don't feed the fish and no littering and make sure you take plenty of water and a brolly for shade in the summer months.
"Hanbat Arboretum, 11 and 13 Oct'16","October, 2016. I went to this beautiful place on the banks of theGapcheong river, which is a breath of fresh air. the placeabounds in trees, plants, and flowers all around, withpavilions, resting places and even a small pond, right there. On11 October, the Western side was closed, though both sides wereopen on 13 October. I was in a bit of a time crunch, and hencewas not able to explore the Western side of the Arboretum.Hanbat is the old name of the town of Daejeon. The HanbatArboretum extends right from the impressive Expo bridge with itsunique design, to a cycling track and exposition center, at the center,with a road separating the place from the Government Complex. Oneextremely impressive part of the Arboretum is the Tropical area,which has a wonderful collection of plants, right from floweringplants, to the trees, found in the tropics. It even has a small waterfall!"
Scenic piece of fresh air in easy reach from the metro line,"I spent an afternoon wandering around here - it's fairly large but quite accessible to anyone with wheelchairs or strollers. A great place to picnic, rent bikes or 4-person family pedallers, sit and watch the enormous outdoor big-screen (it was playing some animation movies at the time I visited). There's a lovely lake filled with koi and waterlillies too. "
"Wonderful Gardens, great afternoon spent.",Beautiful place to wonder and explore. Perfect afternoon out. Photographers paradise. Peaceful and packed with great views and beauty to view and appreciate.Wish I could have spent a larger amount of time there. Easily could spend hours on end slowly wandering around and experiencing all the park contains. Great to see if enjoyed by people of all ages and all walks of life. We bumped into many school groups enjoying the park on school trips.
Arboretum was great but the gardens are a must see,Beautiful gardens and walks. Highly recommend. Has a great recreation area too. Should plan to spend at least two hours to be able to enjoy the facility. You can take your time as you walk through gardens and trails. And there is no charge.
Hanbat and its gardens: wonderful!,"It's important to point out that the arboretum is just a small part of a huge recreational area that includes - the river walk, gardens, several museums, exhibition area, bridge, and expo park. You can spend days visiting the entire area, or just a day in the gardens and indoor arboretum. In summer have bug repellent. The area is all free, except the museums and easy to get to by bus or subway. You will enjoy many different plants, waterfalls, and giant trees in the arboretum. In the gardens outside there are bridges, marshes, pavilions and a small hill as a lookout. A great date place, I'd imagine. Or for family or school outings. A welcome reprieve from city life. "
Nice place to hangout with friends and family!,"As the name suggest, it is a botanical garden. So, you can visit if you love nature, plants and serene environment. Besides, Mugunghwa garden, autumn foliage forest, queritron forest, pine tree forest, eco forest, coniferous forests, forest of meditation, garden of senses, wetland garden, willow tree forest, grass plaza, outdoor learning center are the main attractions."
Beautiful,This a beautiful place. It has so many areas which can offer peace and reflection as well as parks and attractions to bring the family. It was definitely worth it.
Very nice place for nature lovers,"I recommend this place to be visited by all the nature lovers, especially for european people, because there are a lot of beautiful trees, different than european ones. Very beautiful!"
A relaxing place to spend the day,"In spring and early summer the arboretum is unbeatable. The well-laid out walk-ways, landscape, and ponds are very inviting and beautiful. Amazing flowers and shrubbery offer a pleasing escape from the congestion of the city. Bike rentals and other attractions for children offer something for family entertainment. The nearby river and foot bridge open up the recreational possibilities measurably. Bring a mat and picnic lunch to extend your stay. For the best experience avoid weekends in the summer and Korean holidays, as it becomes very crowded. The park is free as is parking. Good family bargain."
