review_title,review_body
Large collection of artefacts showing Korean history from pre-history to modern times.,"The National Museum of Korea is located in a park not far from Yongsan Station. During my stay the museum was very quiet with a small number of visitors. Some space was closed for preparation of a themed exposition, the permanent exhibition was all open. It is worth spending some hours here. The Museum shop has a nice collection of items at different price levels. "
let you guide by a guide in the Museum,"I had one day off and went to the amazing National Korean Museum , a very, very large building which is similar to Musee d?Orsay in Paris, a lot of space. There I had a guide, it seems a lecturer from a university, he had a really broad knowledge. Okay his English needed improvement but the explanation he gave about Korean history was incredible. Moreover he knows a lot of culture.The Subway or Metro to the Museum is well organized. In the hotel they explained me how it works and with this information I bought a ticket and went into Korea underground. Stations are indicated in Korean and English so it helps otherwise Korean people are very open and friendly to show you the way . Do not throw your ticket away because at the end you get a refund of € 0,50 , very sustainable."
"Great little museum, and free! ","This museum is adjacent to the Gyeongbokung Palace, so it's very convenient to visit. There's a cafe in the basement for light refreshments. A comprehensive display of the Joseon Dynasty that lasted for 5 centuries. A pleasant way to spend an afternoon. "
Excellent place to visit,Wonderful place to visit. Worthwhile experience. Very well explained exhibits and easy to follow explanations
Very good & informative visit,"Sadly the app crashed and lost my review - good for kids- Timed, free entry for the kids museum, geared for 7 & under but no age limit.- free entry to the permanent exhibit- plenty of parking Recommend!"
Definitely worth a visit. FREE admission!,"One can easily spend a whole day here. The museum is well planned and layed out. The displays are well lit and presented with excellent information. The main exhibition areas are free (charge for special exhibits) and there are places to eat (museum cafe and museum cafe prices). It's just a really great museum and for the price it's a great way to spend a few hours, or to go back repeatedly (and in summer a way to beat the heat). I used to live in Seoul and would bring people here. I highly recommend this museum."
"Interesting museum, great restaurant and affordable souvenirs",This national museum has an interesting selection of exhibits and isn't so big that you get 'gallery fatigue' when you're only halfway through. The restaurant is good for traditional Korean food at a reasonable price and I found the gifts in the museum shop were attractive and very reasonably priced.
A world class museum,"You can divide museums into great, and not great. The great museums then can be divided into worth a return visit, and not worth one. The National Museum of Korea is a great museum that is unquestionably worth return visits.First the architecture: a large building divided into smaller units (i.e. children’s museum, library, exhibition hall). The exhibition hall has both permanent and special exhibitions. I only had time (almost three hours) to see the permanent exhibitions on the third and second floors, but didn’t see the first floor or the special exhibition. Regretfully I left my visit to this museum for my last day in Seoul.The exhibitions themselves are of the highest quality, using, among others, collections that were donated or bequeathed to the museum.Physically the exhibition halls are impressive, massively large with high ceilings. The explanatory text is interesting and fully translated to English.There are a few places to eat. I can only comment on the tea room on the third floor where I had an amazingly good cup of tea. There is also an extensive museum shop which is itself impressive. I left some money there, and would have left much more had I lived in Korea and not had to take fragile things on several flights."
Remarkable place to learn history of Korea,"The main building offerred free admission but don't miss special exhibitions at the library building (with extra fee which was worth the visit). I felt obliged as it was great enough to spend some money to support it. So, I bought some souvenir from the museum shop :) Easy to go there, just take a train to Ichon Station. "
Beautiful history ,We visited the museum while staying in Seoul. It is very well laid out and the displays are simply beautiful. Amazing that so much history has been preserved and acquired for people to see.Was particularly pleased to see so many school groups there.
Thoroughly recommended,So impressive how the museum is organised - you almost feel how it was like to live in ancient times. Need at least a day to do it justice......
A Beautiful Way to Spend an Entire Afternoon.,"My wife and I spent a lovely afternoon browsing through both the paid exhibitions (""The Etruscans-Rising to Rome"" and ""Through the Eyes of Joseon Painters"") and the first couple of floors of their free exhibitions.The hours just went by as we strolled through the many galleries, admiring the exhibitions.During my visit, as I was going through the ""The Etruscans - Rising to Rome"" exhibition, 3 boys were left on pretty much on their own and they were running around the exhibition, being a general annoyance. A poor female exhibition staff had a hard time trying to stop those 3 imps. This brings me to my one pro-tip: If you are bringing your kids, and I highly recommend that you do (there is even a children museum), keep them on a tight leash.Anyhow, the museum (inside and outside) is splendid. Unfortunately, we didn't have enough time to cover (or at least walk through) all its exhibitions."
Ideal place for ones who love to learn about history and culture,The national museum is a must-visit when you are in a country. This is big so you need about 2 or 3 hours to discover.
A nice museum,"This museum has many different Korean artifacts and artworks. The first floor focuses on pre-modern and early-modern history in Korea (though no modern history section). The second floor focuses on calligraphy and artworks, while the third floor is mostly porcelain pots. I would have liked to see more history, especially of the modern period, but overall the museum has quite a lot of artifacts and is very extensive. The museum is free to enter and can be accessed via the Ichon subway stop. Worth checking out if you are in Seoul."
Amazing museum,"This museum was amazing, the building itself is beautiful and there are many interesting exhibits, which helped us to learn more about Korean history. Lots of information in English, and very useful leaflets guiding visitors to key exhibits."
