review_title,review_body
Good view,"If you want to see the Daegu's view, climbing up this tower. The fee is ₩12000 ($10.50). The parking lot is near 83 tower. If you visit this tower in winter time, seeing beautiful decorated lights around the tower. "
Suitable for Observation and Dating.,"The 83 Tower is one of many towers in the world only for observation about townscape unlike subsidiary observatory on the top floor in very tall buildings. As long as I know there are such two towers in Korea. Those are Namsan Tower in Seoul and 83 Tower in Daegu. Although there is Yong Doo San Tower in Busan I'm not sure the height and scale are equal to those of them. Because the 83 Tower has cafe and restaurant it's suitable for dating, too."
A tower but slightly different,"To visit the tower you can take a bus (including the city tour bus) or the subway (but that involves a bit more walking). From the bus you cross the road and climb the steps to the small theme park. Information will tell you where to get the free shuttle bus that takes you to the towers base. The tower is very eighties, looks like 4 or 5 star hotel of the time. You can just pay your fee and do the tower, or explore three or four floors of associated attractions which include several restaurants, shops and an ice skating rink (complete with plastic polar bears). The top floor of the free attractions gives you an open place to walk round, take city photos and eat. There is also a old red London double decker bus (which looks genuine) and a classic car. I didn't do the tower but didn't mind the free attractions."
Typical tower experience with lots of food choices,This is a nice way to get an overview of the city. The most unique part of this site are all the restaurant and food options in the complex. 
Good place,top of the 83 Towers gives you a great view in daegu recommend !!! you can enjoy 360° view and enjoy the view of Daegu.
Daegu 101,"Daegu 83 Tower was definitely one of the highlights of my first trip to Daegu. As it has everything I like!Firstly, it has a super cool Trick Eye Museum! I've been to one in Seoul, but the one in Daegu is definitely more thrilling! Secondly, it has a beautiful observatory desk where you can see the whole of Daegu in your palms <3 How wonderful ~ Last, but not least, it has Ashley (aka buffet-style restaurant) And for me, food is everything <3 So my day was filled with lots of cool photos, beautiful view of Daegu and a very delicious food :)P. S: it also has some cool shops & cafes as well as cool installations! So I definitely recommend to check it out when you're in Daegu ;)"
Daegu's night view,It was hazy nor cloudy when we went so we were able to get a clear sight of daegu at a glance. There is a cafe up in the observatory as well as several souvenir shops! Worth a visit!
It's okay,Place close to city with interesting view. Not so many interesting things inside but nice artistic installation outside.
Great vista,"With minimal crowds, the view is lovely and worth a visit. The theming and lights at night make this as good in the evening as the day. A must when in town."
No worth the time and effort ,"We arrived at night and the way up was fast within 3min, we were up and the view was not spectacular just ok .. within 5 mins we decided to return to our car but waited 20mins for the lift. Do not visit"
ok,"Tower is a separate fee. there is nice view from top of mountain, but great view at bottom of tower so why pay extra? Definitely get some bubble tea before you go up though."
A quiet autumn night,"Was brought there by a couple of Korean friends to check out Tower 83. It was a chilly autumn night and there were beautiful lights on display that felt like Christmas came early! There were hardly any people around, maybe because it was close to closing time (we came after dinner). Parking was not an issue and we had the entire place to ourselves. We spent some time walking through the pretty light tunnels and admiring them before buying tickets up to the tower.Having been to multiple observatory towers in Tokyo, Shanghai, HK, Seoul, KL.. I would say that this was not as impressive but still nonetheless worth a visit. It’s not a complete 360 degree view and the topmost 83rd floor was still under renovations. We made it to 77th floor. The binoculars littering the highest floor worked and were free so I had fun ‘spying’ into homes and streets, just watching the world go by. There is also a sky drop where one can jump off the tower and abseil down. The famous Korean gameshiw Running Man filmed an episode there before and their aurographs are immortalized on the wall. Had a great time :)"
Very expensive and fancy place for dating and families.,"Very expensive and fancy place for dating and families. Actually it is part of the ELand, the biggest amusement park in Daegu. Here there are many restaurants and enjoyments for kis including ice link. They are not cheap at all. 10,000 won entrance fee for taking the elevator to the observatory at top. It is typical one as a tower. I advise you to rent a car to get there. On foot you are going to walk alot. Or you can use a shuttle bus for it."
