review_title,review_body
Beautiful,This cave is huge takes about 45 mins to walk through. Metal walkway well designed stay on your left. Pretty amazing natural formations. Be careful not to bump your head. 11000 won entry high price but worth it in my opinion.
"Easy tour of a cave, not for the extreme explorers","GOOD POINTS:1. This is for the not-so extreme explorers. The cave has a single entrance-to-exit route. The walk-thru is on metal pathways with safety railings. They have lights, signs and descriptions at each stop.2. The well-designed route and facility is good for groups of children and old people. I can also recommend this for the solo traveller who wants to explore the place alone.3. It’s perfect for a summer trip because the cave is cold inside. Prepare for the Winter though, you might freeze inside. ☃️POINTS TO CONSIDER:1. Wear the right shoes. It can get slippery inside but wearing gum-sole or rubber shoes will solve that problem. Also, you’ll save money by not renting shoes that they offer at the market entrance.2. It can get crowded at certain times of the day. So make way for others when taking pictures or else you’d cause an unnecessary traffic jam.3. This is not for the extreme cave explorers or spelunkers. No crawling, swimming or being covered with mud."
Amazing ,"So interesting. Visited with husband, 5 year old and 2 year old. Wish we’d put 2 year old on sling as a few wriggly moments on slippy steps whilst being carried. Might have been difficult getting through some of the tight spaces however with toddler on back. The barriers aren’t great at times for small children as the gaps between bars acting as a barrier over high drops can be as wide as a child. Amazing rock formations though and well maintained. Staff great. "
"Nice cave, easy access","I visited here while staying with friends. I took the bus from their place. Ok made sure to have it written in Korean, as the buses only have Korean writing. Luckily someone made sure I got on the right bus. The bar area had touristy shipping and other things. The cave is up and down and narrow in some places. They give you gloves at the entrance for security. It's cool but not cold. Took maybe a little under an hour. The return bus stop is at the end of the parking lot towards town. "
A wandering turned worthy!,"Hai all!We, a group of 10 people, went to this cave during winter time (February) in Korea. We didn't have much expectations as we thought this would be an exhausting 940 m walk. But honestly, the walk was worthwhile! Even it's a cave, they've maintained it well. You'll also pass through an informative and playful exhibition center before entering the cave. - Cost of ticket for an adult is 11,000.- They has given proper stairs and guidelines throughout the walk. - Temperature inside the cave is adjusted accordingly.- Those ups, curls and downs never make you feel tired. - The path is exclusively constructed for one person to walk at a time. Sometimes you need to shrink your body to adjust yourself through some tiny pathways. (That gave us an adventurous feel too!). - You'll never feel bored during the exploration as there are various varieties of limestone structures that looks like gorgeous sculptures and make you feel for nature's unending wonders.Go without any expectation. You'll create memories. Happy Caving!"
Overpriced for us,We walked over Oksun Bridge from town and reached the cave in 15 minutes but were put off by the entrance fee which was rather high. Having been in many caves before we decided to give this one a miss and we strolled through the car park which was lined with restaurants and souvenir stalls.
Exceeded expectations ,"We’ve done the cave thing a number of times but we had some time to kill on our last day in town. It is a bit overpriced for a cave at 11000 won a person, but what they have done to make the cave accessible is pretty impressive. You trek back about a kilometre and at one point are up about 5 stories high inside the cave. Cool experience. They’ve made it very safe with walk ways and railings, but it is narrow in spots and requires a lot of ducking. Worth checking out if you have time. It is just over the bridge by the bus station. About a 10 min walk. There are restaurants, shops, and bathrooms by the cave. "
A huge cave bringing lots of visitors,"This is the best and the biggest cave in Danyang-gun. Lots of visitors come to see.- The entrance was 11,000 won which is high for a cave. But, it is not expensive for the experience.- There are free lockers at the entrance.- There's not a risky area and a helmet is not necessary. The only tough part is a spiral steps downwards.- Many kinds of stalactites. Good chance to learn."
Great afternoon visit,"We went on a little side trip to this cave from our camping trip with friends and brought my 6 year old son along. Be warned, you need to be in decent physical condition and not be too big to go through. Im 5'7 and about 190 lbs so there were a few places that were a snug fit through the walkways. Its about 2 kilometers up and down stairs and along narrow platforms. My son was fine but said he was really tired at the end. My bad knee ached but it was Ok and worth the visit. The drive in from Woraksan National Park was beautiful. If you cannot walk and go 2 kilometers without sitting, this is not a good idea."
"Well organized cave walk, go deep!","A ticket gets you grippy gloves and a point in the right direction. Aluminum stairs and platforms wind you in up and down a deep cave, many set spots lit for effect, with Hangul-only descriptions. A little damp, be prepared for some dirt, but very interesting."
Gosu cave,"Pictures of Gosu cave /Kosu Cave . This place was such an Interesting cave. There is a visitor center with a mini museum. It has a fun interactive game, and specimens from the cave. There are snacks available at a vendor outside and decent bathrooms behind the center. It just had a renovation 3/2016. The town is cute and has lots to do for tourists. I wish we had stayed a few days in Danyang. The cave is NOT handicap accessible. Bring a coat, and good walking shoes. They provide gloves but bring your own if you have large hands bc the rails are ice cold. The cave has a few very narrow areas. In one part you will climb a five story spiral staircase. It might bother you if you are clostraphobic and get behind a big tour group. Bring Won . The venders have cute stuff. Parking is limited so carpool if you can. "
Beautiful and not artificial Cave,"CYC ( 2017.03.01 ) My family visited this attraction on our way to another place. I didn't expect this cave, but there was more attractive than I think. There was beautiful and not artificial different with another cave. The cave has been well preserved and had beautiful cave view. When we went deep into the cave, the air condition was not good to me. And because the passage was too narrow, if congested, it was not comfortable."
