review_title,review_body
Great Place to Checkout!,"This is an incredible area of Seoul worth checking out. If you are young and visiting Seoul for the first time, I would also suggest staying in the Hongdae area, it's really never a dull moment here even at night time. Amazing restaurants that are very affordable, cheap street food and of course arts as well. You can also check out the Hongdae Free Market on Saturdays."
lively and great for teenagers,"it was a ncie street, full of cute lil things. it is basically for teenagers especially for girls. They have many quaint lit shop that sell cosmetic, jewelleries, accessories and clothings too."
nice street,For my opinion should go on the night. you can saw so mouch live music and dancer on the street it was enjoy.Also you can buy clothes in the street
Hongik University Peonpeon Slime Cafe,"It is a good place to relieve stress not only by children but alsoadults at slime cafes. The inside of the cafe is clean and the staff is kind. The price is low, soyou can build memories with friends and get closer. As soon as you start to touch it with yourhands, you will feel better."
Very Chic,"This area has a California Berkeley University flare. Diverse eatery’s, beer, coffee houses, etc. The metro stop is in the middle. A great kick back place a cute walking area."
Lively!,"Pretty cool. Lots of activity. Right behind and parallel to the street, in the evening, it is bustling. Lots of people, restaurants, and K-Pop bands showcasing their skills!"
Gotta get some street food,"Plenty of good people watching, shopping, and eating to do here. You can walk for a while and eat your way along. Fun way to spend a couple hours exploring some of the local area."
"Shopping, food and so much fun","Hongdae shopping street comes alive at night. Highly recommended to stay near the area if you enjoy street food with reasonably priced restaurants, fashionable streetwear, clubbing/bar hoping and noraebong (karaoke rooms). Everything night is a Friday night so a warning to those who don’t enjoy crowds and noise until the wee hours of the morning. "
Student town,"Lots of food and bars, very reasonably priced, also good for shopping. Much busier then Ewha Women’s University. A must visit spot."
Amazing Food,"There is food all over this area, From Korean BBQ, to Sushi, to Bibimbap, Coffee Shops you name it. My personal favorite is Bibiri for Affordable Delicious Bibimbap. It is in a basement and hard to find, but totally worth it."
"Great Fun, bustling nightlife","Great Chicken and Beer restaurant, great Bars, for the young at heart. Crowded but great vibe with a huge variety of places. "
Very good crab restaurant in the area,We visited the area solely for the purpose of having a crab dinner at the restaurant called Kim & Kim. If you like giant crab this is a good place to go. It is near the station on Line 2.
Don’t go in the monrong,Hongdae I’m sure is a great and lively place to visit. We made the rookie error of going at 9.30am one Sunday. It was a ghost town. I guess it wakes up in the afternoon and certainly the shops were closed until 11.30. So just time your visit accordingly!
Freshmen ,Crowded with freshman age people. In the morning you can shop for a bit and at night you can also club here.
Place where the art is start,In here you can enjoy so many performances by the young korean in the street. Also the stores and food that they sell in here are a lot. So you can have a lot of selection of food that you can enjoy. This place is also heaven for the people who likes shopping.
Young and Vibrant ,It’s an area full of university students. You can feel the vibe and energy. Relaxing area to shop and dine. I enjoy sitting in the café while the rest shop. 
hip and young,The Hongik University Street is full of young people. If you look for some fashionistas its the place to go. 
Garden theme cafe and shop!!! Inner peace ,"Spending Sunday afternoon at Hongik University street... plenty of cafes, clothes, restaurants, pub and live performances.Indeed a place for young blood ... feel the sugar/blood rush!!! *_^"
Great Vibe,I was on my way to a workshop and accidentally ended up in this area. I love the park area and all the people! Great young vibe without it being overwhelming.
Unique creative atmosphere!,"Very interesting, peculiar, dynamic district of Seoul. A lot of youth, creativity, music. Lovely cafes and youth clothing stores. I think that next time I will stay in this area."
Typical shopping for cheap clothing and souvenirs.,"The street is full of stall vendors selling unbranded , hip and mod clothing for the 20 somethings.... The quality is above average for these types of stores. The value was pretty good considering the USD vs KRW exchange rate."
Large Beautiful Landscape and Facilities,"One of our travel mates with teaching the summer session and we went to support him a give a brief presentation on Criminal Justice. They university was so happy that we volunteered our time they gave us a takeaway good bag and provided us with dinner. such a great experience, top quality staff."
"Young people, Busking, Restaurants and Shopping area","The street is located near the university so there're a lot of young people. There're so many busking and it's really fun to watch them perform singing or dancing. There're a lot of stores, cafe and restaurants. I really enjoyed the area."
Great vibe,"Visit in the evening/night time, great vibe, lots of shops and food, and street performers, cafes, karaoke, should have a visit. "
