review_title,review_body
Express Bus Terminal Seoul,"The area is mostly full of ladies stuffs and other home decorations, accessories etc.. I went during Autumn and the clothes are cheap. You can also find other things there and it was a good experience."
Excellent Shopping Place,"Convenient and accessible. Located at Express Bus Terminal station, exit 8. Love this place, neverending shops. Bought a few stuff from there. Suitable for females only. "
shopping cebter,"There are many shops and mostly selling ladies clothes, shoes, accessories and beauty product. Prices are comparable if not cheaper then Myeondong though atmosphere is not comparable. There are also phone accessories shops as well as food outlets. "
Recommended for women's clothing ,"I personally enjoyed shopping here more than the Hongdae shopping street (for women's clothing). There are two long rows of shops parallel to each other selling lots of affordable women's aparrel and jewellery. Not exactly premium top-class items, but decent quality for the prices. Did not see any menswear but I did not manage to explore the whole length of stores. It's a good shopping option for a rainy day and there are a couple of food options located at the end of the indoor shopping street. "
Six days in seoul,"Actually this is the second time in Seoul, but this time me go shopping in express bus terminal underground , really its good experience , good quality, cheap, we enjoyed so much there, everybody whom visit Seoul should go there."
Endless shopping but a better experience on weekdays,"Endless rows of shopping for everyone including shoes, clothes, accessories, spectacles, household stuff, food, anything! I made the mistake of coming here on a Saturday and ended up having to jostle elbow to elbow with people with or without trolleys. Beware of wheels! This is directly connected to Shinsegae Department Store, Shinsegae Duty Free, and JW Marriott hotel so its quite the weather proof activity which can be a god-send when you are caught unprepared. Mostly for ladies though, didnt see alot of men's stuff around."
Great Shopping Place for Ladies Clothing,"There are many many shops in this shopping area and most shops offer very reasonably priced female clothing. To me, it's the best place to shop for clothing & accessories compared to myeong dong, Ewha Womans University shopping, namdaemun market and dongdaemun shopping district! You can give a miss to all other shopping area but not this one, especially if you're looking for fashion wear!"
"Chanel, Hermes and more . . .","There's not an upscale retailer which is not represented, though one may have to wait in line to get into the store. In addition, Shinsegae has a large store with an exceptional food market in the basement."
Visit if you have time,This is a large underground shopping area with many shops selling clothes and accessories. We find that the shops sell similar things and the vendors are not friendly. Visit only if you have time.
You should come here before doing any shopping in Myeongdong,"If the purpose of your trip is to shop clothes in Myeongdong, you should come here first.The same item can be 30-80% cheaper than myeongdong or other tourist area."
Adequate and out of the weather ,I did some souvenir and gift shopping last weekend when the rain was pouring down and i didn’t wanna stay in my flat all day. I took the Metro No. 9 express line (fantastic!) from VHS station and arrived at Express Bus Terminal very quickly. I wandered around underground and found everything i needed at reasonable prices. Its not the best in town but all in all it checked all the boxes.
Mostly Ladies Boutiques,"2nd visit here. Mostly ladies boutiques, others like socks, HP covers, shoes, cosmetics, men clothes etc. It's basically 2 rows of shops parallel to each other, walk 1 side then u-turn & walk the other side.Somewhere u will find a bread shop, the corn cheese bread is yummy! this underground shopping is link to Shinsegae shopping mall. Good to shop here when weather is too cold to stay outdoor at nite."
Lost ! Lots !,"This place has changed a lot since I was there at least 3-4 years ago. It's brighter but more confusing. First, the there may be exits to the subway which you need to exit twice. That's mainly because express bus terminal stations is an interchange (bus and subways) with many lines. The upgrades and restructure of the underground space caused all this weird exits and the signs did not always direct you completely. Eg. I was looking out for exit 3 and along the way, that signage was lost... I had to base on my intuition and memory to navigate out.. worrying if I may end up entering the station twice and paid again. Once you get out of the confusing subway exits, you should walk within the underground shopping street. The place is crowded with people but well organized. You could also consider shopping in the mall area (where Shinsegae is). There are shops there that offer direct tax free discount with freebies if you bring along your passport and your flight (out of Seoul/Korea) itinerary for their input into the system and verification. This saves you time in the airport, hunting and waiting for those tax-refund machines."
