review_title,review_body
Different kind of light show,"Quite a distance walking from express bus terminal metro station, anyway it is worth it watching the light shower where water jets coming out from side of the bridge. The timing of shows are 7.30pm, 8pm, 8.30pm, 9pm. Each show lasts around 20mins. There are some food stalls nearby where you can get a quick snack. Restaurants and cafes are also available."
Better seen from the hanging cafe on the Dongjak bridge,"If you want to get a better view of the entire Banpo bridge go to the hanging cafe on the Dongjak bridge, you will see steams of colored water. If you want to see it up close, take the #9 line and exit at the express bus terminal, follow the signs and you will walk about 20 minutes along Banpo-daero until you find the entrance to go under the bridge, follow the signs that say floating island and walk another 10 minutes to Banpo Hangang Park. Make sure to check for schedule of shows. When we went there there were only 3 20 minute shows starting at 8 pm every 1/2 hour. From here you can walk to the man-made floating islands to watch the colorless steams of water and the bright colored lights underneath. I recommend 1 to 2 hours mostly because it takes time to get there."
Great on an evening ,"I loved this area! Went on a Friday night, watched the show which was very relaxing! Then walked over through all the other buildings, and a night market with food trucks! I think its worth seeing, and ita free!"
Light show ,"Nice parc, perfect for strolls. At night, the bridge has a light show. It just misses music but it’s a nice show. It’s best to see it when it is really dark. "
Light show ,The light show was quite average and certainly not worth the 30 minute bus journey we took to get there. It was not really a ‘show’ but just coloured lights on the side of the bridge.Definitely worth going to if you’re in walking distance but not worth going to if you have a longer journey. 
Good vibes,"Good times don’t need to be expensive. Come here for a night out. Bring a friend along. Sit down on the stairs, or bring a blanket. Grab some snacks and drinks from the local food truck. Enjoy the colorful water fountain show. Afterwards, walk to the floating islands. Take in the summer air, the colorful lights. Enjoy yourself. Time spent here is quite magical. "
not that spectacular,"I went there with high expectations and was a bit disappointed. It wasn't as colorful as i imagined, it was just a really long water fountain.The park near it was nice to hang out at night though. Lots of food stalls are open and there are live performances too."
More spectacle than spectacular . . .,. . . is how one tour guide accurately describes this attraction. We walked from the JW Marriott Seoul and were less than impressed -- but the Banpo Hangang Park is lovely for sitting out on a cool Seoul evening.
A great picnic place!,"It's great for picnic on Spring or Fall. You can enjoy the fountain also at night, but it's only beautiful after the sunset. Luckily there was a firework when I visited the bridge, so it's mire beautiful."
Disappointing,"The descriptions make it seem like a place you really want to go, but I was disappointed when I saw the 'show'. They play music and the fountain moves up and down a bit and does a wave pattern and that's pretty much it. You can barely see the coloured lights. I loved the buildings on the other side of the road, though. They change colours too and look beautiful."
Amazing,Lots of people visit here in the evening for light show. There are a lot of food trucks and mobile shop here. You better prepare mat to sit on the floor while the show in on.
Okay lah,"Its something new, fountain bridge but not colourful enough if you want to take pictures with it. They played songs when the fountain comes on which lasted 20 mins or more. We left after that cos theres nothing much to do after you have pictures taken unless you want to enjoy the cold wind."
Not so exciting visit,"Went there as it supposed to be a rainbow fountain festival only to find out that it only happens on Friday and Saturday nights when we reached the place.Without this feature, the visit was only so so and probably not worth the hassle going there. There were some nice lighting (but not a big area) to take some pictures."
