review_title,review_body
Tongdosa Temple,"Well worth the effort to get here, yes it is a bit out of the way, but when you see this beautiful temple you will forget about the journey, great hiking trails all around, fantastic areas for picnics so make a day of it, don't forget your camera, though you should not take photos inside the temple."
Beautiful temple complex,"We have been to Tongdosa temple today. It was quite an adventure to get there (metro to Busan bus terminal), 20 minutes in a nice bus and 1,5km beautiful walk. It was all worth it! We have tried in advance to arrange a temple stay. Unfortunately my mails to the website are still unanswered. On Tripadvisor the latest Review was outdated, so I thought that something was wrong with this site. Now we have seen it, it feels bad that the temple stay could not been arranged. Happy we did the half day trip! Good to combine with Beomeo-sa temple. "
"1400 Years old, serene, lovely in all seasons","I'm an English teacher nearby, as an assignment I had my students write on, ""a beautiful place in Yangsan"", all except one stuent chose Tongdosa. One of the students titled their paper something like, ""the four colors of Tongdosa"" explaining why Tongdosa is beautiful in all four season. It's an absolute jewel. Every time I visit I feel peaceful and relaxed. There are enough tourists, that you don't feel like your intruding in a sanctuary, but it doesn't feel crowded. There is English signage everywhere explaining the stories and meanings of different shrines. It was originally established during Korea's first regnant queen, Seondeok of Silla. One of the hermitages is dedicated to housing artifacts of the Buddha, including a bone of the Buddha, brought from Tang China by the Temple's founder Jajangyulsa.It is not only a historic place, but a living place. Once when I went, a local artist had installed multiple statues of ""The Little Prince"", with signage saying that the Little Prince reminds us of our childhood, and we can try to look at Tongdosa through the eyes of the little prince.There is a great museum, a spacious picnic area, and hiking trails above.If you're in Busan it's a bit of a nuisance to get there, but it's an absolute treasure."
Serene temple in beautiful countryside,"Even in the pouring rain, the temple and the landscape made an impression. A rather simpler temple than the ones we had seen in Japan, it conveyed a sense of peace and calm, nevertheless. Surrounded by bamboo and pine tree forests, the temple and the scenery represent the beauty of Korea, as put by our Korean friend. We were lucky enough to be taken there by our friend, as the temple is some way out of Busan. "
A beautiful and serene Temple near Busan,"Tongdosa is beautiful. It is a way out of Busan, but well worth the visit. There are no statues of Buddha, but there is a special picture. The Temple houses relics and is a major Buddhist place of worship."
MAJOR TEMPLE IN BUSAN,Tongdosa is one of the 3 major Temples in Korea Because the Real Shrines of BUDDHA are Preserved there.
Tongdosa - a fine temple near Busan,"Tongdosa can be reached by a 30 mins bus ride (from the Nopo metro / train station at the northern outskirt of Busan) plus 30 mins very pleasant stroll from the bus stop. It isn't mentioned by most tourist information brochures / sheets / maps although it is one of the 3 jewels of temple in Korea. It represents the Buddha because it houses the Buddha's sariras. The other two are Haeinsa near Daegu that represents the dharma because it houses the 80,000 wooden blocks of Tripitaka Koreana; and Songgwangsa near Gwangju that represents the Sanga because it's trained many famous monks. We are lucky to be able to see all 3 of them. Tongdosa is my second favourite after Haeinsa.After getting off from the bus station, it's less than 10 mins walk to reach the entrance gate (where we need to pay a small entrance fee like most other temples). Beyond the gate is a long walkway called ""dancing wind & cold pines"" path by a river, surrounded by many tall pine trees and decorated with stoned lamp posts. We reached the temple ground after a wonderful 20 mins stroll. Many timber buildings inside the temple ground are quite raw in design but offer a very harmonious and peaceful feeling. The small museum houses many buddha paintings which is gem. Behind the hall at the back of the temple ground is where the Buddha's sariras preserved. It is a restricted area but if people are interested they can have a glimpse through. We really enjoy the natural, unpretentious, harmonious and peaceful atmosphere of Tondosa."
The place you can spend some time!!!,"More than 1,000 years old, the temple contains the history of Buddhism. Plenty of monks, buildings, statutes, springs and scent of nature you can enjoy. Interested? I recommend it is the place you should visit if you want to know Korea. The location, close to Busan, the 2nd city in Korea."
Drive-in temple park!,"It's a really big and interesting temple complex, but the most interesting is that you can get into the park with your car and you can drive through the whole park, from one temple to the other. The nature inside the park is, at least, as beautiful as the temple buildings!"
History and sights all in one place Stunning!!!!,"To get here you can walk, drive, taxi or take a bus (then a 20 minuite walk approx).The temple is set in some fantastic landscape with forest, rivers and paths. Really is a tranquil place. I am not religious but even I admit I was impressed with this place. What gets me is that entrance is free, something other nations should offer. Facility are very good, food, drinks and shops. great place to spend the day and maybe take a packed lunch. Pleased I was able to see this."
