review_title,review_body
Pleasant stop,Need only about 2 hours here. Combination of botanical gardens and kids amusement park. Pleasant way to take a walk through wooded areas on Jeju island
Different Sceneries ,A very huge place. You need to check on the weather before going to the place so that you will have a splendid moment.
Worth a visit,We enjoy the visit. The place looks magical. We couple enjoy it and so thus our young adult kid and 9 year kid. Each of the stop is worth the visit. There are coffee shop and snacks in each of the stop.The best stop is the last stop wherein there are so many beautiful flowers fully landscape and so good to take pictures. We visited autumn. The place is clean the restrooms are clean. I love their coffee its worth the visit. 
Beautiful Place,"A very nicely organized theme park with different views at different stations. If you like to take pictures, a good half day can be spent there."
Good way to see some nature trails with kids or those who can’t walk too well,"If you want to see some nature trails but can’t do long distances over natural rocky ground, then this will suit. The train ride to each destination makes it easy to travel. The walks are well groomed. Plentiful toilets. There are some theme park like features, such as boats & a pirate ship, to keep the young ones entertained along the way (at extra cost for some)."
Great outdoor place for kids and family-fun locomotive train! ,"Great place for kids and a family-went with 1 year old and 3 year old and both had a blast. It’s 12,000 per adult and 10,000 (Korean Won) for entrance and you ride a train to 3 different stations. We only stayed at the first station as we didn’t want to skip naps but it was wonderful-big open areas to run through and lots of nature. Can be congested at points but runs smoothly and big enough to find some space to yourselves as well. Didn’t check out toilets/facilities as it smelled a little funny but run very smoothly-not chaotic or anything even during Chinese National holiday week and the first sunny day in a few. The staff was all friendly and we were so glad we went! "
"Good for a family day out, green and refreshing",Good to visit with family and children. the train ride takes you to different spots where you can relax and enjoy the natural beauty. Access to many areas are restricted and you need to stay within the designated areas. Staff are very helpful and polite. lots of cafes around to rest and have a quick bite.
Maybe it’s winter so...,There is nothing much to see at all. Bare trees and plants. And super cold in March. The only fun to do is the train ride that’s about all.
Interesting sights,Ice covered trees provided a beautiful vista and provided lovely background for photos. Train rides from site to site made it easy to get around and enjoy park. 
Great day spent outside with good weather,"It was a good experience for me family with 2 children as they enjoyed ut the most. Weather as a bit chilly even during autumn, so bring extra layers with you so that you can get confortable. The train ride at the start of the trip really feels like the highlight of the trip, although you can board the train on and off later to get from one garden to another. There are 5 stops for you to stroll around, toilets, cafes and other facilities are available and very much well taken care off. We had a great time all in all. Highly recommended to friends and families. "
Beautiful landscape,"Unfortunately, when we arrived it was a raining day (moderate) but we managed to cover the whole place. 4 train stations/stops. Each station shows a different landscape and beauty. 3rd stop (flower) there is a hot footbath area to relax before leaving the area. We took the walking trail to the 4th stop and enjoy the forested route and chilling day after the rain. Entrance ticket is KRW12,000/pax (group of 5 & above) "
Fun experience," Eco Land Theme Park - A great fun day trip is a must here, I recommend to go with friends or family."
Nice theme park,Very nice place and worth a visit. It will require you around 2 to 3 hours to visit the entire park. Train ride is nice too. Beautiful scenery. Love how the park or each train stop has different theme. It maybe very hot during sumer time
Nice Train Ride,The park will appeal more for kids rather than adults. The train ride provides a nice experience and there are some attractions in the park that caters for children. The tour in the park took us about 3 hours to finish. 
Nice Place ,"This park has many nice attractions featuring nature and props for photo moment. Personally, it will be great to visit during spring where the park is peppered with plentiful of flowers. There is very little shades and therefore kids need to have their sunblock on. My kids love trains and they had trains to bring them around between the stations. Great fun!Worth the visit but please do not expect it to be universal studio or Disneyland type of park."
Just a park,"Nothing much about the park that wow me. Supposed to have full bloom in of the stations, but nothing at all. quite disappointed though. Will not return after 1 visit."
Disappointment ,Read mixed reviews about this place.However decided to go ahead to visit.Disappointed as it was very man made.The only thing that was natural was probably the short walk through the forest.Personal opinion would be that it’s not worth the visit for the price.
Nice scenary,Enjoy the activity which is mainly train ride. December is quite cold and wish the centre to have more areas to warm up. 
Nice train ride with scenic outdoor areas for picnics,"For family with kids, this will be a nice to visit as there's a nice steam train ride which brings you around to many scenic areas within Eco Land. A nice break from all the nature views and long trekking walks."
For nature lovers,"Its big, full of trees, nice view for taking pictures. Dont go there during holidays, lots of people, long queue for the service train that will bring you around. We didnt enjoyed the place coz its raining during our visit. The windmill area is beautiful, not so much flowers around coz its start of autumn. I think its better to visit during spring season. "
Nice Place,Visited with wife and found it to ba a nice place and relaxing.did the train ride and was fun.This place I think would be great if visiting with young children
Very nice and romantic theme park,"We visited just right before winter ends, so the timing was perfect. Make sure that you come early in the morning as the crowd builds up quickly."
Wonderful place to visit with children,There is a great deal to see and it was excellent for us as teachers with over 50 children in our group.
Nice time outdoors,"This was a nice place in Jeju to take the kids, preferably in cooler weather because we went in July, and we were dying. Besides the weather, everything else was nice. There's a train that will take you to different stations. We only stopped at stations 2 and 3 because we brought our boys ages 5 and 7, and those stations had more stuff for them to enjoy. We probably could have stopped at all stations, but it really was just so hot! There were lots of places for photo ops, whether all cute or nature-like. The restaurant at the main building was very limited in the food that they sell. We ended up eating light food at station 2's cafe and also got drinks at station 3. All the staff there were very friendly and seemed to enjoy their work. Overall, nice place to visit. Oh one warning though, our rental car's GPS brought us to different places even though we entered the correct phone number and even when we asked someone for help and they entered it in Korean. Just make sure you research how to get there because it was very frustrating for us."
Nice and big park,"Every one enjoy in eco land, a place can be visit if u like nature,can be reach by public transport, must pay entrance fee ,big park with train "
Perfect place to relax and enjoy nature with kids! ,"Ecoland is a great place to hangout if you're traveling with a family and have kids in Jeju island. Lots of activities centered around kids at Ecoland. You buy a train pass for 12,000KRW and it takes you to 4 different stations with each stop has a different theme. Definitely a great to place to enjoy nature and have relaxing time with the kids. Train rides is short 5-7 mins between each station! Enjoy your vacation in Jeju! "
Too crowded and mostly man made,"A pleasant theme park with train rides around 4 stations. As it's summer, can see entire fields of flowers.Lots of man made structures and buildings for educational purposes.But does not really fit in its Eco Land theme and can be too crowded in weekends"
Relaxing and enjoyable ,"Not so much of a theme park, there isn't any rides apart from a train. But we had fun there, many gardens, landscapes and things to see. We walked the long Eco trail. The place is well maintained and clean. Wouldn't advise to go in winter tho, as many of the flowers won't be in bloom. "
Nothing spectacular,"So plot of good sized land and put in a very rudimentary""Disneyland""train, windmills, galleon ship, ponds, streams, landscapes. That's about it. Yes many photo-ops but not much else to do.Yes weather was nice on day of our group tour, but probably won't seek this out if on my own."
"Ordinary park, nothing special","Named as Eco-park but really artificial at all... Nothing special with ordinary decorations and plants. Fairly speaking, young children will enjoy the train ride but for adults/teenagers not worth spending time here..."
A Nature Park,Eco Land Theme Park has different stations each station differs from the other with a theme. I Love 2nd station where the windmill is and noah's ark. it's a huge area for family and i love the train too.
Ecoland visiting!,"By the time we visit Ecoland, it's already 4pm so time limited as it closes at 5 pm!We took a long train that stop at every 4 places of visiting.In the first stop, we went through attraction on beautiful scenery and artistic work and went to another second stops to wait for the train. Then the train took us to third stops and another attraction artwork of beautiful small houses and Christmas artwork and many others. Then we went to last stop that is garden which grows lavender,green tea and many types of flowers. It's a beautiful garden on the whole. On whole, I'll come to again another time again on next visit!"
Interesting but need maintenance for some areas,"It's a nice place and interesting concept but some of the attractions seem run down and nothing much to see.. It's good to go with kids to explore the fresh air or play area , got spare time or if u on tour good to pay a visit . If not there are many other places in Jeju with nice scenery to visit .. "
Close to nature,"If you love nature, this is a place you should visit. Nothing much to do , basically just walking and taking photos. But I personally love it ,because you can't find such a relaxing place back in a big city. It's good to visit during colder days."
Large park,This attraction is not theme ark but a large garden. In my opinion station 1 and 4 is the best area for taking photo. Down from the train at Station 1 and take a walk aroud 15 minutes to station 2 and take lots of picture :)
"It was good, nothing special","You can't expect more from a park. It is good though but nothing special.During my visit, it was pouring and can't enjoy the place to much. The park was managed well but really nothing excited me when strolling around. There were some theme park there and we can using train from one place to another places. Yeah.. it was ok."
Good half day,Great for kids. A fair bit of walking if you want to everything but I would highly recommend it for kids up to 10. 
GOOD for Photos,"I went during autumn but seams not many changes is leafs color at that time. love the view, flower garden, took tons of good photos."
