review_title,review_body
Clean and modern airport,Small airport linked by light rail to Busan. I enjoyed the utilization of space for casual sitting while charging your devices close to the food court. Th3 airport also has duty free shopping. It’s not a big airport though
Busy airport,Big pickup area of duty free products bought at Lotte Duty Free and Shinsagae Shop at Boarding. Checkin counters written on big signboard not specific. Portable wifi and sim card pickup area open early in the morning. Inside boarding area not much choice for food.
Pretty good,"Got there at 6am on a sunday to take a flight out. Surprisingly the airport was bustling. Eat before u enter. On the 2nd floor, there is one tonkatsu restaurant. I think. 1 korean restaurant and 1 food court. (There are other cafes and such. But food food.) Ate at the korean restaurant and food court. Food court served much better food. The restaurant tasted... preprepared? There's a small duty free inside."
Good Facilities / Standard Airport - Clean,First time here and it's quite alright.Nothing memorable.The Q for customs took about 40 mins - which is alright.
Friendly and helpful staff,It's a long queue for check in but the staff is really helpful. Tax refund counter is on the left after the immigration check nearby Gate 4.
Used multiple times,"Used this airport multiple times while living in Busan between 2012-2015 it’s fantastic. They have 7-11 beers behind security for about a dollar and you can walk around with them and drink in terminal! As a westerner I found this fascinating haha. If in they did this in the west, the airport would be drunk haha. "
Messy immigration & horrid baggage handling,"Gimhae Airport has excellent facilities but the software leaves much to be desired. Our flight arrived on time on Thursday 17 Oct 2019 morning but clearing immigration was a nightmare. The holding area did not have clear partitions for residents and vistors, there was a shortage of officials to manage the huge crowd of arriving passengers (mostly Koreans and visitors from China and Southeast Asia), resulting in jostling, random queuing and opportunist queue jumpers. The holding area for passengers awaiting immigration clearance was cramped and stuffy with only three counters catering to foreigners. We were among the first passengers from our flight to disembark the aircraft but we were in the queue for 35 minutes before having our passports stamped.Baggage reclaim hall was congested, noisy and stuffy, with baggage for up to three arriving flights circling the reclaim belt at the same time. We saw someone pulling a dented suitcase off the belt and snapping photo of it, while another carton on the belt was in a sorry state with part of the masking tape ripped off. Due to immigration delay, a ground staff offloaded the baggage from our flight to create space for others. Despite having our baggage clearly tagged 'Fragile' and 'Priority', the zipper had been forcibly ripped apart by Gimhae baggage handlers. Thankfully we didn't lose anything but Gimhae should improve supervision and surveillance of its baggage handlers."
good,I think this is one of my favorite airport because most of hotel in Busan allow guest check in after 14.00 so here arrange changing room for traveler. There is one near restroom. 
Limited shops after security. More facilities outside. ,"The airport is small so it’s very easy to navigate. If you arrive in Busan, after security most bus stops are just outside. The train station is only a 5 minutes walk. Everything is easy to locate and access. Issue is at departure. My flight got delayed so I was able to explore the airport. If you are expecting. Something like Seoul you are dead wrong. There are a few restaurants on the third floor and a coffee shop (Holly’s). There are only 3 restaurants after Security (Angels, Dunkin Donuts and a Korean restaurant). Strongly recommend to settle all food before security. There are also limited space/chairs. "
Small and comfy Airport!,"This airport reminds us of our home airport where the staff, people, and ambiance is laid back. I was able to purchase souvenir Post Cards to send home from the Post Office located in this airport, and mailed them without running around all over town! Sets the tone for the start of a good flight or to fly in! We had the pleasure of arriving early the morning of our flight back to the states, and we were able to appreciate where the good restaurants are, and there is plenty to choose, and where to get coffee or fast food! Behind the Security check point, at the gates, we found my favorite: Dunkin' Donuts! This mutt love DD!! We promptly sat down, and ate our awesome breakfast sandwiches, with a cold drink. We leisurely walked about, and then patiently waited for our flight! Customers can ruin the experience, but we took it in stride! So if you don't see anything you like to eat before going through Security, then more good eats await you! We were able to also find a 7-Eleven not too far from our gate, and I ran into it to grab some goodies! We can't wait to come back with wagging tails to this awesome airport! Mega Kudos!"
