review_title,review_body
Amazing Koreans show,Amazing Koreans showAnd amazing traditional Korean dress with traditional music and danceI highly recommend So nice and beautiful to see this showIt's just one hour
Cultural show was impressive,"The group I was with booked a dinner and cultural show at the Korea House. I had no real expectations but was pleasantly surprised at the cultural show.  The show gave you a good insight into traditional Korean dance, music, and dress - very impressive.  The dinner was a buffet.  You could get almost any type of Korean dish you would expect.  Service and food was very good.  Staff was pleasant and friendly, especially considering I went with a very large group.  I would recommend this as a place to visit if you are in Seoul for a couple of days."
Terrible service,"We request to book a table for dinner uso y their website twice, but not response. You can check the confirmation using their site; but is always as “checking” .... they dont even bother to inform you that is full. "
"Food is good, but it’s really about the show!","I had ZERO expectations for this as a cultural show isn’t usually up my alley but someone else on our trip booked this and it ended up being a highlight from our trip. The dinner is a multi-course affair and is based on royal meals of the past. There are 3 options, and they all come with plenty of food in tasting portion sizes. It’s not your typical Korean meal that you will find in the U.S. or even most Seoul restaurants, but it was all fine. The real treat was the 1-hour long show. The story is based on a Korean folk tale and is performed by a talented group of dancers and other performers. There are also musicians that play traditional instruments to accompany the performance. Without spoiling too much, there was also a fun audience participation element that was a nice surprise. In the end, it ended up being an entertaining way to see a little bit of Korean cultural history."
Korean Showcase,"Every time I travel with my wife we always spend one night watching cultural shows that represent the culture of the country we are visiting. In Seoul I think Korea House is the place. They offer different ticket options, like show and dinner, and dinner itself has different options, depending on the food you want to eat, or the kind of service you want to have, etc.... The show is a total representation of the old Korean cultures as shown through the evolution of their music and dance. The food...I don’t really like the food, but it’s worth it if you want to try culturally or historically sourced food, and the servers are wearing period Korean attires."
"Banquet. Many courses, excellent food and service.",This is the second time I have eaten here. There were 21 of us and everyone felt it to have been very good. can't fault ti really. Traditional Korean food in an authentic setting. Beautifully presented and excellently served. thanks.
Really great show,"I have seen thus show last month, and i think it is beautiful, elegant, highly professional , done in good taste. Go and enjoy!"
Excellent! Must see,I went there with my group and we had dinner followed by the show. It was AWESOME! The food was fantastic and very refined and the show was a must-see. You don't have to understand Korean as there is a narration and the action in itself was hilarious. We had great fun and I would definitely go again if there is an opportunity to do so.
Performance only,We did not eat at Korea House. The performance was excellent. They engaged the audience and provided an interesting story.
Great food and show,"It was a fabulous experience. Our driver and guide, Paul, were very good. Paul was very knowledgeable about the city and very polite, funny, and caring. The dinner was great, and the show was fantastic, although the sound was loud. Overall the experience was very good."
The coolest lunch experience I had!,"We went for a traditional meal, we didn't see the show. We initially balked at the price, but we got the mid-priced option and it was enough food. The meal was one of the best I had on the trip, and it makes for a very photogenic spread. For our weekday lunch, we were one of three total groups, and really appreciated a lot of the traditional touches (like taking off your shoes and wearing slippers to walk to the dining table. The food was excellent as well, very fresh and unique flavors. We wanted to go back for the show, but it didn't work out for our trip."
very entertaining show,I only did the show - did not get dinner with the show.We really enjoyed the performance which showcased many of the different traditional dances & music. The performers were also entertaining and engaging - audience participation was a bonus :)
Overpriced food and ok performance,"We went for the Pansori performance and dinner last night. Most of the performance was excellent - talented musicians, dancers and performers, but there was at least 1/3 of cheesy audience participation. Tickets for this were ~£35 per person for an hour.The bigger disappointment of the night was dinner. We went for the cheapest menu and that was still ~£55 per person excluding drinks. We were expecting 9 leisurely courses of royal cuisine in an atmospheric Hanok. Instead we got 9 courses in 55 minutes like it was the chef’s hometime with multiple dishes served at once in a neon bright room with no atmosphere. The food itself was perfectly tasty, but I enjoyed my £5 meal from Gwangjang Market 10 times more.Would not recommend due to how significantly overpriced it was for the experience. "
Lovely Dinner and a Show,"This was a graceful place, so dress nicely (Sunday best / business casual). Dinner was multiple courses -- you choose how many courses ($60 - $135 per person - read the website menu). The dinner menu described in English what each item was. Lots of small tasty bites. Be sure you wear nice socks - you must take off your shoes before you enter the dining room for dinner! The show took place in a small, beautiful theater after dinner. The one we saw enacted the story of an old Korean folk tale ""Sim Cheong"". The acting was lively ,sometimes comedic and the drumming on stage was dramatic. Other musicians on the sides were playing classic Korean instruments. The costumes and dance were amazing. We enjoyed everything immensely and were lucky enough to have someone else paying the bill. "
Good show but annoying tourists,"We went to see a show here, without the dinner. The place is really beautiful. However they allow cellphone use during the performance, so as the show was starting, everyone of the tourists in front of us took out their phone and they were recording it all and taking pictures all the time, blocking our view with the phones, it was really really annoying, and they kept doing it all the show. The show was really good, good story, everyone can understand it, they don't speak a lot in Korean so you're not missing anything. It was really funny but also really connected to the Korean culture. They have live music with some really cool instruments we don't have here in the West. The show was really worth while but I think the phone thing made us enjoy it much less. If you go I would recommend going to the front row so you don't get the view blocked from the phones."
Wow!,"My family and I are visiting Seoul and booked a trip to Korea House. The trip includes dinner and a show. When arriving we were greeted by women in Hanbok. The atmosphere is warm and welcoming while giving you a sense of something g special to come. We were ushered to our table, but first we had to take off our shoes. The dinner was phenomenal-too much to list here but the food just kept coming. We had the traditional korean side dishes, but also Korea. Crepes (savory), beef tips, prime beef, a seafood salad of octopus, shrimp, scallops, radish, and lotus, a warm green tea ginseng chicken porridge, bibimbap, sweets and what can only be described as grapefruit tea. Delicious!The show is an hour long and worth every minute. The cast interacts with the audience. The dance and music took my breath away. At the end of the show all I could say was “wow!” If you get a chance while in Seoul I would highly recommend visiting Korea house"
