review_title,review_body
A fun aquarium with plenty to do,Like all aquariums this had a wide range of sealife but it seemed more lively with children's show and feeding times etc. It is well laid out and a lot of fun
Below Average,To me this aquarium was quite disappointing. The interior is very cheesy. Almost everything is catered towards kids. Most tanks are bare minimum with very few corals for example or a lot of artificial decoration. At the exit the staff asked me to rate everything with an excellent score which is ridiculous.If you consider this a family trip and have small kids it might be fun. If you are an adult and aquarium enthusiast you better not visit.
"As aquariums go, this is average","Some of the exhibits are excellently put forward, but most are done for the young to like. Over 75% are children orientated. If you are an aquarium enthusiast, and over the age of 18. I would say save your money. "
Shockingly bad - a tacky theme park not an aquarium,"This is not the place to go to learn about the wonderful, fascinating, astounding life of sea creatures. This is a tacky theme park pandering to the most base instincts of people with an interest in only one kind of animal...themselves. The beautiful fish here are entirely, completely overshadowed by garish, over-powering displays and interactive gimmicks that scream just one message loud and clear: these creatures cannot possibly be interesting to visitors. No: to interest you, we must give you interactive nonsense where you can pose as penguins, dress up in animal hats, sit on swings pretending to be in the fish tanks and serve you a grumpy looking human mermaid swimming among fish. Everything here diminished the sea creatures and signaled that they must be supremely boring; instead visitors must be entertained in the most banal and crass way imaginable. What must this be teaching impressionable young children? That only by posing with a selfie stick or videoing themselves as the star attraction are they truly alive? My son and I watched open-jawed as young children directly in front of tanks and displays failed to look even once directly at the animals; instead they watched them only through the screens on their mobile phones and fir just a second or two, pressed record and moved on. Neither their parents nor their teachers - nor the aquarium staff - encouraged them to find out about the habits or behaviors of the fish and sea life. There was decent written information available - but instead of being steered properly to look at it, they were instead served up mermaids and selfie opportunities. And to add insult, all this was hypocritically couched in virtue-signaling statements about ‘missions’ and ‘saving the planet’; by people who seemed not to give a fig about the actual beauty of the exhibits. My advice: don’t allow mobiles to be turned on in the aquarium. Bring in an expert - someone who actually likes and knows about animals - to talk about them. Don’t create an environment that deliberately hypes up and over stimulates the children - and the adults - but create a calm, quiet contemplative atmosphere where people can start to learn to watch without laser lights, screens and video trickery. Of course, in our society, there is no hope for any of this. But shame on Busan Aquarium for encouraging the worst in people rather than leading by example."
Good aquarium ,This aquarium is located right on the main beach and very easy to find it. A family place where you can entertain everyone.
Sad little place ,"Quite a sad excuse for an aquarium. It has plenty of species, and some of the tanks are well put together, but the larger tanks are nowhere large enough for the sharks housed there. It’s also very overpriced. Very disappointing indeed "
Great for Korean children,"The aquarium is quite big and houses a lot of different species, but if you've been to any of the European aquariums, e.g. the one in Barcelona, you won't be that impressed. The interactive features there are all in Korean but international children might be able to enjoy them too especially the technological entertainment. The space is pretty crammed and loud."
Very first time in Sea life Busan Aquarium,One of the most impresssive Aquarium I have ever visited. It would be quite suitable with parents with kids or group of friends or couples. Many undersea unique species would make you feel joyful and amazing. I highly recommend to visit aroud 5.30 pm everyday so that you can get chance to enjoy a mini-show in front of deep reef tank held at 5.30 pm daily. You would need to line up 30 minutes before the show to account for a good seat. 
"If you like Sealife, Go here!","We went later in the day towards closing, so we missed all the shows/extra stuff to do. But walking the aquarium alone was great. Well set up and laid out. Went through 3 levels of nicely set up aquariums with various species with explanations. There were many hands on areas for kids and lots of photo opportunities. There's a place where you can go out on a boat over the biggest main shark tank which would be amazing. We didn't because it was too late. But the crowning awesomeness was the underwater tunnel and main tank with some 8 sharks of a couple species, giant fish, stingrays, a couple manta rays I believe. And a turtle. All freemoving ""around"" you. It was mesmerizing and awesome to watch. Great for kids and well laid out. Highly recommend."
Aquarium,Not impressed at all..have been to many much nicer and bigger aquariums...what kind of aquarium has a fashion section? Really crowded and Koreans are just rude and run over your feet with strollers and consrantly run into you amd don't even acknowledge it
Conveniently located aquarium..,"I am giving this aquarium a 4 star because there wasn’t a big whale shark like Osaka’s aquarium. Other than that, it is definitely a place to go if you are bringing family. It has all the essentials of an aquarium and there are pretty spots for photo opportunities. Conveniently located near Haeundae Beach and the shopping area nearby, plan your trip here wisely. You can easily spend half a day here or more. There are some hotels located nearby and subway is at the end of the road. "
Convenient place,"We went to the sand festival right on Haeundae beach. The Sand festival was so disappointing that we decided to go to the Aquarium just to have more to do. The Aquarium is right on the beach so if you’re already there, you don’t need to drive further. However, it is expensive, look for a coupon if you’re planning to go. It’s very pretty and mostly underground so it’s a nice place to escape the beach heat. Wouldn’t drive there just for it, I have seen better aquariums but the kids are easy to please and they did enjoy it. "
Excellent quaint aquarium but still educational and interactive...,"Was here when it just opened, middle of work week so I had the place all to myself. Very interesting take on sea life education. Very helpful and friendly staff. I also enjoyed the interactive exhibits, even the passport stamps! I had fun! As a bonus, this attraction is along Haeundae Beach. That's definitely the cherry on top of the cake!"
"Very nice, not too big sea life","Nice, not too big, just for small trip with family. Something to play for children. Interesting way to show the fish. Nearby sea and beach. Not expensive. Just for 1h walk. Gift shop, restaurants, restrooms. All what you need. "
So much fun!,"Right in Haeundae Beach, Sea life is an underground aquarium, entry fees are about 15$.Features so many different sea critters and fish, even got to take a selfie with a sting ray!There is a glass tunnel that cross the sharks' tank, you can see them up close! So close I took a picture of their teeths!Some tanks have ""walkable"" spots, glass windows on the ground and it feels like walking on the water with sting rays swimming right under your feets! "
Very nice aquarium,"We were staying on Haeundae Beach and the aquarium was within walking distance. This was an activity I had planned to do with our two teenage girls while my husband was working. It's not much to look at from the outside and we almost decided against doing it, but we had the day to explore and decided to do it. We received a discount because we arrived early (before 11am). It was crowded with alot of students from lower schools, but we thought they were all adorable in their little school uniforms. We were not disappointed and really enjoyed the aquarium."
Small and boring aquarium ,"Bought tickets through Klook but really regretted even though it is cheaper than buying through counter. It is small and probably meant for parents with very young kids. Some of the feeding shows do not have proper seats and small space, thus people standing behind or young kids will need to ride on their fathers' shoulders in order to watch the feeding shows. This is probably one of the smallest and most boring aquarium that I had visited so far."
Amazing aquarium ,This one ranks up there with Georgia Aquarium and Sea World in terms of fun activities for the kiddos. Our son loves fish and he had a great time. Lots of activities and interesting shows. 
Nice Aquarium with a little extra,Nice aquarium in an original setting. Although I have questions if the well being of (some) fishes is important for the management. (f.e. you are allowed to touch some fishes). Entrance price is quiet high.
Nice place for Kids,Our kids loved the aquarium and a good place for a rainy day in Busan. Small kids could easily see the fishes and play in the different activities in the aquarium. Good location and nice beach close to the museum.
Great Afternoon Activity,"My partner and I really enjoyed our visit to the aquarium. It was larger than we expected. All of the animals look well-cared for and placed in appropriately-sized tanks. It was clean and all of the staff were very friendly. I bought the virtual reality tickets, and even though they were only 4,000 each, I would say that I would suggest a hard pass on that part of the aquarium. It wasn't that great, or worth the small line we had to wait in. It was better to just enjoy the real fish all around us. I would recommend visiting the SEA LIFE Aquarium to people visiting Busan."
Nice place to visit with kids,It’s good place for kids to visit sea life but pretty small inside so we recommend visit here on week day or low season.
Perfect for family with young children ,"We spent an hour there. My daughter really enjoyed the place. The entrance fee is pretty high, but this time it was included in the package tickets we bought for the BOF opening concert."
Not much to see,"Bought tickets via Klook it was simple easy with free VR (5mins). It was very easy to spot - Big Signage “SEA LIFE”. It’s not expensive but debatable if it’s worth it. The place is narrow and small comparable to other Aquarium but the main Aquarium is fun to watch. Sharks swam extremely near to the glass which was really fun. Take note for feeding time. Souvenir toys are overpriced- KRW20,000 each. "
Under the beach ,It’s all underground with small entrance that you’ll be shocked once you go down and see all fish and marine life 
Great Experience!,"Nice selection of fish, enjoyed watching them feed the penguins and the sharks! Pretty neat to see and touch some starfish and shells!. Neat to see the shells move around!"
Great for children,Great aquarium for children and if you're looking for something to do around the Haeundae area in Busan. It's one of the smaller aquariums I've been to but still has great sea lives.
"Nice, but expensive","A nice escape from the heat, if you're looking for one. It has nothing you cannot find in a regular zoo though, so it was a bit expensive in my opinion.Exit 5 or 7 from Haeundae Station and walk straight in the direction of the beach."
Excellent aquarium and worth a visit,"The entrance fees are 29,000 Won for an adult and some add-ons such as glass bottom boat tours are available at additional charges inside. The aquarium has a huge variety of fishes and aquatic animals. There are a large number of sting rays and sharks, which can be viewed from walk though pools and tanks. They also allow the kids to get a feel of some marine animals such as star fish, oyster etc., by taking it in their hands. An enjoyable time and great place for the kids."
Worth a visit. No regret.,"The price is 29,000won for 1 adult, 23,000 for a child, if there are 3 foreigners then 1 ticket is free, show them your passport. Open until 19:00, located right at Haeundae so very convenient. I love the space so much I will definitely comeback, even though I am an adult. Drop by the place when you come to Busan. We saw amazingly huge fish and hang out with some stingrays. I think one shark really liked me."
Great Aquarium ,This is a very nice aquarium with a lot of things to see . Very close to Novotel Hotel . Nice informative place for all with very nice staff .
Very interesting Aquarium,"Very interesting Aquarium, with big different sectors, large pool that you can travel by small boats, live events and happenings."
Enjoyed!,It was raining most of the time we were in Busan so this was a great indoor activity. My family and I enjoyed seeing the sea life and the shark and stingray feedings. Get discounted tickets online to save money. 
Nice variety of animals,"Though it's quite small, there was a huge aquarium at the end which had big sharks, turtles and rays which was amazing. I also loved the jellyfish section. Great place for kids and good english signage which was fascinating to read about. A bit pricey but a fun way to spend a rainy day."
Great!,My husband and I had a great time exploring this museum. The best part was they had sea life that we have never witnessed in the U.S. before. Extremely clean and fun! They have signs in English. My favorite part was the spotted hallway and the sea worms!
Nice Aquarium,"Pretty straight forward aquarium. I recommend going after 4pm during the weekday. Price for two people was 29,000₩."
Fun and interesting aquarium ,"We visited this place before exploring Haeundae Beach. It’s a fun and interesting aquarium with lots to see for everyone. The staff are friendly and they have a nice touch pool area bound to please kids. They also featured a short mermaid show which will fascinate kids, abit boring for adults. Won’t hesitate to bring kids here! "
"The Aquarium is nice, the views around it are just as nice if not better",This is a really nice aquarium. The thing that sticks out the most are the beautiful beach photos we got right outside! Take a nice camera and stroll around Busan for great food and scenery.
Sweet place,"Went here with my cousins, the aquarium was nice with many varieties fish .Not too big but was ok "
Waited in Line,"I waited in line around noon for about 1 hour and didn't make much progress. I would suggest going early in the morning to prevent long line up especially on weekends. But from what I have heard, it is really awesome inside and Busan is a great city! Good luck getting in!"
More enjoyable for the little ones,"We went as a family, with children range from 6 months to 13 years old. Our 3 children aged below 10, enjoyed it more than the other two. But a very conveniently accessible attraction if you're staying near Heundae beach!"
Overpriced,"Their collection is ok but compared to other aquarium/ zoo i've been, i think it is overpriced because it is smaller. The way they showcase/ display the marine animals are nice"
Small and uninteresting,"Compared to other SEA LIFE Aquariums, this one in Busan is pretty small. It had all the usual displays and exhibits and nothing much else. Was a little disappointed as the tickets weren't cheap. Accessibility is quite ok as you can take the subway but will need to walk for about 10 minutes to get there. If you have been to other Aquariums, I suggest you give this one a miss and save your money."
Fun,Small fun place to visit. Little pricey but still worth a look. Clean facilities were a plus. Exhibits were interesting.
"Nice aquarium, good for kids","Wisited in the morning so there was not big crowd. aquarium is full with animations and including an interactive ocean shoreline where you can walk into the water that isn't really there. Took me 30-40 min to see all, various fish can be seen, some sharks and penguins. Not overpriced, and good to spent some time with family. sound sistem was great."
Nice but small Aquarium,"This aquarium is very nice with loads of animation including an interactive ocean shoreline where you can walk into the water that isn't really there, as well as touch screens where the computerized fish on the screen will bite your fingers, glass walkways over the aquarium floor and shark and penguin feedings. They also have glass bottom boats that you can ride in for an additional fee. Worth a visit and doesn't take a lot of time to go through."
Busan SeaWorld Aquarium Review,"Pretty cheap admission price as far as aquariums go, definitely aimed at younger audiences though. Nice variety of fish, but nothing to the extent of dolphins or sea lions. Gift shop was also disappointing, mostly a collection of cheap stuffed animals and zero souvenirs that actually said ""Busan"" anywhere on them. Avoid this place on weekends or holidays, even in the morning it's a madhouse trying to get through."
ITU World 2017,This is one of the attractions near our hotel. It is good for spending time with children and family. Sea life is one of the tourist spot in Busan. It is full every Sat and Sunday
For the kids,"If you have young children, like lots of noise, this is for you. The sound system is blasting, and when the screams of lots of young children's groups are added ... lots of groups during our visit .... the cacophony of sound is such you cannot have a conversation or hear any announcements.There is a carnival atmosphere throughout with bold colours and brightly coloured plastic scenery. The assistants add to this with bizarre headgear and jollity. It's all a bit too much for the faint hearted.They do have a fine collection of sea creatures and a colony of penguins but any thought of meditating on their grace and beauty in quiet surroundings can be forgotten. Don't know what the fish feel about such noisy humans!It's pricey too, 29,000 won. However if you produce a two for one voucher obtained from Emart in the resort when you spend 30,000 won in the store .... easy to do when on holiday .... this reduces the price by half and in my opinion that is a better reflection of the value of a visit.The sea aquarium at Monterey Calif. is still my favourite aquarium by far, more educational, better hands on experience and noise free."
A Sight Worth Seeing!!,"We took our 2 year old here and she loved every second of it. They have a interactive fish area, where you can touch live animals. The have mermaid shows and feeding times so you can watch anything from otters to sharks to Paranas eat. Truly wonderful trip. "
Awesome aquarium for the price,"I believe I paid 29,000 wan for a ticket. The displays and aquariums were nicely taken care of and had a great selection of ocean life. I also bought the glass bottom boat tour for 7,000 wan, that was money completely wasted. The plexi-glass on the bottom of the boats is so scratched up it is no good for pictures at all. Save your money and just enjoy seeing all the sharks and rays in the tunnels after you pass the glass bottom boats."
Noisy!!!,"Everyone told me this is a 'must see', but I found it a bit disappointing. It feels more like a noisy theme park experience. I don't understand why you need loud music to accompany observing fish and sea creatures. A tour guide was explaining to her group using a loud voice (amplified) in order to be heard over the already loud music. I think it is a lot of fun for small kids, as they add to the noise as well. I recorded between 80 and 90 dB (which is the sound you experience next to a freeway). We completed the whole aquarium in about one hour. Please note that you can download a discount voucher for foreign tourists."
Surprisingly Good,"I love aquariums and the best in the world, for me, is the Monterey Bay. While the Busan version is not Monterey, this one was surprisingly interesting, interactive, and geared to the little ones. Had it been not so crowded, I would have enjoyed it more. It's an underground, sprawling place that's pretty small, and the place was packed with kids and strollers the size of Cadillacs as well as their parents and me. The theme of the aquarium is ""the sea at night."" So everything is dimly lit, fittingly so since it's underground and there's no natural light.. There's a 9 ""stations"" for kids to get stamps, an interactive ""petting"" area, and regular feeding times. There's an auditorium and a virtual reality experience. The place is geared to teaching and learning about marine life, and it's a marine rescue site. Especially if you have kids, this is a great experience. It cost 29000 for adults but my concierge gave me a 30% off coupon."
Exciting and educational,"Nice aquarium located near Haeundae Beach. Has fantastic displays and walking over and next to the glass tanks with fish, dolphins, sea life, sharks etc was a highlight. Visited here with my partner in summer- July 2014."
Very Cool!,"This is a fun vacation spot! Lots of levels and things to see. I would skip out on the glass bottom boat ride though, not worth it and extremely hot "
Great idea for a rainy day in Busan ,Our son is 5 and he loved spending the afternoon here. The place was a bit pricey but the number of animals they are taking care of makes it worth the cost. We will return. 
Average aquarium,"I have been to SEA in SIngapore before, so felt nothing exciting here. Felt that they focus more on lighting. Kids may find it exciting."
Smaller than Singapore but roughly good,"This is in haeundae beach, on th beach. I went to Singapore aquarium, here is a smaller than there but they have a really beautiful fish. If you have a time visit it"
