review_title,review_body
Just OK,"Maybe this place would be better after dark. I was expecting to see more related to the film festival, but instead it was mostly for shopping and eating."
Best place to shop ,And stroll around in Busan central. You can find anything you e or need here. There are artists performing songs in the evening. This place has a very good vibe.
Streetfood and shops,Stroll and local street food. Went in the evening for dinner and enjoyed our night stroll. You can also see the celebrities hand-prints around the area.
Food!,Came here for food! Nice place to hang out for shopping and food and an easy walk to Busan Tower (escalator that leads up to the park and tower)
Crowded Walking Street,"BIFF is very near to Jagalchi Market, less than 10 mins walk. If you want to shop local products, you should come here. From cosmetics to clothes to foodstuff. This place is not as nice as Myeongdong or Insadong in Seoul."
Like Myeongdong of Seoul,"The place can be crowded with all the cafes, boutique and restaurant surrounding BIFF. It’s fun place though like how you would probably enjoy myeongdong for shopping. "
Awesome!,"What a wonderful venue! Its huge and very lively! Food, events, shops... Tonight they had a special performance followed by a film screening for differently abled people. This talks about how a city feels so caring and responsible towards her citizens. Bravo!!! "
Busy walking / shopping area with lots of shops and small restaurants,"This is the area we spent most of our time in Busan walking around, visit shops and small restaurants. The shops have good prices and are within close proximity.Each shop (even within the same chain / brand name) have different promotions, which we find unique and makes discount product digging much more interesting.The area usually starts late ~10-11am and cools down after 10pm. You can only find small food strollers after midnight."
Fantastic street ,"This road is located in the historic complex of Busan city. Here during the daytime saw crowded and bustling. The small central road has a car section so be careful when traveling.On the two sides of the road there are many fashion shops, coffee and food shops. The space here is very beautiful, bringing the appearance of the beach town because the sky is always blue.The majority of visitors in this square are young people. Occasionally meet some beggars. There are interesting crossroads with hand or foot marks. These marks are from famous or influential figures in Korea.Walking on the road is very safe, everyone is friendly. There are also specially designed break areas.My experience is to go to seafood market and square in 1 day because these 2 places are very close to each other."
very overrated,When I was here it was nothing more than an intersection filled with food stalls. I found one place with some had prints but mostly it was just food stalls all over the plaza. Only worth takign a picture when you walk pass it on your way to one of the markets.
Meh,There’s lots of shops to walk around but wasn’t really our cup of tea. Markets and expensive stores as well as coffee shops with desserts. 
Not a square as such,"The area surrounding BIFF square was a hive of a activity on our visit. Plenty of shops to visit and food vendors to try. Very easy to walk to the Lotte department store, Jagalchi fish market and Busan Tower. "
Food and Fashion street,"We enjoy walking aroundvtgis area. Near Busan Tower. There are shops selling clothings, cosmetics, etc. There are street vendors selling local delicacies like spucy rice cake, fish cakes dip, etc.Plenty to see here."
Pull up a chair and take your pick.,Reminds me of the old markets we had in London and what they still have in Bangladesh. Stools located beside a mountain of clothes or shoes etc and you just filter through what tickles your fancy. Make sure you go with time to go through the stalls and shops properly.
Shopping and Street food...,"Biff Square gets its name from the Busan International Film Festival.It's dedicated to the film veterans of Korea. This area is full of different kind of stores, as clothes, accessories, restaurant, cosmetics stores, coffee houses, street food, etc...It's similar to Myeongdong area in Seoul, but it is even better.Beautiful both day and night.A must see in Busan!"
"An absolute must, for both day and night !!","Biff squareBiff Square, actually more of a cross of two streets than a square, is a colorful and very busy part of Nampo-dong, where tourists indulge in snacks and drinks, enjoy the atmosphere and many selfies are stored digitally. It is an absolute must not only to visit the Biff Square, but also the neighboring area in the evening due to the very atmospheric lighting and pleasant crowds. A visit to Busan would not have been successful without a visit to Biff Square and the surrounding area, which, as it turned out during a 30-day visit, also feels safe after sunset."
Hotteok lady called us stupid,"After strolling around a bit and trying some streetfood we ended up in the middle of the square because we wanted to try some hotteok (fried snack filled with nuts). The stall was manned by three people. The 'boss lady' greeted us and accepted our cash. We were waiting for our food when another (Korean) customer showed up. She chatted briefly with 'boss lady' and she looked uncomfortable while 'boss lady' gestured at us. The older lady who was preparing the hotteok got a brief command and the food was given to the other customer. I thought: 'ok this might be a prior order that just needed to be picked up' when 'boss lady' started singing and laughing: 'pabo yah, pabo yah, pabo yah!!' I know a tiny bit of Korean. Not much but enough to know that she was singing about 'idiots"". The cook looked away quite uncomfortable... When cook finally handed us the food we thanked her and I nodded over at boss lady while saying: 'pabo'. Her face was priceless. :-DI've only met kind and helpful people in Busan but this was the exception. "
Anything and everything are there,"atever you need. They have it. Lots of food. Definitely stop here if you have time to spare. Cosmetics, athletics, glasses, jewelry, clothing, etc."
Happening,"Typical shopping street, you can find all the beauty brands here and also some sports wear shops. Food is abundant too.."
