review_title,review_body
Overrated ,"I was disappointed by the ""mall"". Couple of shops under ground, full of subway travellers. I definitely expected something more than what I got. Luckily it's close to other attractions etc."
Shops closed early,We took a train from Busan station to Seomyeon for shopping around 6pm+. Had dinner first and realized Lotte closed at 830pm and the shops in the underground shopping area were closing soon too. Seoul is still a better place for shopping.
Cross Under the Street,"I’m not a shopper, and so when I saw a sign for the underground shopping center I ignored it and kept walking. However when I wanted to cross a wide and busy street, the only way I could do so was by going down and walking under it. That is how I found myself in the Seomyeon Underground Shopping center.The shopping center is quite impressive even to the non-shopper. A myriad of small stores, and with, to the unpracticed eye, quality merchandise, the shopping center stretches seemingly to infinity. It might be noted that I didn’t see any store or stand selling food.I will not return unless I once again have to cross that street."
Never Ending Shopping!,"We stayed in a hotel nearby so we decided to pay a visit. There is the lotte hotel basement food alley and you can connect to this shopping underground. Rows of shops on both sides. Massive! Clothing, cosmetics, shoes, etc.Only issue is for the branded shoes, you are not sure they are real. The non brand shoes are cheap if you do not fancy brand or image. However, quality is not too good.We bought some face masks as gifts.We did not see any high end cosmetics but the usual nature republic , etude, etc.The good part is buy 1 get 1 free for 10,000 about sin $11.30 so its good. Only issue is tend to be heavy so u need to have more baggage allowance.We only buy a few t shirts for this trip. Personally, did not fancy korean fashion as they are either very plain looking or very floral. Also free size seems small. There was socks for sale everywhere...1000 to 2000 won. All types of design but mostly cartoon characters.It was raining outside so we were glad we were here. However, since it was rainingm many oeople also came here.We keep walking oblivious of where it leads to and when tired we get iut, took a taxi vack as it was raining heavily outside. We could not walk back too tired to walk back. Overall a good experience. But wear comfy shoes."
Underground shopping center in the heart of Busan and directly under the Seomyeon train station.,"Like those underground shopping in Seoul, Busan's Seomyeon undeground shopping center can be equally interesting with a wide variety stores from fashion wear to souvenirs to health & skin care products (like Innisfree, Nature Republic, Etude House, the Saem, Holika Holika, Olive Young etc....), you have it all. Although most shops are similar to those of the ones you find in Seoul, there are some unique fashion boutiques stores that provide interesting fashion wears at reasonable prices. You can spend 3 hours in this underground shopping center if you are that type that like to look at most if not all the stores more attentively.. otherwise, simply browsing through the shops may take you about 1-1.5 hours of your time there. "
Brilliant for rainy days,Great prices and lots to offer. Indoors & air conditioned. Fairly long and busy underground tunnel with many stores for shopping. It also connects with subway station.
Long long underground mall,"If you are out bargain-hunting but wanting to stay in-trend, you are in the right place. I recommend walking a large circle first as some articles of clothing are repeated in other shops as well. As a larger-size woman (US size 10/UK 14), bottoms were difficult to find in free-size but form-free dresses and tops were easier to work with. The average price of a top here is 10,000won to 15,000won. It's mostly clothes of free-size wear for men and women, along with some shoe stores. Be prepared - the strip is very long and terrible shoes will only make it worse. The bathrooms are located on the ends of the mall though I think I missed one as I went through the middle."
Huge underground shopping,This place is like the air-conditioned flee market. I bet you can get lots of bargains from this place. Try to avoid visit this place during work check out period as it will be super crowded.
underground tunnel with many stores,Fairly long and busy underground tunnel with many stores for shopping. It also connects with subway station. Ended up buying s small desktop alarm clock.It is located near Seomyun market.
Cheaper alternative,It's crowded due to the huge amount of community travelling to work and school. But you can find good deals if you search hard
