review_title,review_body
During my dream trip to Busan.,I went with a co-worker. We ate fried fish and sides. There are many fresh seafood places along the strip. All are good.
Holiday,Nice local market in Busan near Ibis hotel. I can find the local food for breakfast during waiting a room for checking in. Enjoy to shopping and see the local life. Recommend 
Big traditional market near Seomyeon,This is a huge traditional market near Seomyeon which is one of top downtowns in Busan.There's nothing special and that makes this place special as other markets are touristic.
Nice place to shop,I was in Busan only for 5 days and I spent almost half a day shopping here. Fantastic bargains.I wish I had more time for shopping here.Good bargain hunting.
Huge bustling food market,"We enjoyed wandering and getting lost at Bujeon market. A proper local market selling fish, veges etc., not souvenirs. Busy during the day, quieter at night when business is winding down for the day."
"Bujeon Market, Busanjin-gu","Bujeon Market was very big selling all kinds of vegetables,fruits, meats, household things, clothes, seafoods and others, a walking distance from Seomyeon Underground Station. Definitely worth a look."
Local market worth a visit......,"This is a very ""local"" wet market, very different from the usual tourists markets.No frills, simple, messy ""come as it is"" stalls lined all over selling all kinds of wet market products. With some shops/ local food cafes as well.Interesting to visit to experience a locals setting. But frankly don't expect to buy much here."
Great Market,"Walked through Bujeon market ( Market of Memory) for hours fascinated by the collections of raw and cooked, live and dried, vegetal and animal, sea and land combinations - beautiful and colourful displays. A really excellent market - one of our best ever. No (western) tourists. No one disturbed by us taking photos - they are too busy to care and too practical to be superstitious. No one speaks English. Huge, clean, organized and - with all Korea - safe. Bought tempura like fish and shrimp on a stick - Garaesa Fish Cake - cheap $2 - and good."
"Wanna go local, come here","Seomyeon station, metro red line 1, Exit 15 - step out and ta-dah, the market. Plenty fresh fruits, veggies, meat, seafood, snacks - you name it, they got it. The outdoor clothes shop along the main road were also hot favourites - KRW10k for hiking pants, tops, etc.Apparently Bujeon ginseng market is close by - we didn't get a chance to visit due to time constraint."
Authentic Large Wet Market,"We went to this market almost daily(5 times) to shop for daily consumption and bring home. It was berry season and we bought all kind of berries daily to eat while visiting tourist spots.Pros :1) Extremely large market. Easily takes half a day. Many sections, from vegetables, seafood, dried food, meat, fruits, roots, sea weed, eating places, utensils and the like.2) Not expensive. Buy from vendors with display prices.3) Local market, not many tourist especially on a weekday.4) Clean and hygenic.5) 10 mins. from Seomyeon subway.Cons :1) Cash only.2) Map not available. May get confusing since there is no English signs.3) The wet market can get smelly after a while. 4) No GST refund facilities.It is a must see in Busan. Strongly recommend and will definitely visit again."
